qlId,cpId,solveMode,difficulty,target,phase,description,reviewStatus,stemRealism,mathValidity,optionQuality,explanationQuality,difficultyFit,notes
TRG-001-QL-001,TRG-CP-001,findSinFromKnownSides,Easy,SCALAR,PROOF_ANCHOR,Direct sine from sides,PENDING,,,,,,
TRG-001-QL-002,TRG-CP-001,findCosFromKnownSides,Easy,SCALAR,PROOF_ANCHOR,Direct cosine from sides,PENDING,,,,,,
TRG-001-QL-003,TRG-CP-001,findMissingHypotenuseThenSin,Medium,SCALAR,PROOF_ANCHOR,Pythagoras then sine,PENDING,,,,,,
TRG-001-QL-004,TRG-CP-001,findOppositeSideFromSin,Medium,LENGTH,PROOF_ANCHOR,Side recovery from sine,PENDING,,,,,,
TRG-001-QL-005,TRG-CP-001,deriveSecFromTan,Medium,SCALAR,PROOF_ANCHOR,Secant from tangent,PENDING,,,,,,
TRG-001-QL-006,TRG-CP-001,findTanFromKnownSides,Easy,SCALAR,MVP_EXPANSION,Direct tangent from sides,PENDING,,,,,,
TRG-001-QL-007,TRG-CP-001,findCotFromKnownSides,Easy,SCALAR,MVP_EXPANSION,Direct cotangent from sides,PENDING,,,,,,
TRG-001-QL-008,TRG-CP-001,findSecFromKnownSides,Easy,SCALAR,MVP_EXPANSION,Direct secant from sides,PENDING,,,,,,
TRG-001-QL-009,TRG-CP-001,findCosecFromKnownSides,Easy,SCALAR,MVP_EXPANSION,Direct cosecant from sides,PENDING,,,,,,
TRG-001-QL-010,TRG-CP-001,deriveCosFromSinRatio,Medium,SCALAR,MVP_EXPANSION,Cosine from a sine ratio,PENDING,,,,,,
TRG-001-QL-011,TRG-CP-001,deriveTanFromCosRatio,Medium,SCALAR,MVP_EXPANSION,Tangent from a cosine ratio,PENDING,,,,,,
TRG-001-QL-012,TRG-CP-001,deriveTanFromSecRatio,Medium,SCALAR,MVP_EXPANSION,Tangent from a secant ratio,PENDING,,,,,,
TRG-001-QL-025,TRG-CP-002,evaluateStandardSine,Easy,SCALAR,PROOF_ANCHOR,Standard sine,PENDING,,,,,,
TRG-001-QL-026,TRG-CP-002,evaluateStandardReciprocal,Easy,SCALAR,PROOF_ANCHOR,Standard secant,PENDING,,,,,,
TRG-001-QL-027,TRG-CP-002,evaluateStandardProduct,Medium,SCALAR,PROOF_ANCHOR,Standard-value product,PENDING,,,,,,
TRG-001-QL-028,TRG-CP-002,evaluateStandardPythagoreanSum,Medium,SCALAR,PROOF_ANCHOR,Standard Pythagorean sum,PENDING,,,,,,
TRG-001-QL-029,TRG-CP-002,evaluateStandardMixedProduct,Medium,SCALAR,PROOF_ANCHOR,Tangent-cotangent product,PENDING,,,,,,
TRG-001-QL-030,TRG-CP-002,evaluateStandardCosine,Easy,SCALAR,MVP_EXPANSION,Standard cosine,PENDING,,,,,,
TRG-001-QL-031,TRG-CP-002,evaluateStandardTangent,Easy,SCALAR,MVP_EXPANSION,Standard tangent,PENDING,,,,,,
TRG-001-QL-032,TRG-CP-002,evaluateStandardCosecant,Easy,SCALAR,MVP_EXPANSION,Standard cosecant,PENDING,,,,,,
TRG-001-QL-033,TRG-CP-002,evaluateStandardSum,Medium,SCALAR,MVP_EXPANSION,Standard-value sum,PENDING,,,,,,
TRG-001-QL-034,TRG-CP-002,evaluateStandardSquareSum,Medium,SCALAR,MVP_EXPANSION,Standard-value square sum,PENDING,,,,,,
TRG-001-QL-035,TRG-CP-002,evaluateStandardQuotient,Medium,SCALAR,MVP_EXPANSION,Standard-value quotient,PENDING,,,,,,
TRG-001-QL-036,TRG-CP-002,evaluateRadianStandardValue,Medium,SCALAR,MVP_EXPANSION,Standard value with radian input,PENDING,,,,,,
TRG-001-QL-049,TRG-CP-003,convertDegreesToRadians,Easy,ANGLE,PROOF_ANCHOR,Degree to radian conversion,PENDING,,,,,,
TRG-001-QL-050,TRG-CP-003,convertRadiansToDegrees,Easy,ANGLE,PROOF_ANCHOR,Radian to degree conversion,PENDING,,,,,,
TRG-001-QL-051,TRG-CP-003,evaluateComplementarySine,Medium,SCALAR,PROOF_ANCHOR,Complementary relation,PENDING,,,,,,
TRG-001-QL-052,TRG-CP-003,evaluateSecondQuadrantCosine,Medium,SCALAR,PROOF_ANCHOR,Second-quadrant reduction,PENDING,,,,,,
TRG-001-QL-053,TRG-CP-003,evaluateCoterminalTangent,Medium,SCALAR,PROOF_ANCHOR,Coterminal reduction,PENDING,,,,,,
TRG-001-QL-054,TRG-CP-003,evaluateThirdQuadrantSine,Medium,SCALAR,MVP_EXPANSION,Third-quadrant sine,PENDING,,,,,,
TRG-001-QL-055,TRG-CP-003,evaluateFourthQuadrantTangent,Medium,SCALAR,MVP_EXPANSION,Fourth-quadrant tangent,PENDING,,,,,,
TRG-001-QL-056,TRG-CP-003,evaluateRadianReduction,Medium,SCALAR,MVP_EXPANSION,Radian reduction,PENDING,,,,,,
TRG-001-QL-057,TRG-CP-003,evaluateComplementaryTangent,Medium,SCALAR,MVP_EXPANSION,Complementary tangent,PENDING,,,,,,
TRG-001-QL-058,TRG-CP-003,evaluateNegativeAngleCosine,Medium,SCALAR,MVP_EXPANSION,Negative-angle cosine,PENDING,,,,,,
TRG-001-QL-059,TRG-CP-003,evaluateAngleBeyondFullTurn,Medium,SCALAR,MVP_EXPANSION,Coterminal angle beyond 360 degrees,PENDING,,,,,,
TRG-001-QL-060,TRG-CP-003,evaluateReducedSecant,Hard,SCALAR,MVP_EXPANSION,Secant with reduction and sign,PENDING,,,,,,
TRG-001-QL-073,TRG-CP-004,deriveCosFromSin,Medium,SCALAR,PROOF_ANCHOR,Cosine from sine identity,PENDING,,,,,,
TRG-001-QL-074,TRG-CP-004,deriveSecSquaredFromTan,Medium,SCALAR,PROOF_ANCHOR,Secant-square identity,PENDING,,,,,,
TRG-001-QL-075,TRG-CP-004,simplifySecTanIdentity,Easy,SCALAR,PROOF_ANCHOR,sec²−tan² identity,PENDING,,,,,,
TRG-001-QL-076,TRG-CP-004,simplifySinCosRationalIdentity,Medium,SCALAR,PROOF_ANCHOR,Rational identity simplification,PENDING,,,,,,
TRG-001-QL-077,TRG-CP-004,deriveCotFromCosec,Medium,SCALAR,PROOF_ANCHOR,Cotangent from cosecant,PENDING,,,,,,
TRG-001-QL-078,TRG-CP-004,simplifyOneMinusCosSquared,Medium,SCALAR,MVP_EXPANSION,Pythagorean identity quotient,PENDING,,,,,,
TRG-001-QL-079,TRG-CP-004,simplifySecSquaredMinusOne,Medium,SCALAR,MVP_EXPANSION,Secant identity quotient,PENDING,,,,,,
TRG-001-QL-080,TRG-CP-004,deriveSecSquaredFromTanRatio,Medium,SCALAR,MVP_EXPANSION,Secant square from tangent ratio,PENDING,,,,,,
TRG-001-QL-081,TRG-CP-004,deriveCosecSquaredFromCotRatio,Medium,SCALAR,MVP_EXPANSION,Cosecant square from cotangent ratio,PENDING,,,,,,
TRG-001-QL-082,TRG-CP-004,simplifySinCosecProduct,Easy,SCALAR,MVP_EXPANSION,Reciprocal product identity,PENDING,,,,,,
TRG-001-QL-083,TRG-CP-004,simplifyTanCosOverSin,Medium,SCALAR,MVP_EXPANSION,Quotient identity simplification,PENDING,,,,,,
TRG-001-QL-084,TRG-CP-004,simplifyOnePlusTanSquaredOverSecSquared,Medium,SCALAR,MVP_EXPANSION,Secant identity ratio,PENDING,,,,,,
TRG-001-QL-097,TRG-CP-005,evaluateDerivedSinCosRatio,Hard,SCALAR,PROOF_ANCHOR,Derived sin/cos ratio,PENDING,,,,,,
TRG-001-QL-098,TRG-CP-005,useSecTanConjugate,Medium,SCALAR,PROOF_ANCHOR,sec±tan conjugates,PENDING,,,,,,
TRG-001-QL-099,TRG-CP-005,useCosecCotConjugate,Medium,SCALAR,PROOF_ANCHOR,cosec±cot conjugates,PENDING,,,,,,
TRG-001-QL-100,TRG-CP-005,deriveDoubleProductFromSinPlusCos,Hard,SCALAR,PROOF_ANCHOR,Recover 2sin cos from sum,PENDING,,,,,,
TRG-001-QL-101,TRG-CP-005,solveTanFromLinearSinCosRelation,Medium,SCALAR,PROOF_ANCHOR,Linear sin/cos relation,PENDING,,,,,,
TRG-001-QL-102,TRG-CP-005,evaluateSumDifferenceRatioFromTan,Hard,SCALAR,MVP_EXPANSION,Derived ratio from tangent,PENDING,,,,,,
TRG-001-QL-103,TRG-CP-005,recoverSecPlusTanFromDifference,Hard,SCALAR,MVP_EXPANSION,Recover sec plus tan,PENDING,,,,,,
TRG-001-QL-104,TRG-CP-005,recoverCosecPlusCotFromDifference,Hard,SCALAR,MVP_EXPANSION,Recover cosec plus cot,PENDING,,,,,,
TRG-001-QL-105,TRG-CP-005,deriveProductFromSinPlusCos,Hard,SCALAR,MVP_EXPANSION,Product from sin plus cos,PENDING,,,,,,
TRG-001-QL-106,TRG-CP-005,solveTanFromASinEqualsBCos,Medium,SCALAR,MVP_EXPANSION,Linear sine-cosine relation,PENDING,,,,,,
TRG-001-QL-107,TRG-CP-005,recoverSecMinusTanFromSum,Hard,SCALAR,MVP_EXPANSION,Recover sec minus tan,PENDING,,,,,,
TRG-001-QL-108,TRG-CP-005,recoverCosecMinusCotFromSum,Hard,SCALAR,MVP_EXPANSION,Recover cosec minus cot,PENDING,,,,,,
TRG-001-QL-121,TRG-CP-006,evaluateMixedStandardExpression,Hard,SCALAR,PROOF_ANCHOR,Mixed standard expression,PENDING,,,,,,
TRG-001-QL-122,TRG-CP-006,evaluateAngleSumIdentityExpansion,Hard,SCALAR,PROOF_ANCHOR,Angle-sum expansion,PENDING,,,,,,
TRG-001-QL-123,TRG-CP-006,evaluateDoubleAngleExpansion,Medium,SCALAR,PROOF_ANCHOR,Double-angle expansion,PENDING,,,,,,
TRG-001-QL-124,TRG-CP-006,findTriangleAreaUsingSine,Medium,AREA,PROOF_ANCHOR,Triangle area using sine,PENDING,,,,,,
TRG-001-QL-125,TRG-CP-006,evaluateTanCotComposite,Hard,SCALAR,PROOF_ANCHOR,Composite tan/cot expression,PENDING,,,,,,
