language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","directPercentageIncrease","ABSOLUTE","The salary increased by 25%. If the original salary was Rs. 30000, find the new salary.","$$37500$$","An increase of 25% makes the salary equal to 125% of its original value. | \[\Rightarrow \text{New percent}=100\%+25\%=125\%\] | So multiply the original salary by 125/100. | \[\Rightarrow \text{New salary}=30000\times\frac{125}{100}=37500\] | Therefore the new salary is Rs. 37500. | \[\Rightarrow \text{New salary}=37500\]","PASS"
"en","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","increaseAmount","ABSOLUTE","A salary of Rs. 30000 increased by 15%. Find the increase amount only.","$$4500$$","Only the increased part is required here, so we need 15% of the original salary. | \[\Rightarrow \text{Increase amount}=15\%\text{ of }Rs. 30000\] | Now take 15% of Rs. 30000. | \[\Rightarrow \text{Increase amount}=30000\times\frac{15}{100}=4500\] | Therefore the increase amount is Rs. 4500. | \[\Rightarrow \text{Increase amount}=4500\]","PASS"
"en","PCT-CP-003","PCT-QL-005","PCT-ES-003","Medium","originalValueFromIncreasedValue","ABSOLUTE","After a 10% increase, the salary became Rs. 55000. Find the original salary.","$$50000$$","After a 10% rise, the new salary represents 110% of the original. | \[\Rightarrow 110\%\rightarrowRs. 55000\] | So divide Rs. 55000 by 110 to find the value of 1%. | \[\Rightarrow 1\%=\frac{55000}{110}=500\] | Now multiply the value of 1% by 100 to get the original salary. | \[\Rightarrow 100\%=500\times100=50000\] | Therefore the original salary was Rs. 50000. | \[\Rightarrow \text{Original salary}=50000\]","PASS"
"en","PCT-CP-004","PCT-QL-007","PCT-ES-004","Easy","equivalentMultiplier","ABSOLUTE","Find the equivalent multiplier for a 25% increase in the salary.","$$1.25$$","A 25% increase means the new value becomes 125% of the old value. | \[\Rightarrow \text{New percent}=100\%+25\%=125\%\] | Express that new percentage as a multiplier by dividing by 100. | \[\Rightarrow \text{Multiplier}=\frac{125}{100}=1.25\] | Therefore the equivalent multiplier is 1.25. | \[\Rightarrow \text{Multiplier}=1.25\]","PASS"
"en","PCT-CP-005","PCT-QL-009","PCT-ES-005","Medium","repeatedPercentageIncrease","ABSOLUTE","A salary of Rs. 30000 first increased by 10% and then by 20%. Find the final salary.","$$39600$$","After the first increase of 10%, the salary becomes 110% of its original value. | \[\Rightarrow \text{After first increase}=30000\times\frac{110}{100}=33000\] | Now apply the second increase of 20% to this new value. | \[\Rightarrow \text{Final value}=33000\times\frac{120}{100}=39600\] | Therefore the salary after both increases is Rs. 39600. | \[\Rightarrow \text{Final salary}=39600\]","PASS"
"en","PCT-CP-006","PCT-QL-011","PCT-ES-006","Medium","netIncreasePercentage","PERCENT","A price increased first by 15% and then by 25%. Find the overall percentage increase.","$$43.75\%$$","Convert the two increases into growth factors. | \[\Rightarrow \text{Combined factor}=\frac{115}{100}\times\frac{125}{100}\] | This combined factor tells us how many times the original value becomes after both increases. | \[\Rightarrow \text{Combined factor}=\frac{115}{100}\times\frac{125}{100}=1.4375\] | So subtract 1 from the combined factor and convert the result into a percentage increase. | \[\Rightarrow \text{Net increase}=43.75\%\] | Therefore the overall percentage increase is 43.75%. | \[\Rightarrow \text{Net increase}=43.75\%\]","PASS"
"en","PCT-CP-007","PCT-QL-013","PCT-ES-007","Hard","comparativeIncrease","ABSOLUTE","salary A was Rs. 30000 and increased by 10%. salary B was Rs. 35000 and increased by 10%. Find the difference between their new values.","$$5500$$","First find the new value of salary A after its increase. | \[\Rightarrow \text{New salary A}=30000\times\frac{110}{100}=33000\] | Now find the new value of salary B after its increase. | \[\Rightarrow \text{New salary B}=35000\times\frac{110}{100}=38500\] | Finally compare these two new values. | \[\Rightarrow \text{Difference}=\left|33000-38500\right|=5500\] | Therefore the difference between the new values is Rs. 5500. | \[\Rightarrow \text{Difference}=5500\]","PASS"
"en","PCT-CP-008","PCT-QL-015","PCT-ES-008","Hard","percentageIncreaseInParts","PERCENT","In a group of 400 students, 40% were boys and the rest were girls. If the number of boys increased by 10% and the number of girls increased by 15%, find the new percentage of boys.","$$38.9381\%$$","At first, 40% of the students are boys, so split the original total into boys and girls. | \[\Rightarrow \text{Initial boys}=400\times\frac{40}{100}=160,\ \text{Initial girls}=240\] | Now increase the number of boys and girls by their respective percentages. | \[\Rightarrow \text{New boys}=160\times\frac{110}{100}=176,\ \text{New girls}=240\times\frac{115}{100}=276\] | Use the new total to find the updated percentage of boys. | \[\Rightarrow \text{New boys percent}=\frac{176}{452}\times100=38.9381\%\] | Therefore the new percentage of boys is 38.9381%. | \[\Rightarrow \text{New boys percent}=38.9381\%\]","PASS"
"en","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","requiredIncrease","PERCENT","The current salary is Rs. 48000 and it must become Rs. 60000. Find the required percentage increase.","$$25\%$$","First find how much extra salary is needed to reach the target. | \[\Rightarrow \text{Needed amount}=60000-48000=12000\] | Now compare this extra amount with the current salary. | \[\Rightarrow \text{Required increase}=\frac{12000}{48000}\times100=25\%\] | Therefore the required percentage increase is 25%. | \[\Rightarrow \text{Required increase}=25\%\]","PASS"
"en","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","growthBridge","COUNT","A population of 12000 grows by 15% every year. Find the population after 2 years.","$$15870$$","Each increase of 15% multiplies the population by 115/100. | \[\Rightarrow \text{One-period factor}=\frac{115}{100}\] | Since the same increase happens for 2 periods, use this factor 2 times. | \[\Rightarrow \text{Overall factor}=\left(\frac{115}{100}\right)^{2}\] | Now multiply the current population by the overall factor. | \[\Rightarrow \text{Final population}=12000\times\left(\frac{115}{100}\right)^{2}=15870\] | Therefore the population after 2 periods is 15870. | \[\Rightarrow \text{Final population}=15870\]","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","directPercentageIncrease","COUNT","The population increased by 25%. If the original population was 12000, find the new population.","$$15000$$","An increase of 25% makes the population equal to 125% of its original value. | \[\Rightarrow \text{New percent}=100\%+25\%=125\%\] | So multiply the original population by 125/100. | \[\Rightarrow \text{New population}=12000\times\frac{125}{100}=15000\] | Therefore the new population is 15000. | \[\Rightarrow \text{New population}=15000\]","PASS"
"en","PCT-CP-002","PCT-QL-004","PCT-ES-002","Easy","increaseAmount","COUNT","The production was 600 and it increased by 20%. Find the increase count only.","$$120$$","Only the increased part is required here, so we need 20% of the original production. | \[\Rightarrow \text{Increase amount}=20\%\text{ of }600\] | Now take 20% of 600. | \[\Rightarrow \text{Increase amount}=600\times\frac{20}{100}=120\] | Therefore the increase amount is 120. | \[\Rightarrow \text{Increase amount}=120\]","PASS"
"en","PCT-CP-003","PCT-QL-006","PCT-ES-003","Medium","originalValueFromIncreasedValue","COUNT","After a 15% increase, the population became 9200. Find the original population.","$$8000$$","After a 15% rise, the new population represents 115% of the original. | \[\Rightarrow 115\%\rightarrow9200\] | So divide 9200 by 115 to find the value of 1%. | \[\Rightarrow 1\%=\frac{9200}{115}=80\] | Now multiply the value of 1% by 100 to get the original population. | \[\Rightarrow 100\%=80\times100=8000\] | Therefore the original population was 8000. | \[\Rightarrow \text{Original population}=8000\]","PASS"
"en","PCT-CP-004","PCT-QL-008","PCT-ES-004","Easy","equivalentMultiplier","ABSOLUTE","A population increases by 12%. What multiplier represents this increase?","$$1.12$$","A 12% increase means the new value becomes 112% of the old value. | \[\Rightarrow \text{New percent}=100\%+12\%=112\%\] | Express that new percentage as a multiplier by dividing by 100. | \[\Rightarrow \text{Multiplier}=\frac{112}{100}=1.12\] | Therefore the equivalent multiplier is 1.12. | \[\Rightarrow \text{Multiplier}=1.12\]","PASS"
"en","PCT-CP-005","PCT-QL-010","PCT-ES-005","Medium","repeatedPercentageIncrease","COUNT","The population was 10000. It increased by 20% and then by 10%. Find the new population.","$$13200$$","After the first increase of 20%, the population becomes 120% of its original value. | \[\Rightarrow \text{After first increase}=10000\times\frac{120}{100}=12000\] | Now apply the second increase of 10% to this new value. | \[\Rightarrow \text{Final value}=12000\times\frac{110}{100}=13200\] | Therefore the population after both increases is 13200. | \[\Rightarrow \text{Final population}=13200\]","PASS"
"en","PCT-CP-006","PCT-QL-012","PCT-ES-006","Medium","netIncreasePercentage","PERCENT","The population increased by 10% and then again by 15%. Find the net percentage increase.","$$26.5\%$$","Convert the two increases into growth factors. | \[\Rightarrow \text{Combined factor}=\frac{110}{100}\times\frac{115}{100}\] | This combined factor tells us how many times the original value becomes after both increases. | \[\Rightarrow \text{Combined factor}=\frac{110}{100}\times\frac{115}{100}=1.265\] | So subtract 1 from the combined factor and convert the result into a percentage increase. | \[\Rightarrow \text{Net increase}=26.5\%\] | Therefore the overall percentage increase is 26.5%. | \[\Rightarrow \text{Net increase}=26.5\%\]","PASS"
"en","PCT-CP-007","PCT-QL-014","PCT-ES-007","Hard","comparativeIncrease","COUNT","production A was 600 and increased by 15%. production B was 900 and increased by 25%. Find the difference between their new values.","$$435$$","First find the new value of production A after its increase. | \[\Rightarrow \text{New production A}=600\times\frac{115}{100}=690\] | Now find the new value of production B after its increase. | \[\Rightarrow \text{New production B}=900\times\frac{125}{100}=1125\] | Finally compare these two new values. | \[\Rightarrow \text{Difference}=\left|690-1125\right|=435\] | Therefore the difference between the new values is 435. | \[\Rightarrow \text{Difference}=435\]","PASS"
