language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"pa","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","wholeFromPart","COUNT","45% of the students are girls. If the number of girls is 540, find the total number of students.","$$1200$$","Here, 45% of the students equals 540. | \[\Rightarrow 45\%\rightarrow540\] | To determine the value of 1%, divide 540 by 45. | \[\Rightarrow 1\%=\frac{540}{45}=12\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=12\times100=1200\] | Therefore the total students is 1200. | \[\Rightarrow \text{Total students}=1200\]","PASS"
"pa","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","anotherPercentageFromKnownPercentage","ABSOLUTE","If 25% of the income equals Rs. 6250, find 50% of the same income.","$$12500$$","Here, 25% of the income equals Rs. 6250. | \[\Rightarrow 25\%\rightarrowRs. 6250\] | First find the value corresponding to 1% by dividing Rs. 6250 by 25. | \[\Rightarrow 1\%=\frac{6250}{25}=250\] | Now multiply the value of 1% by 50 to get 50%. | \[\Rightarrow 50\%=250\times50=12500\] | Therefore 50% of the income is Rs. 12500. | \[\Rightarrow \text{expenditure}=12500\]","PASS"
"pa","PCT-CP-003","PCT-QL-005","PCT-ES-003","Easy","percentageFromPartAndWhole","PERCENT","Out of 720 students, 180 are girls. Find what percent of the students are girls.","$$25\%$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow720\] | So 1% is obtained by dividing 720 by 100. | \[\Rightarrow 1\%=\frac{720}{100}=7.2\] | Now compare 180 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{180}{7.2}=25\%\] | Therefore 180 is 25% of the students. | \[\Rightarrow \text{girls}=25\%\]","PASS"
"pa","PCT-CP-004","PCT-QL-007","PCT-ES-004","Medium","reversePercentageMapping","PERCENT","If 30% of the salary is Rs. 3000, then Rs. 3000 is what percent of the same salary?","$$30\%$$","Here, 30% of the salary equals Rs. 3000. | \[\Rightarrow 30\%\rightarrowRs. 3000\] | To determine the value of 1%, divide Rs. 3000 by 30. | \[\Rightarrow 1\%=\frac{3000}{30}=100\] | Now compare Rs. 3000 with the value of 1% to find the required percentage. | \[\Rightarrow \text{Required percent}=\frac{3000}{100}=30\%\] | Therefore Rs. 3000 is 30% of the salary. | \[\Rightarrow \text{Required percent}=30\%\]","PASS"
"pa","PCT-CP-005","PCT-QL-009","PCT-ES-005","Easy","ratioToPercentage","PERCENT","A quantity is divided in the ratio 1:2. Find the percentage corresponding to the first part.","$$33.33\%$$","First add the ratio parts to get the whole number of equal parts. | \[\Rightarrow \text{Total parts}=1+2=3\] | The first part accounts for 1 out of these 3 parts. | \[\Rightarrow \text{Share fraction}=\frac{1}{3}\] | Convert that share into a percentage. | \[\Rightarrow \text{Required percent}=\frac{1}{3}\times100=33.33\%\] | Therefore the first part corresponds to 33.33%. | \[\Rightarrow \text{first part}=33.33\%\]","PASS"
"pa","PCT-CP-006","PCT-QL-011","PCT-ES-006","Easy","complementaryPercentage","PERCENT","If 45% of the class are girls, find the percentage of boys.","$$55\%$$","The full quantity is always 100%. | \[\Rightarrow girls+boys=100\%\] | So subtract 45% from 100% to get the remaining percentage. | \[\Rightarrow boys=100\%-45\%=55\%\] | Therefore the boys percentage is 55%. | \[\Rightarrow \text{boys}=55\%\]","PASS"
"pa","PCT-CP-007","PCT-QL-013","PCT-ES-007","Easy","differenceBetweenPercentageParts","PERCENT","35% of the students are boys and 20% are girls. Find the difference between these percentages.","$$15\%$$","Both parts are already given as percentages of the same whole. | \[\Rightarrow boys=35\%,\ girls=20\%\] | So subtract the smaller percentage from the larger percentage. | \[\Rightarrow \text{Difference}=35\%-20\%=15\%\] | Therefore the percentage difference is 15%. | \[\Rightarrow \text{Difference}=15\%\]","PASS"
"pa","PCT-CP-008","PCT-QL-015","PCT-ES-008","Medium","percentagePartition","COUNT","A group of 800 students is divided as 40% girls, 35% boys, and 25% other students. Find the number of girls.","$$320$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow800\] | So the value corresponding to 1% is obtained by dividing 800 by 100. | \[\Rightarrow 1\%=\frac{800}{100}=8\] | Now multiply the value of 1% by 40 to find the girls. | \[\Rightarrow 40\%=8\times40=320\] | Therefore the girls count is 320. | \[\Rightarrow \text{girls}=320\]","PASS"
"pa","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","missingPercentage","PERCENT","25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.","$$35\%$$","The full distribution adds up to 100%. | \[\Rightarrow food+rent+transport+remaining=100\%\] | First add the known percentages. | \[\Rightarrow 25\%+20\%+20\%=65\%\] | Now subtract that total from 100% to get the missing percentage. | \[\Rightarrow remaining=100\%-65\%=35\%\] | Therefore the missing percentage is 35%. | \[\Rightarrow \text{remaining}=35\%\]","PASS"
"pa","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","multiCategoryPercentageDistribution","COUNT","In a population of 10000, 35% are males, 30% are females, and 35% are children. Find the number of children.","$$3500$$","The whole population corresponds to 100%. | \[\Rightarrow 100\%\rightarrow10000\] | So the value corresponding to 1% is obtained by dividing 10000 by 100. | \[\Rightarrow 1\%=\frac{10000}{100}=100\] | Now multiply the value of 1% by the percentage for children. | \[\Rightarrow 35\%=100\times35=3500\] | Therefore the value for children is 3500. | \[\Rightarrow \text{children}=3500\]","PASS"
"pa","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","wholeFromPart","ABSOLUTE","20% of the monthly income is kept aside as savings. If these savings are Rs. 4000, find the total monthly income.","$$20000$$","Here, 20% of the monthly income equals Rs. 4000. | \[\Rightarrow 20\%\rightarrowRs. 4000\] | To determine the value of 1%, divide Rs. 4000 by 20. | \[\Rightarrow 1\%=\frac{4000}{20}=200\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=200\times100=20000\] | Therefore the total monthly income is Rs. 20000. | \[\Rightarrow \text{Total monthly income}=20000\]","PASS"
"pa","PCT-CP-002","PCT-QL-004","PCT-ES-002","Medium","anotherPercentageFromKnownPercentage","COUNT","If 35% of the students equals 245, how many students correspond to 60%?","$$420$$","Here, 35% of the students equals 245. | \[\Rightarrow 35\%\rightarrow245\] | First find the value corresponding to 1% by dividing 245 by 35. | \[\Rightarrow 1\%=\frac{245}{35}=7\] | Now multiply the value of 1% by 60 to get 60%. | \[\Rightarrow 60\%=7\times60=420\] | Therefore 60% of the students is 420. | \[\Rightarrow \text{students}=420\]","PASS"
"pa","PCT-CP-003","PCT-QL-006","PCT-ES-003","Medium","percentageFromPartAndWhole","PERCENT","A person keeps Rs. 7500 as savings out of a total income of Rs. 30000. Find the percentage of savings.","$$25\%$$","The whole income corresponds to 100%. | \[\Rightarrow 100\%\rightarrowRs. 30000\] | So 1% is obtained by dividing Rs. 30000 by 100. | \[\Rightarrow 1\%=\frac{30000}{100}=300\] | Now compare Rs. 7500 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{7500}{300}=25\%\] | Therefore Rs. 7500 is 25% of the income. | \[\Rightarrow \text{savings}=25\%\]","PASS"
