"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:0","CP-001","Easy","Direct Reconstruction","QL-002","ES-002","On dividing a number by 8, the quotient is 28 and the remainder is 7. Find the number.","231","Apply the division formula.

Answer:

231","8","7","28","231","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:1","CP-001","Medium","Direct Reconstruction","QL-002","ES-002","On dividing a number by 14, the quotient is 299 and the remainder is 0. Find the number.","4186","Apply the division formula.

Answer:

4186","14","0","299","4186","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:2","CP-001","Easy","Direct Reconstruction","QL-004","ES-002","Find the dividend.

Divisor = 9

Quotient = 40

Remainder = 3","363","Apply the division formula.

Answer:

363","9","3","40","363","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:3","CP-001","Medium","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 35, quotient = 280, and remainder = 0.","9800","Apply the division formula.

Answer:

9800","35","0","280","9800","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:4","CP-001","Hard","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 79, quotient = 593, and remainder = 37.","46884","Apply the division formula.

Answer:

46884","79","37","593","46884","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:5","CP-001","Hard","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 30

Quotient = 549

Remainder = 4","16474","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

16474","30","4","549","16474","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:6","CP-001","Hard","Direct Reconstruction","QL-005","ES-002","Dividend = ?

Divisor = 62

Quotient = 945

Remainder = 33","58623","Apply the division formula.

Answer:

58623","62","33","945","58623","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:7","CP-001","Easy","Direct Reconstruction","QL-004","ES-001","Find the dividend.

Divisor = 19

Quotient = 43

Remainder = 2","819","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

819","19","2","43","819","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:8","CP-001","Medium","Direct Reconstruction","QL-001","ES-001","A number when divided by 27 gives quotient 404 and remainder 13. Find the number.","10921","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

10921","27","13","404","10921","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:9","CP-001","Easy","Direct Reconstruction","QL-004","ES-002","Find the dividend.

Divisor = 11

Quotient = 47

Remainder = 2","519","Apply the division formula.

Answer:

519","11","2","47","519","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:10","CP-001","Medium","Direct Reconstruction","QL-003","ES-001","Find the number if divisor = 19, quotient = 480, and remainder = 8.","9128","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

9128","19","8","480","9128","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:11","CP-001","Medium","Direct Reconstruction","QL-001","ES-001","A number when divided by 44 gives quotient 237 and remainder 5. Find the number.","10433","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

10433","44","5","237","10433","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:12","CP-001","Easy","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 20

Quotient = 39

Remainder = 16","796","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

796","20","16","39","796","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:13","CP-001","Easy","Direct Reconstruction","QL-001","ES-001","A number when divided by 5 gives quotient 24 and remainder 4. Find the number.","124","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

124","5","4","24","124","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:14","CP-001","Hard","Direct Reconstruction","QL-002","ES-001","On dividing a number by 23, the quotient is 664 and the remainder is 21. Find the number.","15293","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

15293","23","21","664","15293","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:15","CP-001","Medium","Direct Reconstruction","QL-001","ES-002","A number when divided by 29 gives quotient 376 and remainder 18. Find the number.","10922","Apply the division formula.

Answer:

10922","29","18","376","10922","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:16","CP-001","Medium","Direct Reconstruction","QL-003","ES-001","Find the number if divisor = 42, quotient = 221, and remainder = 26.","9308","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

9308","42","26","221","9308","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:17","CP-001","Easy","Direct Reconstruction","QL-004","ES-001","Find the dividend.

Divisor = 12

Quotient = 16

Remainder = 7","199","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

199","12","7","16","199","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:18","CP-001","Medium","Direct Reconstruction","QL-004","ES-001","Find the dividend.

Divisor = 12

Quotient = 179

Remainder = 6","2154","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

2154","12","6","179","2154","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:19","CP-001","Easy","Direct Reconstruction","QL-001","ES-002","A number when divided by 5 gives quotient 16 and remainder 4. Find the number.","84","Apply the division formula.

Answer:

84","5","4","16","84","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:20","CP-001","Easy","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 8

Quotient = 22

Remainder = 1","177","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

177","8","1","22","177","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:21","CP-001","Medium","Direct Reconstruction","QL-004","ES-002","Find the dividend.

Divisor = 18

Quotient = 160

Remainder = 12","2892","Apply the division formula.

Answer:

2892","18","12","160","2892","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:22","CP-001","Hard","Direct Reconstruction","QL-001","ES-002","A number when divided by 16 gives quotient 741 and remainder 15. Find the number.","11871","Apply the division formula.

Answer:

11871","16","15","741","11871","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:23","CP-001","Hard","Direct Reconstruction","QL-001","ES-001","A number when divided by 66 gives quotient 4310 and remainder 8. Find the number.","284468","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

284468","66","8","4310","284468","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:24","CP-001","Easy","Direct Reconstruction","QL-003","ES-001","Find the number if divisor = 19, quotient = 48, and remainder = 3.","915","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

915","19","3","48","915","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:25","CP-001","Easy","Direct Reconstruction","QL-001","ES-001","A number when divided by 9 gives quotient 45 and remainder 6. Find the number.","411","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

411","9","6","45","411","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:26","CP-001","Medium","Direct Reconstruction","QL-005","ES-002","Dividend = ?

Divisor = 24

Quotient = 216

Remainder = 11","5195","Apply the division formula.

Answer:

5195","24","11","216","5195","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:27","CP-001","Medium","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 44, quotient = 198, and remainder = 8.","8720","Apply the division formula.

Answer:

8720","44","8","198","8720","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:28","CP-001","Easy","Direct Reconstruction","QL-004","ES-002","Find the dividend.

Divisor = 18

Quotient = 36

Remainder = 5","653","Apply the division formula.

Answer:

653","18","5","36","653","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:29","CP-001","Hard","Direct Reconstruction","QL-002","ES-002","On dividing a number by 33, the quotient is 4073 and the remainder is 23. Find the number.","134432","Apply the division formula.

Answer:

134432","33","23","4073","134432","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:30","CP-001","Hard","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 6

Quotient = 491

Remainder = 4","2950","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

2950","6","4","491","2950","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:31","CP-001","Medium","Direct Reconstruction","QL-002","ES-001","On dividing a number by 36, the quotient is 215 and the remainder is 3. Find the number.","7743","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

7743","36","3","215","7743","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:32","CP-001","Easy","Direct Reconstruction","QL-002","ES-002","On dividing a number by 17, the quotient is 9 and the remainder is 11. Find the number.","164","Apply the division formula.

Answer:

164","17","11","9","164","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:33","CP-001","Easy","Direct Reconstruction","QL-004","ES-002","Find the dividend.

Divisor = 6

Quotient = 48

Remainder = 3","291","Apply the division formula.

Answer:

291","6","3","48","291","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:34","CP-001","Medium","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 22, quotient = 377, and remainder = 14.","8308","Apply the division formula.

Answer:

8308","22","14","377","8308","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:35","CP-001","Medium","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 5, quotient = 19, and remainder = 2.","97","Apply the division formula.

Answer:

97","5","2","19","97","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:36","CP-001","Medium","Direct Reconstruction","QL-002","ES-001","On dividing a number by 47, the quotient is 406 and the remainder is 4. Find the number.","19086","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

19086","47","4","406","19086","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:37","CP-001","Easy","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 17, quotient = 4, and remainder = 0.","68","Apply the division formula.

Answer:

68","17","0","4","68","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:38","CP-001","Medium","Direct Reconstruction","QL-003","ES-002","Find the number if divisor = 9, quotient = 94, and remainder = 1.","847","Apply the division formula.

Answer:

847","9","1","94","847","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:39","CP-001","Easy","Direct Reconstruction","QL-005","ES-002","Dividend = ?

Divisor = 14

Quotient = 48

Remainder = 7","679","Apply the division formula.

Answer:

679","14","7","48","679","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:40","CP-001","Medium","Direct Reconstruction","QL-005","ES-002","Dividend = ?

Divisor = 27

Quotient = 140

Remainder = 11","3791","Apply the division formula.

Answer:

3791","27","11","140","3791","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:41","CP-001","Easy","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 18

Quotient = 7

Remainder = 6","132","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

132","18","6","7","132","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:42","CP-001","Medium","Direct Reconstruction","QL-001","ES-002","A number when divided by 44 gives quotient 150 and remainder 13. Find the number.","6613","Apply the division formula.

Answer:

6613","44","13","150","6613","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:43","CP-001","Medium","Direct Reconstruction","QL-004","ES-002","Find the dividend.

Divisor = 45

Quotient = 426

Remainder = 1","19171","Apply the division formula.

Answer:

19171","45","1","426","19171","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:44","CP-001","Medium","Direct Reconstruction","QL-004","ES-001","Find the dividend.

Divisor = 37

Quotient = 13

Remainder = 13","494","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

494","37","13","13","494","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:45","CP-001","Hard","Direct Reconstruction","QL-003","ES-001","Find the number if divisor = 3, quotient = 3858, and remainder = 2.","11576","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

11576","3","2","3858","11576","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:46","CP-001","Easy","Direct Reconstruction","QL-001","ES-001","A number when divided by 18 gives quotient 50 and remainder 15. Find the number.","915","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

915","18","15","50","915","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:47","CP-001","Medium","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 11

Quotient = 251

Remainder = 8","2769","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

2769","11","8","251","2769","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:48","CP-001","Easy","Direct Reconstruction","QL-005","ES-001","Dividend = ?

Divisor = 12

Quotient = 14

Remainder = 7","175","Dividend = Divisor * Quotient + Remainder

Substitute the values.

Answer:

175","12","7","14","175","",""
"NS-REM-002:CP-001:NS-REM-002-HUMAN-REVIEW-500:CP-001:49","CP-001","Easy","Direct Reconstruction","QL-001","ES-002","A number when divided by 9 gives quotient 31 and remainder 6. Find the number.","285","Apply the division formula.

Answer:

285","9","6","31","285","",""
