"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 75% failed in English. If 15% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$40\%$$","At least one of Mathematics or English

[
\Rightarrow 100-15
] | =

[
\Rightarrow 100 - 15 = 85\%
] | Both Mathematics and English

[
\Rightarrow 50+75-85
] | =

[
\Rightarrow 40\%
] | Hence, 40% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Hard","inclusionExclusion","PERCENT","In an examination, 60% of candidates failed in Mathematics and 50% failed in English. If 25% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$35\%$$","At least one of Mathematics or English

[
\Rightarrow 100-25
] | =

[
\Rightarrow 100 - 25 = 75\%
] | Both Mathematics and English

[
\Rightarrow 60+50-75
] | =

[
\Rightarrow 35\%
] | Hence, 35% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-003","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 40% of candidates failed in Mathematics and 60% failed in English. If 25% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$25\%$$","At least one of Mathematics or English

[
\Rightarrow 100-25
] | =

[
\Rightarrow 100 - 25 = 75\%
] | Both Mathematics and English

[
\Rightarrow 40+60-75
] | =

[
\Rightarrow 25\%
] | Hence, 25% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-004","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 50% failed in English. If 15% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$15\%$$","At least one of Mathematics or English

[
\Rightarrow 100-15
] | =

[
\Rightarrow 100 - 15 = 85\%
] | Both Mathematics and English

[
\Rightarrow 50+50-85
] | =

[
\Rightarrow 15\%
] | Hence, 15% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-047","PCT-ES-001","Hard","tripleInclusionExclusion","PERCENT","In a group, 40% like Physics, 50% like Chemistry, and 40% like Biology. 20% like Physics and Chemistry, 15% like Chemistry and Biology, and 25% like Physics and Biology. If 8% like all three, find the percentage who like at least one.","$$78\%$$","Physics\cupChemistry\cupBiology

[
\Rightarrow A+B+C-AB-BC-AC+ABC
] | =

[
\Rightarrow 40+50+40-20-15-25+8
] | At least one

[
\Rightarrow 78\%
] | Required percentage

[
\Rightarrow $$78\%$$
] | Hence, the required percentage is $$78\%$$.","PASS"
"en","PCT-CP-001","PCT-QL-048","PCT-ES-001","Medium","tripleInclusionExclusion","PERCENT","In a town, 50% read Newspaper A, 40% read B, and 40% read C. 25% read A and B, 15% read B and C, and 15% read A and C. If 10% read all three, what percentage read none?","$$15\%$$","Newspaper A\cupNewspaper B\cupNewspaper C

[
\Rightarrow A+B+C-AB-BC-AC+ABC
] | =

[
\Rightarrow 50+40+40-25-15-15+10
] | At least one

[
\Rightarrow 85\%
] | Required percentage

[
\Rightarrow $$15\%$$
] | Hence, the required percentage is $$15\%$$.","PASS"
"en","PCT-CP-001","PCT-QL-049","PCT-ES-001","Medium","tripleInclusionExclusion","PERCENT","In a class, 60% speak Hindi, 50% speak English, and 40% speak French. 25% speak Hindi and English, 15% speak English and French, and 15% speak Hindi and French. If 5% speak all three, find the percentage who speak at least one.","$$100\%$$","Hindi\cupEnglish\cupFrench

[
\Rightarrow A+B+C-AB-BC-AC+ABC
] | =

[
\Rightarrow 60+50+40-25-15-15+5
] | At least one

[
\Rightarrow 100\%
] | Required percentage

[
\Rightarrow $$100\%$$
] | Hence, the required percentage is $$100\%$$.","PASS"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Hard","inclusionExclusion","PERCENT","In an examination, 40% of candidates failed in Mathematics and 60% failed in English. If 10% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$10\%$$","At least one of Mathematics or English

[
\Rightarrow 100-10
] | =

[
\Rightarrow 100 - 10 = 90\%
] | Both Mathematics and English

[
\Rightarrow 40+60-90
] | =

[
\Rightarrow 10\%
] | Hence, 10% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 40% failed in English. If 25% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$15\%$$","At least one of Mathematics or English

[
\Rightarrow 100-25
] | =

[
\Rightarrow 100 - 25 = 75\%
] | Both Mathematics and English

[
\Rightarrow 50+40-75
] | =

[
\Rightarrow 15\%
] | Hence, 15% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-003","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 75% of candidates failed in Mathematics and 50% failed in English. If 5% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$30\%$$","At least one of Mathematics or English

[
\Rightarrow 100-5
] | =

[
\Rightarrow 100 - 5 = 95\%
] | Both Mathematics and English

[
\Rightarrow 75+50-95
] | =

[
\Rightarrow 30\%
] | Hence, 30% belong to both Mathematics and English.","PASS"
"en","PCT-CP-001","PCT-QL-047","PCT-ES-001","Hard","tripleInclusionExclusion","PERCENT","In a group, 40% like Physics, 40% like Chemistry, and 40% like Biology. 20% like Physics and Chemistry, 20% like Chemistry and Biology, and 20% like Physics and Biology. If 10% like all three, find the percentage who like at least one.","$$70\%$$","Physics\cupChemistry\cupBiology

[
\Rightarrow A+B+C-AB-BC-AC+ABC
] | =

[
\Rightarrow 40+40+40-20-20-20+10
] | At least one

[
\Rightarrow 70\%
] | Required percentage

[
\Rightarrow $$70\%$$
] | Hence, the required percentage is $$70\%$$.","PASS"
"en","PCT-CP-001","PCT-QL-048","PCT-ES-001","Medium","tripleInclusionExclusion","PERCENT","In a town, 50% read Newspaper A, 40% read B, and 40% read C. 15% read A and B, 15% read B and C, and 25% read A and C. If 5% read all three, what percentage read none?","$$20\%$$","Newspaper A\cupNewspaper B\cupNewspaper C

[
\Rightarrow A+B+C-AB-BC-AC+ABC
] | =

[
\Rightarrow 50+40+40-15-15-25+5
] | At least one

[
\Rightarrow 80\%
] | Required percentage

[
\Rightarrow $$20\%$$
] | Hence, the required percentage is $$20\%$$.","PASS"
"en","PCT-CP-001","PCT-QL-049","PCT-ES-001","Medium","tripleInclusionExclusion","PERCENT","In a class, 60% speak Hindi, 40% speak English, and 60% speak French. 15% speak Hindi and English, 25% speak English and French, and 25% speak Hindi and French. If 5% speak all three, find the percentage who speak at least one.","$$100\%$$","Hindi\cupEnglish\cupFrench

[
\Rightarrow A+B+C-AB-BC-AC+ABC
] | =

[
\Rightarrow 60+40+60-15-25-25+5
] | At least one

[
\Rightarrow 100\%
] | Required percentage

[
\Rightarrow $$100\%$$
] | Hence, the required percentage is $$100\%$$.","PASS"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Hard","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 40% failed in English. If 10% failed in both subjects, find the percentage of candidates who passed in both subjects.","$$0\%$$","At least one of Mathematics or English

[
\Rightarrow 100-10
] | =

[
\Rightarrow 100 - 10 = 90\%
] | Both Mathematics and English

[
\Rightarrow 50+40-90
] | =

[
\Rightarrow 0\%
] | Hence, 0% belong to both Mathematics and English.","PASS"
"en","PCT-CP-002","PCT-QL-005","PCT-ES-002","Easy","fractionalError","PERCENT","A student multiplied a number by 400/500 instead of 100/200. Find the percentage error in the calculation.","$$60\%$$","Given

[
\Rightarrow \text{Correct}=\frac{100}{200},\quad\text{Wrong}=\frac{400}{500}
] | Calculation

[
\Rightarrow \left(\frac{\frac{400}{500}}{\frac{100}{200}}-1\right)100
] | =

[
\Rightarrow =$$60\%$$
] | Answer

[
\Rightarrow $$60\%$$
] | Accordingly, the percentage error is $$60\%$$.","PASS"
"en","PCT-CP-002","PCT-QL-006","PCT-ES-002","Medium","fractionalError","PERCENT","A student multiplied a number by 300/500 instead of 400/1000. Find the percentage error in the calculation.","$$50\%$$","Given

[
\Rightarrow \text{Correct}=\frac{400}{1000},\quad\text{Wrong}=\frac{300}{500}
] | Calculation

[
\Rightarrow \left(\frac{\frac{300}{500}}{\frac{400}{1000}}-1\right)100
] | =

[
\Rightarrow =$$50\%$$
] | Answer

[
\Rightarrow $$50\%$$
] | Hence, the percentage error is $$50\%$$.","PASS"
"en","PCT-CP-002","PCT-QL-008","PCT-ES-002","Easy","wrongMultiplier","PERCENT","A student multiplied a number by 600 instead of 200. Find the percentage error in the calculation.","$$200\%$$","Given

[
\Rightarrow \text{Error factor}=\frac{600}{200}
] | Calculation

[
\Rightarrow \left(\frac{600}{200}-1\right)100
] | =

[
\Rightarrow =$$200\%$$
] | Answer

[
\Rightarrow $$200\%$$
] | Hence, the percentage error is $$200\%$$.","PASS"
"en","PCT-CP-002","PCT-QL-011","PCT-ES-002","Medium","wrongDivisor","PERCENT","A number was to be divided by 1000, but it was divided by 500. Find the percentage error.","$$100\%$$","Given

[
\Rightarrow \text{Quotient factor}=\frac{1000}{500}
] | Calculation

[
\Rightarrow \left|\frac{1000}{500}-1\right|100
] | =

[
\Rightarrow =$$100\%$$
] | Answer

[
\Rightarrow $$100\%$$
] | So, the percentage error is $$100\%$$.","PASS"
"en","PCT-CP-002","PCT-QL-006","PCT-ES-002","Medium","fractionalError","PERCENT","A student multiplied a number by 300/500 instead of 100/500. Find the percentage error in the calculation.","$$200\%$$","Given

[
\Rightarrow \text{Correct}=\frac{100}{500},\quad\text{Wrong}=\frac{300}{500}
] | Calculation

[
\Rightarrow \left(\frac{\frac{300}{500}}{\frac{100}{500}}-1\right)100
] | =

[
\Rightarrow =$$200\%$$
] | Answer

[
\Rightarrow $$200\%$$
] | Hence, the percentage error is $$200\%$$.","PASS"
"en","PCT-CP-002","PCT-QL-008","PCT-ES-002","Medium","wrongMultiplier","PERCENT","A student multiplied a number by 1200 instead of 500. Find the percentage error in the calculation.","$$140\%$$","Given

[
\Rightarrow \text{Error factor}=\frac{1200}{500}
] | Calculation

[
\Rightarrow \left(\frac{1200}{500}-1\right)100
] | =

[
\Rightarrow =$$140\%$$
] | Answer

[
\Rightarrow $$140\%$$
] | Accordingly, the percentage error is $$140\%$$.","PASS"
"en","PCT-CP-002","PCT-QL-011","PCT-ES-002","Medium","wrongDivisor","PERCENT","A number was to be divided by 250, but it was divided by 125. Find the percentage error.","$$100\%$$","Given

[
\Rightarrow \text{Quotient factor}=\frac{250}{125}
] | Calculation

[
\Rightarrow \left|\frac{250}{125}-1\right|100
] | =

[
\Rightarrow =$$100\%$$
] | Answer

[
\Rightarrow $$100\%$$
] | Therefore, the percentage error is $$100\%$$.","PASS"
