"questionId","qlId","difficulty","contextKind","context","semanticUnit","direction","numericProfile","knownRate","knownValue","targetRate","singleUnitValue","targetValue","parityStatus","determinismStatus","validatorsStatus","shadowStatus","realismStatus","presentationStatus","entityPolicyStatus","moneyPolicyStatus","contextPolicyStatus","validationFailureCodes","approval","reviewerNotes","status"
"CSV-001-0001","PCT-QL-017","Easy","money","monthly salary","rupees","TARGET_GREATER","INTEGER_UNIT_VALUE","20","20000","25","1000","25000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0002","PCT-QL-117","Easy","money","annual income","rupees","TARGET_GREATER","INTEGER_UNIT_VALUE","20","50000","25","2500","62500","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0003","PCT-QL-217","Easy","money","annual profit","rupees","TARGET_GREATER","INTEGER_UNIT_VALUE","20","30000","25","1500","37500","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0004","PCT-QL-317","Easy","money","expenses","rupees","TARGET_SMALLER","INTEGER_UNIT_VALUE","25","12500","20","500","10000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0005","PCT-QL-417","Easy","money","bonus","rupees","TARGET_SMALLER","INTEGER_UNIT_VALUE","25","25000","20","1000","20000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0006","PCT-QL-017","Medium","money","commission","rupees","TARGET_SMALLER","DECIMAL_UNIT_VALUE","37.5","18768.75","12.5","500.5","6256.25","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0007","PCT-QL-117","Medium","money","savings","rupees","TARGET_GREATER","DECIMAL_UNIT_VALUE","12.5","6256.25","37.5","500.5","18768.75","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0008","PCT-QL-217","Medium","money","revenue","rupees","TARGET_GREATER","INTEGER_UNIT_VALUE","12.5","12500","37.5","1000","37500","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0009","PCT-QL-317","Medium","count","students","students","TARGET_GREATER","INTEGER_UNIT_VALUE","12.5","125","37.5","10","375","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0010","PCT-QL-417","Medium","count","workers","workers","TARGET_SMALLER","INTEGER_UNIT_VALUE","37.5","750","12.5","20","250","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0011","PCT-QL-017","Hard","count","employees","employees","TARGET_SMALLER","INTEGER_UNIT_VALUE","99","4950","0.5","50","25","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0012","PCT-QL-117","Hard","count","books","books","TARGET_SMALLER","INTEGER_UNIT_VALUE","100","10000","1","100","100","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0013","PCT-QL-217","Hard","count","trees","trees","EQUAL_RATES","INTEGER_UNIT_VALUE","99","198","99","2","198","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0014","PCT-QL-317","Hard","count","families","families","EQUAL_RATES","INTEGER_UNIT_VALUE","99","396","99","4","396","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0015","PCT-QL-417","Hard","count","animals","animals","EQUAL_RATES","INTEGER_UNIT_VALUE","99","990","99","10","990","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0016","PCT-QL-017","Easy","count","inventory","inventory","TARGET_GREATER","INTEGER_UNIT_VALUE","25","500","50","20","1000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0017","PCT-QL-117","Easy","continuous","distance","kilometres","TARGET_GREATER","INTEGER_UNIT_VALUE","25","1250","50","50","2500","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0018","PCT-QL-217","Easy","continuous","area","square metres","TARGET_GREATER","INTEGER_UNIT_VALUE","25","2500","50","100","5000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0019","PCT-QL-317","Easy","continuous","weight","kilograms","TARGET_SMALLER","INTEGER_UNIT_VALUE","50","100","25","2","50","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0020","PCT-QL-417","Easy","continuous","volume","litres","TARGET_SMALLER","INTEGER_UNIT_VALUE","50","250","25","5","125","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0021","PCT-QL-017","Medium","continuous","production","units","TARGET_SMALLER","INTEGER_UNIT_VALUE","45","450","15","10","150","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0022","PCT-QL-117","Medium","continuous","population","people","TARGET_GREATER","INTEGER_UNIT_VALUE","15","300","45","20","900","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0023","PCT-QL-217","Medium","continuous","marks","marks","TARGET_GREATER","INTEGER_UNIT_VALUE","25","250","62.5","10","625","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0024","PCT-QL-317","Medium","abstract","number","abstract-number","TARGET_GREATER","INTEGER_UNIT_VALUE","25","625","62.5","25","1562.5","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0025","PCT-QL-417","Medium","money","monthly salary","rupees","TARGET_SMALLER","INTEGER_UNIT_VALUE","62.5","62500","25","1000","25000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0026","PCT-QL-017","Hard","money","annual income","rupees","TARGET_SMALLER","DECIMAL_UNIT_VALUE","82.5","165041.25","17.5","2000.5","35008.75","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0027","PCT-QL-117","Hard","money","annual profit","rupees","TARGET_SMALLER","DECIMAL_UNIT_VALUE","82.5","41291.25","17.5","500.5","8758.75","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
"CSV-001-0028","PCT-QL-217","Hard","money","expenses","rupees","EQUAL_RATES","INTEGER_UNIT_VALUE","100","50000","100","500","50000","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","PASS","[]","","","PENDING_REVIEW"
