packageId,cpId,qlId,taskKind,difficulty,stem,answer,explanation,stemRealism,solverCorrect,explanationQuality,optionQuality,editorialStatus,reviewNotes
"RAP-001","RAP-CP-001","RAP-QL-403","ratioTreeLinkage","Hard","दिया है कि बहन:पुत्र = 2:3, पुत्र:पिता = 3:4 और पिता:पुत्री = 4:5 है। बहन और पुत्री के बीच का अनुपात क्या होगा।","$$2 : 5$$","दिया गया संबंध

$$\Rightarrow बहन:पुत्र=2:3,\ पुत्र:पिता=3:4,\ पिता:पुत्री=4:5$$
नियम लिखें

$$\Rightarrow setup: \(\frac{A}{B} \times \frac{B}{C} \times \frac{C}{D} = \frac{A}{D}\)$$
मान रखें

$$\Rightarrow 2\times3\times4:3\times4\times5$$
सरल करें

$$\Rightarrow calculation: \(2:5\)$$
अतः बहन और पुत्री का अनुपात 2 : 5 है।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1902","ratioNormalization","Medium","6/3 : 6/2 अनुपात को पूर्ण संख्याओं में बदलें।","$$2 : 3$$","दिया गया संबंध

$$\Rightarrow \frac{6}{3}:\frac{6}{2}$$
नियम लिखें

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
मान रखें

$$\Rightarrow 6\times2:3\times6$$
सरल करें

$$\Rightarrow calculation: \(2:3\)$$
अतः सरल अनुपात 2 : 3 है।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1802","ratioNormalization","Medium","6/2 : 3/3 को सबसे सरल पूर्ण-संख्या अनुपात में घटाएं।","$$3 : 1$$","दिया गया संबंध

$$\Rightarrow \frac{6}{2}:\frac{3}{3}$$
नियम लिखें

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
मान रखें

$$\Rightarrow 6\times3:2\times3$$
सरल करें

$$\Rightarrow calculation: \(3:1\)$$
अतः सरल अनुपात 3 : 1 है।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1702","ratioNormalization","Medium","3/3 और 4/2 को सबसे सरल पूर्ण-संख्या अनुपात के रूप में व्यक्त करें।","$$1 : 2$$","दिया गया संबंध

$$\Rightarrow \frac{3}{3}:\frac{4}{2}$$
नियम लिखें

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
मान रखें

$$\Rightarrow 3\times2:3\times4$$
सरल करें

$$\Rightarrow calculation: \(1:2\)$$
अतः सरल अनुपात 1 : 2 है।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1602","ratioNormalization","Medium","4/2 : 9/3 के लिए पूर्ण-संख्या अनुपात दें।","$$2 : 3$$","दिया गया संबंध

$$\Rightarrow \frac{4}{2}:\frac{9}{3}$$
नियम लिखें

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
मान रखें

$$\Rightarrow 4\times3:2\times9$$
सरल करें

$$\Rightarrow calculation: \(2:3\)$$
अतः सरल अनुपात 2 : 3 है।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-011","salaryDistribution","Easy","पिता के मासिक खर्च और बचत का अनुपात 6:3 है। यदि कुल वेतन Rs. 10800 है, तो पिता हर महीने कितनी बचत करता है।","$$3600$$","दिया गया संबंध

$$\Rightarrow \text{Exp:Sav}=6:3,\ S=10800$$
नियम लिखें

$$\Rightarrow setup: \(salary parts = expense + saving\)$$
मान रखें

$$\Rightarrow \frac{10800}{9}\times3$$
सरल करें

$$\Rightarrow calculation: \(3600\)$$
अतः पिता हर महीने 3600 रुपये बचाता है।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-011","salaryDistribution","Easy","पिता के मासिक खर्च और बचत का अनुपात 7:3 है। यदि कुल वेतन Rs. 11000 है, तो पिता हर महीने कितनी बचत करता है।","$$3300$$","दिया गया संबंध

$$\Rightarrow \text{Exp:Sav}=7:3,\ S=11000$$
नियम लिखें

$$\Rightarrow setup: \(salary parts = expense + saving\)$$
मान रखें

$$\Rightarrow \frac{11000}{10}\times3$$
सरल करें

$$\Rightarrow calculation: \(3300\)$$
अतः पिता हर महीने 3300 रुपये बचाता है।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-009","reversePartition","Hard","पिता, भाई और पुत्र के हिस्से 8:7:5 के अनुपात में हैं। यदि पिता को पुत्र से Rs. 180 अधिक मिलते हैं, तो कुल कितनी राशि बांटी गई थी।","$$1200$$","दिया गया संबंध

$$\Rightarrow पिता:भाई:पुत्र=8:7:5,\ D=180$$
नियम लिखें

$$\Rightarrow setup: \(difference = (A-C) \times unit\)$$
मान रखें

$$\Rightarrow \frac{180}{3}\times20$$
सरल करें

$$\Rightarrow calculation: \(1200\)$$
अतः कुल राशि 1200 है।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-009","reversePartition","Hard","माता, भाई और पुत्र के हिस्से 5:4:2 के अनुपात में हैं। यदि माता को पुत्र से Rs. 420 अधिक मिलते हैं, तो कुल कितनी राशि बांटी गई थी।","$$1540$$","दिया गया संबंध

$$\Rightarrow माता:भाई:पुत्र=5:4:2,\ D=420$$
नियम लिखें

$$\Rightarrow setup: \(difference = (A-C) \times unit\)$$
मान रखें

$$\Rightarrow \frac{420}{3}\times11$$
सरल करें

$$\Rightarrow calculation: \(1540\)$$
अतः कुल राशि 1540 है।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-009","reversePartition","Hard","बहन, पुत्र और पिता के हिस्से 6:5:2 के अनुपात में हैं। यदि बहन को पिता से Rs. 120 अधिक मिलते हैं, तो कुल कितनी राशि बांटी गई थी।","$$390$$","दिया गया संबंध

$$\Rightarrow बहन:पुत्र:पिता=6:5:2,\ D=120$$
नियम लिखें

$$\Rightarrow setup: \(difference = (A-C) \times unit\)$$
मान रखें

$$\Rightarrow \frac{120}{4}\times13$$
सरल करें

$$\Rightarrow calculation: \(390\)$$
अतः कुल राशि 390 है।","","","","","PENDING",""
