Chapter,CP,Easy,Medium,Hard,Effective Families,Context Count,Structure Count
PCT-001,PCT-CP-001,113,54,0,9,2,3
PCT-001,PCT-CP-002,50,101,16,10,2,3
PCT-001,PCT-CP-003,20,147,0,8,2,4
PCT-001,PCT-CP-004,20,84,63,8,2,2
PCT-001,PCT-CP-005,28,110,28,12,5,4
PCT-001,PCT-CP-006,20,0,146,8,2,3
PCT-002,PCT-CP-001,100,0,0,2,2,2
PCT-002,PCT-CP-002,50,50,0,2,2,1
PCT-002,PCT-CP-003,50,50,0,2,2,2
PCT-002,PCT-CP-004,0,100,0,2,2,2
PCT-002,PCT-CP-005,100,0,0,2,1,2
PCT-002,PCT-CP-006,100,0,0,2,2,2
PCT-002,PCT-CP-007,50,50,0,2,2,1
PCT-002,PCT-CP-008,0,100,0,2,2,1
PCT-002,PCT-CP-009,50,50,0,2,1,2
PCT-002,PCT-CP-010,0,50,50,2,2,2
PCT-003,PCT-CP-001,100,0,0,2,2,1
PCT-003,PCT-CP-002,100,0,0,2,2,1
PCT-003,PCT-CP-003,0,100,0,2,2,1
PCT-003,PCT-CP-004,100,0,0,2,2,1
PCT-003,PCT-CP-005,0,100,0,2,2,1
PCT-003,PCT-CP-006,0,100,0,2,2,1
PCT-003,PCT-CP-007,0,0,100,2,2,1
PCT-003,PCT-CP-008,0,0,100,2,2,2
PCT-003,PCT-CP-009,100,0,0,2,1,1
PCT-003,PCT-CP-010,0,100,0,2,2,1
PCT-004,PCT-CP-001,100,0,0,2,2,1
PCT-004,PCT-CP-002,100,0,0,2,2,1
PCT-004,PCT-CP-003,0,100,0,2,2,1
PCT-004,PCT-CP-004,100,0,0,2,2,1
PCT-004,PCT-CP-005,0,100,0,2,2,1
PCT-004,PCT-CP-006,0,100,0,2,2,1
PCT-004,PCT-CP-007,0,0,100,2,2,1
PCT-004,PCT-CP-008,0,0,100,2,2,2
PCT-004,PCT-CP-009,100,0,0,2,1,1
PCT-004,PCT-CP-010,0,100,0,2,2,1
PCT-005,PCT-CP-001,100,0,0,2,2,1
PCT-005,PCT-CP-002,100,0,0,2,2,1
PCT-005,PCT-CP-003,0,100,0,2,2,1
PCT-005,PCT-CP-004,0,100,0,2,2,1
PCT-005,PCT-CP-005,100,0,0,2,1,1
PCT-005,PCT-CP-006,0,100,0,2,1,1
PCT-005,PCT-CP-007,0,100,0,2,1,1
PCT-005,PCT-CP-008,0,0,100,2,2,1
PCT-005,PCT-CP-009,0,0,100,2,1,1
PCT-005,PCT-CP-010,0,0,100,2,2,1
