"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Divisor","Remainder","Quotient","Dividend","Lower Bound","Upper Bound"
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:0","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 11994, quotient = 333, and remainder = 6.","36","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

36","36","6","333","11994","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:1","CP-006","Easy","Missing Component","QL-018","ES-004","Find the divisor if dividend = 297, quotient = 42, and remainder = 3.","7","Rearrange the division formula and simplify.

Answer:

7","7","3","42","297","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:2","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 8416, quotient = 300, and remainder = 16.","28","Rearrange the division formula and simplify.

Answer:

28","28","16","300","8416","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:3","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 539 gives quotient 44 and remainder 11. Determine the divisor.","12","Rearrange the division formula and simplify.

Answer:

12","12","11","44","539","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:4","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 1590, quotient = 41, and remainder = 32.","38","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

38","38","32","41","1590","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:5","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 354 gives quotient 50 and remainder 4. Determine the divisor.","7","Rearrange the division formula and simplify.

Answer:

7","7","4","50","354","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:6","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 16566, quotient = 424, and remainder = 30.","39","Rearrange the division formula and simplify.

Answer:

39","39","30","424","16566","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:7","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 339 gives quotient 28 and remainder 3. Determine the divisor.","12","Rearrange the division formula and simplify.

Answer:

12","12","3","28","339","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:8","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 140 gives quotient 9 and remainder 5. Determine the divisor.","15","Rearrange the division formula and simplify.

Answer:

15","15","5","9","140","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:9","CP-006","Easy","Missing Component","QL-019","ES-003","A dividend 177 gives quotient 44 and remainder 1. Determine the divisor.","4","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

4","4","1","44","177","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:10","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 6548, quotient = 242, and remainder = 14.","27","Rearrange the division formula and simplify.

Answer:

27","27","14","242","6548","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:11","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 94 gives quotient 47 and remainder 0. Determine the divisor.","2","Rearrange the division formula and simplify.

Answer:

2","2","0","47","94","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:12","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 148310 gives quotient 1786 and remainder 72. Determine the divisor.","83","Rearrange the division formula and simplify.

Answer:

83","83","72","1786","148310","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:13","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 78 gives quotient 13 and remainder 0. Determine the divisor.","6","Rearrange the division formula and simplify.

Answer:

6","6","0","13","78","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:14","CP-006","Easy","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 269

Quotient = 44

Remainder = 5","6","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

6","6","5","44","269","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:15","CP-006","Easy","Missing Component","QL-019","ES-004","A dividend 200 gives quotient 33 and remainder 2. Determine the divisor.","6","Rearrange the division formula and simplify.

Answer:

6","6","2","33","200","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:16","CP-006","Hard","Missing Component","QL-018","ES-004","Find the divisor if dividend = 138875, quotient = 4339, and remainder = 27.","32","Rearrange the division formula and simplify.

Answer:

32","32","27","4339","138875","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:17","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 6564

Quotient = 205

Remainder = 4","32","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

32","32","4","205","6564","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:18","CP-006","Medium","Missing Component","QL-019","ES-004","A dividend 289 gives quotient 57 and remainder 4. Determine the divisor.","5","Rearrange the division formula and simplify.

Answer:

5","5","4","57","289","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:19","CP-006","Medium","Missing Component","QL-018","ES-004","Find the divisor if dividend = 730, quotient = 121, and remainder = 4.","6","Rearrange the division formula and simplify.

Answer:

6","6","4","121","730","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:20","CP-006","Medium","Missing Component","QL-018","ES-003","Find the divisor if dividend = 5122, quotient = 365, and remainder = 12.","14","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

14","14","12","365","5122","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:21","CP-006","Hard","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 215768

Quotient = 4230

Remainder = 38","51","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

51","51","38","4230","215768","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:22","CP-006","Hard","Missing Component","QL-019","ES-004","A dividend 403410 gives quotient 4919 and remainder 52. Determine the divisor.","82","Rearrange the division formula and simplify.

Answer:

82","82","52","4919","403410","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:23","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 2008

Quotient = 60

Remainder = 28","33","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

33","33","28","60","2008","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:24","CP-006","Medium","Missing Component","QL-020","ES-003","Divisor = ?

Dividend = 4740

Quotient = 338

Remainder = 8","14","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

14","14","8","338","4740","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:25","CP-006","Medium","Missing Component","QL-020","ES-004","Divisor = ?

Dividend = 7685

Quotient = 480

Remainder = 5","16","Rearrange the division formula and simplify.

Answer:

16","16","5","480","7685","",""
"NS-REM-002:CP-006:NS-REM-002-HUMAN-REVIEW-500:CP-006:26","CP-006","Hard","Missing Component","QL-018","ES-003","Find the divisor if dividend = 28596, quotient = 549, and remainder = 48.","52","Use Dividend = Divisor * Quotient + Remainder.

Substitute the known values.

Answer:

52","52","48","549","28596","",""
