packageId,cpId,qlId,taskKind,difficulty,stem,answer,explanation,stemRealism,solverCorrect,explanationQuality,optionQuality,editorialStatus,reviewNotes
"RAP-001","RAP-CP-001","RAP-QL-403","ratioTreeLinkage","Hard","ਦਿੱਤਾ ਗਿਆ ਹੈ ਕਿ ਭੈਣ:ਪੁੱਤਰ = 2:3, ਪੁੱਤਰ:ਪਿਤਾ = 3:4 ਅਤੇ ਪਿਤਾ:ਪੁੱਤਰੀ = 4:5 ਹੈ। ਭੈਣ ਅਤੇ ਪੁੱਤਰੀ ਵਿਚਕਾਰ ਅਨੁਪਾਤ ਕੀ ਹੋਵੇਗਾ।","$$2 : 5$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow ਭੈਣ:ਪੁੱਤਰ=2:3,\ ਪੁੱਤਰ:ਪਿਤਾ=3:4,\ ਪਿਤਾ:ਪੁੱਤਰੀ=4:5$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(\frac{A}{B} \times \frac{B}{C} \times \frac{C}{D} = \frac{A}{D}\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow 2\times3\times4:3\times4\times5$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(2:5\)$$
ਇਸ ਲਈ ਭੈਣ ਅਤੇ ਪੁੱਤਰੀ ਦਾ ਅਨੁਪਾਤ 2 : 5 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1302","ratioNormalization","Medium","6/3 : 6/2 ਨੂੰ ਪੂਰਨ ਸੰਖਿਆਵਾਂ ਦੇ ਅਨੁਪਾਤ ਵਿੱਚ ਬਦਲੋ।","$$2 : 3$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow \frac{6}{3}:\frac{6}{2}$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow 6\times2:3\times6$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(2:3\)$$
ਇਸ ਲਈ ਸਭ ਤੋਂ ਸਰਲ ਅਨੁਪਾਤ 2 : 3 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1202","ratioNormalization","Medium","6/2 : 3/3 ਨਾਲ ਸੰਬੰਧਿਤ ਸਰਲ ਪੂਰਨ-ਸੰਖਿਆ ਅਨੁਪਾਤ ਦੀ ਗਿਣਤੀ ਕਰੋ।","$$3 : 1$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow \frac{6}{2}:\frac{3}{3}$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow 6\times3:2\times3$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(3:1\)$$
ਇਸ ਲਈ ਸਭ ਤੋਂ ਸਰਲ ਅਨੁਪਾਤ 3 : 1 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1102","ratioNormalization","Medium","3/3 : 4/2 ਭਿੰਨ ਅਨੁਪਾਤ ਨੂੰ ਪੂਰਨ ਸੰਖਿਆਵਾਂ ਵਿੱਚ ਦਰਸਾਓ।","$$1 : 2$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow \frac{3}{3}:\frac{4}{2}$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow 3\times2:3\times4$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(1:2\)$$
ਇਸ ਲਈ ਸਭ ਤੋਂ ਸਰਲ ਅਨੁਪਾਤ 1 : 2 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-001","RAP-QL-1002","ratioNormalization","Medium","4/2 : 9/3 ਲਈ ਸਭ ਤੋਂ ਸਰਲ ਪੂਰਨ-ਸੰਖਿਆ ਅਨੁਪਾਤ ਨਿਰਧਾਰਤ ਕਰੋ।","$$2 : 3$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow \frac{4}{2}:\frac{9}{3}$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(\frac{a}{b}:\frac{c}{d} = ad:bc\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow 4\times3:2\times9$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(2:3\)$$
ਇਸ ਲਈ ਸਭ ਤੋਂ ਸਰਲ ਅਨੁਪਾਤ 2 : 3 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-011","salaryDistribution","Easy","ਪਿਤਾ ਦੇ ਮਹੀਨਾਵਾਰ ਖਰਚੇ ਅਤੇ ਬਚਤ ਦਾ ਅਨੁਪਾਤ 6:3 ਹੈ। ਜੇ ਕੁੱਲ ਤਨਖਾਹ Rs. 10800 ਹੈ, ਤਾਂ ਪਿਤਾ ਹਰ ਮਹੀਨੇ ਕਿੰਨੀ ਬਚਤ ਕਰਦਾ ਹੈ।","$$3600$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow \text{Exp:Sav}=6:3,\ S=10800$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(salary parts = expense + saving\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow \frac{10800}{9}\times3$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(3600\)$$
ਇਸ ਲਈ ਪਿਤਾ ਹਰ ਮਹੀਨੇ 3600 ਰੁਪਏ ਬਚਾਉਂਦਾ ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-011","salaryDistribution","Easy","ਪਿਤਾ ਦੇ ਮਹੀਨਾਵਾਰ ਖਰਚੇ ਅਤੇ ਬਚਤ ਦਾ ਅਨੁਪਾਤ 7:3 ਹੈ। ਜੇ ਕੁੱਲ ਤਨਖਾਹ Rs. 11000 ਹੈ, ਤਾਂ ਪਿਤਾ ਹਰ ਮਹੀਨੇ ਕਿੰਨੀ ਬਚਤ ਕਰਦਾ ਹੈ।","$$3300$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow \text{Exp:Sav}=7:3,\ S=11000$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(salary parts = expense + saving\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow \frac{11000}{10}\times3$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(3300\)$$
ਇਸ ਲਈ ਪਿਤਾ ਹਰ ਮਹੀਨੇ 3300 ਰੁਪਏ ਬਚਾਉਂਦਾ ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-009","reversePartition","Hard","ਪਿਤਾ, ਭਰਾ ਅਤੇ ਪੁੱਤਰ ਦੇ ਹਿੱਸੇ 8:7:5 ਦੇ ਅਨੁਪਾਤ ਵਿੱਚ ਹਨ। ਜੇ ਪਿਤਾ ਨੂੰ ਪੁੱਤਰ ਨਾਲੋਂ Rs. 180 ਵੱਧ ਮਿਲਦੇ ਹਨ, ਤਾਂ ਕੁੱਲ ਕਿੰਨੀ ਰਕਮ ਵੰਡੀ ਗਈ ਸੀ।","$$1200$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow ਪਿਤਾ:ਭਰਾ:ਪੁੱਤਰ=8:7:5,\ D=180$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(difference = (A-C) \times unit\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow \frac{180}{3}\times20$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(1200\)$$
ਇਸ ਲਈ ਕੁੱਲ ਰਕਮ 1200 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-009","reversePartition","Hard","ਮਾਤਾ, ਭਰਾ ਅਤੇ ਪੁੱਤਰ ਦੇ ਹਿੱਸੇ 5:4:2 ਦੇ ਅਨੁਪਾਤ ਵਿੱਚ ਹਨ। ਜੇ ਮਾਤਾ ਨੂੰ ਪੁੱਤਰ ਨਾਲੋਂ Rs. 420 ਵੱਧ ਮਿਲਦੇ ਹਨ, ਤਾਂ ਕੁੱਲ ਕਿੰਨੀ ਰਕਮ ਵੰਡੀ ਗਈ ਸੀ।","$$1540$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow ਮਾਤਾ:ਭਰਾ:ਪੁੱਤਰ=5:4:2,\ D=420$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(difference = (A-C) \times unit\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow \frac{420}{3}\times11$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(1540\)$$
ਇਸ ਲਈ ਕੁੱਲ ਰਕਮ 1540 ਹੈ।","","","","","PENDING",""
"RAP-001","RAP-CP-002","RAP-QL-009","reversePartition","Hard","ਭੈਣ, ਪੁੱਤਰ ਅਤੇ ਪਿਤਾ ਦੇ ਹਿੱਸੇ 6:5:2 ਦੇ ਅਨੁਪਾਤ ਵਿੱਚ ਹਨ। ਜੇ ਭੈਣ ਨੂੰ ਪਿਤਾ ਨਾਲੋਂ Rs. 120 ਵੱਧ ਮਿਲਦੇ ਹਨ, ਤਾਂ ਕੁੱਲ ਕਿੰਨੀ ਰਕਮ ਵੰਡੀ ਗਈ ਸੀ।","$$390$$","ਦਿੱਤਾ ਸੰਬੰਧ

$$\Rightarrow ਭੈਣ:ਪੁੱਤਰ:ਪਿਤਾ=6:5:2,\ D=120$$
ਨਿਯਮ ਲਿਖੋ

$$\Rightarrow setup: \(difference = (A-C) \times unit\)$$
ਮੁੱਲ ਰੱਖੋ

$$\Rightarrow \frac{120}{4}\times13$$
ਸਰਲ ਕਰੋ

$$\Rightarrow calculation: \(390\)$$
ਇਸ ਲਈ ਕੁੱਲ ਰਕਮ 390 ਹੈ।","","","","","PENDING",""
