"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","percentOf","ABSOLUTE","In an election, 5% of the 500 registered voters cast their vote. How many votes were cast?","25","We need to calculate 5% of the base value 500. | The formula to find $x\%$ of $y$ is: | $$\frac{x}{100} \times y$$ | Substitute $x = 5$ and $y = 500$: | $$\frac{5}{100} \times 500$$ | Simplify the multiplication: | $$\frac{5 \times 500}{100} = 25$$ | Therefore, 5% of 500 is 25.","PASS"
"en","PCT-CP-002","PCT-QL-010","PCT-ES-002","Easy","increaseNewValue","ABSOLUTE","If 5000 is increased by 50%, find the new number.","7500","Our objective is to find the required quantity. | We apply the standard rule: | $$\(increaseNewValue\)$$ | Plugging in the parameters: | $$\(7500\)$$ | Calculating the final value. | Therefore, we get 7500.","PASS"
"en","PCT-CP-003","PCT-QL-020","PCT-ES-003","Medium","successiveIncrease","PERCENT","Two successive increases of 40% and 50% are equal to a single increase of how much?","110%","Let's determine the final amount for the scenario. | The mathematical relationship is: | $$\(successiveIncrease\)$$ | Inserting the given numbers: | $$\(110%\)$$ | Solving it yields the final answer. | The computed result is 110%.","PASS"
"en","PCT-CP-004","PCT-QL-028","PCT-ES-004","Medium","invarianceDecrease","PERCENT","If the price of sugar increases by 22%, by how much percent should a family reduce its consumption to keep the expenditure same?","18.03%","Let's determine the final amount for the scenario. | The mathematical relationship is: | $$\(invarianceDecrease\)$$ | Inserting the given numbers: | $$\(18.03%\)$$ | Solving it yields the final answer. | The computed result is 18.03%.","PASS"
"en","PCT-CP-005","PCT-QL-036","PCT-ES-005","Medium","incomePartition","ABSOLUTE","A man spends 25% of his income on food, 25% on rent and 20% on other things. If he saves Rs. 600, find his total income.","2000","Let's determine the final amount for the scenario. | The mathematical relationship is: | $$\(incomePartition\)$$ | Inserting the given numbers: | $$\(2000\)$$ | Solving it yields the final answer. | The computed result is 2000.","PASS"
"en","PCT-CP-006","PCT-QL-048","PCT-ES-006","Hard","dilutionAddWater","ABSOLUTE","A mixture of 225 litres has 16.66% acid. How much water should be added to make it 10% acid?","149.85","We need to calculate the target value for this problem. | Using the appropriate formula: | $$\(dilutionAddWater\)$$ | Substitute the values: | $$\(149.85\)$$ | Simplify the expression to get the result. | Thus, the answer is 149.85.","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","percentOf","ABSOLUTE","In an election, 15% of the 500 registered voters cast their vote. How many votes were cast?","75","We need to calculate 15% of the base value 500. | The formula to find $x\%$ of $y$ is: | $$\frac{x}{100} \times y$$ | Substitute $x = 15$ and $y = 500$: | $$\frac{15}{100} \times 500$$ | Simplify the multiplication: | $$\frac{15 \times 500}{100} = 75$$ | Therefore, 15% of 500 is 75.","PASS"
"en","PCT-CP-002","PCT-QL-011","PCT-ES-002","Easy","decreaseNewValue","ABSOLUTE","If 200 is decreased by 10%, find the new number.","180","Our objective is to find the required quantity. | We apply the standard rule: | $$\(decreaseNewValue\)$$ | Plugging in the parameters: | $$\(180\)$$ | Calculating the final value. | Therefore, we get 180.","PASS"
"en","PCT-CP-003","PCT-QL-021","PCT-ES-003","Medium","successiveIncrease","PERCENT","The population of a town increases by 80% in the first year and by 30% in the second year. Find the total percentage increase.","134%","Our objective is to find the required quantity. | We apply the standard rule: | $$\(successiveIncrease\)$$ | Plugging in the parameters: | $$\(134%\)$$ | Calculating the final value. | Therefore, we get 134%.","PASS"
"en","PCT-CP-004","PCT-QL-029","PCT-ES-004","Medium","invarianceIncrease","PERCENT","The price of petrol falls by 35%. By what percent can a person increase his consumption so that the total cost remains same?","53.85%","Our objective is to find the required quantity. | We apply the standard rule: | $$\(invarianceIncrease\)$$ | Plugging in the parameters: | $$\(53.85%\)$$ | Calculating the final value. | Therefore, we get 53.85%.","PASS"
