"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","percentOf","ABSOLUTE","In an election, 5% of the 500 registered voters cast their vote. How many votes were cast?","$$25$$","5% of 500 | $$5\%\text{ of }500$$ | = | $$\frac{5}{100}\times500$$ | = | $$\frac{5\times500}{100}$$ | = | $$$$25$$$$ | Hence, the required value is $$25$$.","PASS"
"en","PCT-CP-002","PCT-QL-010","PCT-ES-002","Easy","increaseNewValue","ABSOLUTE","If 5000 is increased by 50%, find the new number.","$$7500$$","Given | $$5000\times\frac{100+50}{100}$$ | Calculation | $$5000\times\frac{150}{100}$$ | = | $$=$$7500$$$$ | Answer | $$$$7500$$$$ | So, the increased value is $$7500$$.","PASS"
"en","PCT-CP-003","PCT-QL-020","PCT-ES-003","Medium","successiveIncrease","PERCENT","Two successive increases of 40% and 50% are equal to a single increase of how much?","$$110\%$$","Given | $$40+50+\frac{40\times50}{100}$$ | Calculation | $$90+\frac{2000}{100}$$ | = | $$=$$110\%$$$$ | Answer | $$$$110\%$$$$ | So, the single equivalent increase is $$110\%$$.","PASS"
"en","PCT-CP-004","PCT-QL-028","PCT-ES-004","Medium","invarianceDecrease","PERCENT","If the price of sugar increases by 22%, by how much percent should a family reduce its consumption to keep the expenditure same?","$$18.03\%$$","Given | $$\text{New base}=100+22=122$$ | Calculation | $$\frac{22\times100}{122}$$ | = | $$=$$18.03\%$$$$ | Answer | $$$$18.03\%$$$$ | Hence, the required decrease is $$18.03\%$$.","PASS"
"en","PCT-CP-005","PCT-QL-036","PCT-ES-005","Medium","incomePartition","ABSOLUTE","A man spends 25% of his income on food, 25% on rent and 20% on other things. If he saves Rs. 1800, find his total income.","$$6000$$","Given | $$100-25-25-20=30\%$$ | Calculation | $$\frac{1800\times100}{30}$$ | = | $$=$$6000$$$$ | Answer | $$$$6000$$$$ | Thus, the total income is $$6000$$.","PASS"
"en","PCT-CP-006","PCT-QL-048","PCT-ES-006","Hard","dilutionAddWater","ABSOLUTE","A mixture of 20000 litres has 16.66% acid. How much water should be added to make it 10% acid?","$$13320$$","Given | $$\text{Acid}=\frac{16.66}{100}\times20000$$ | Calculation | $$\text{Final volume}=\frac{3332\times100}{10}$$ | = | $$\text{Water}=\frac{3332\times100}{10}-20000=$$13320$$$$ | Answer | $$$$13320$$$$ | Therefore, the water added is $$13320$$.","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","percentOf","ABSOLUTE","In an election, 15% of the 500 registered voters cast their vote. How many votes were cast?","$$75$$","15% of 500 | $$15\%\text{ of }500$$ | = | $$\frac{15}{100}\times500$$ | = | $$\frac{15\times500}{100}$$ | = | $$$$75$$$$ | Hence, the required value is $$75$$.","PASS"
"en","PCT-CP-002","PCT-QL-011","PCT-ES-002","Easy","decreaseNewValue","ABSOLUTE","If 200 is decreased by 10%, find the new number.","$$180$$","Given | $$200\times\frac{100-10}{100}$$ | Calculation | $$200\times\frac{90}{100}$$ | = | $$=$$180$$$$ | Answer | $$$$180$$$$ | Accordingly, the reduced value is $$180$$.","PASS"
"en","PCT-CP-003","PCT-QL-021","PCT-ES-003","Medium","successiveIncrease","PERCENT","The population of a town increases by 80% in the first year and by 30% in the second year. Find the total percentage increase.","$$134\%$$","Given | $$80+30+\frac{80\times30}{100}$$ | Calculation | $$110+\frac{2400}{100}$$ | = | $$=$$134\%$$$$ | Answer | $$$$134\%$$$$ | Thus, the single equivalent increase is $$134\%$$.","PASS"
"en","PCT-CP-004","PCT-QL-029","PCT-ES-004","Medium","invarianceIncrease","PERCENT","The price of petrol falls by 35%. By what percent can a person increase his consumption so that the total cost remains same?","$$53.85\%$$","Given | $$\text{New base}=100-35=65$$ | Calculation | $$\frac{35\times100}{65}$$ | = | $$=$$53.85\%$$$$ | Answer | $$$$53.85\%$$$$ | Accordingly, the permissible increase is $$53.85\%$$.","PASS"
