export,id,family,correct,distractors,ugly_decimal,large_scale,suggestion
corpus-2026-05-21-191626,pl_cp_sp_percent|400|500|25,profit_loss_discount,25% profit,"[30.0, 20.0, 50.0]",False,False,ok
corpus-2026-05-21-191626,pl_cp_percent_to_sp|800|30|1,profit_loss_discount,₹1040,[],False,False,ok
corpus-2026-05-21-191626,pl_sp_percent_to_cp|600|25|-1,profit_loss_discount,₹800,[],False,False,ok
corpus-2026-05-21-191626,pl_mp_discount_to_sp|800|20,profit_loss_discount,₹640,[],False,False,ok
corpus-2026-05-21-191626,pl_mp_sp_discount_percent|600|360|40,profit_loss_discount,40%,"[40.0, 45.0, 35.0, 80.0]",False,False,ok
corpus-2026-05-21-191626,pl_cp_mp_discount_to_percent|800|1000|10,profit_loss_discount,12.5% profit,"[17.5, 7.5, 25.0]",False,False,ok
corpus-2026-05-21-191626,pl_successive_discounts|400|25|20,profit_loss_discount,₹240,[],False,False,ok
corpus-2026-05-21-191626,pl_mp_for_target_profit|1200|10|10,profit_loss_discount,₹1466.67,[],False,False,ok
corpus-2026-05-21-191626,pl_equal_sp_profit_loss|600|30|30|461.54|857.14,profit_loss_discount,9% loss,"[14.0, 4.0, 18.0]",False,False,ok
corpus-2026-05-21-191626,pl_two_article_overall|800|15|300|15|920|255,profit_loss_discount,6.82% profit,"[11.82, 1.82, 13.64]",False,False,ok
corpus-2026-05-21-191626,pl_cp_sp_percent|1200|1080|10,profit_loss_discount,10% loss,"[15.0, 5.0, 20.0]",False,False,ok
corpus-2026-05-21-191626,pl_cp_percent_to_sp|1000|40|-1,profit_loss_discount,₹600,[],False,False,ok
corpus-2026-05-21-191626,pl_sp_percent_to_cp|400|40|-1,profit_loss_discount,₹666.67,[],False,False,ok
corpus-2026-05-21-191626,pl_mp_discount_to_sp|1200|10,profit_loss_discount,₹1080,[],False,False,ok
corpus-2026-05-21-191626,pl_mp_sp_discount_percent|800|560|30,profit_loss_discount,30%,"[30.0, 35.0, 25.0, 60.0]",False,False,ok
corpus-2026-05-21-191626,pl_cp_mp_discount_to_percent|400|600|12.5,profit_loss_discount,31.25% profit,"[36.25, 26.25, 62.5]",False,False,ok
corpus-2026-05-21-191626,pl_successive_discounts|400|30|25,profit_loss_discount,₹210,[],False,False,ok
corpus-2026-05-21-191626,pl_mp_for_target_profit|800|20|25,profit_loss_discount,₹1280,[],False,False,ok
corpus-2026-05-21-191626,pl_equal_sp_profit_loss|1200|20|10|1000|1333.33,profit_loss_discount,2.86% profit,"[7.86, 2.14, 5.72]",False,False,ok
corpus-2026-05-21-191626,pl_two_article_overall|1200|10|1200|15|1320|1020,profit_loss_discount,2.5% loss,"[7.5, 5.0, 17.5]",False,False,ok
corpus-2026-05-21-191626,pl_cp_sp_percent|400|450|12.5,profit_loss_discount,12.5% profit,"[17.5, 7.5, 25.0]",False,False,ok
corpus-2026-05-21-191626,pl_cp_percent_to_sp|400|15|-1,profit_loss_discount,₹340,[],False,False,ok
corpus-2026-05-21-191626,pl_sp_percent_to_cp|400|12.5|-1,profit_loss_discount,₹457.14,[],False,False,ok
