qlId,aiEditorialStatus,remediationClass,notes,humanReviewStatus
TRG-001-QL-001,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-002,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-003,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-004,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-005,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-006,PASS,MINOR_EDITORIAL_REMEDIATION,"Rewrote internal variable-assignment stem into normal exam prose.",PENDING
TRG-001-QL-007,PASS,MINOR_EDITORIAL_REMEDIATION,"Rewrote internal variable-assignment stem into normal exam prose.",PENDING
TRG-001-QL-008,PASS,MINOR_EDITORIAL_REMEDIATION,"Added normal right-triangle prose and explicit units.",PENDING
TRG-001-QL-009,PASS,MINOR_EDITORIAL_REMEDIATION,"Added normal right-triangle prose and explicit units.",PENDING
TRG-001-QL-010,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-011,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-012,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-025,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-026,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-027,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-028,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-029,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-030,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-031,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-032,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-033,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-034,PASS,MAJOR_GENERATOR_REMODEL,"Replaced semantic duplicate with different-angle square-sum pattern.",PENDING
TRG-001-QL-035,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-036,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-049,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-050,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-051,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-052,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
TRG-001-QL-053,PASS,NO_CHANGE_REQUIRED,"Stem, options, mathematics and difficulty fit passed the AI editorial review.",PENDING
