"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"pa","PCT-CP-001","PCT-QL-008","PCT-ES-001","Easy","ratioFromPercentEquality","RATIO","ਜੇ A ਦਾ 15%, B ਦੇ 20% ਦੇ ਬਰਾਬਰ ਹੈ, ਤਾਂ A:B ਪਤਾ ਕਰੋ।","4:3","After simplification, A:B = 4:3. | ਦਿੱਤੇ ਮੁੱਲਾਂ ਨੂੰ ਸੰਬੰਧ ਵਿੱਚ ਰੱਖੋ। | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਇਸ ਤਰ੍ਹਾਂ ਪ੍ਰਾਪਤ ਮੁੱਲ 4:3 ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-009","PCT-ES-001","Easy","reversePercent","ABSOLUTE","ਕਿਸੇ ਸੰਖਿਆ ਦਾ 10% = 200 ਹੈ। ਉਹ ਸੰਖਿਆ ਪਤਾ ਕਰੋ।","2000","10% of the number is 200. | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਸਰਲ ਕਰਦੇ ਸਮੇਂ ਆਧਾਰ ਮੁੱਲ ਨੂੰ ਸਪੱਸ਼ਟ ਰੱਖੋ। | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਅਤੇ ਸਹੀ ਉੱਤਰ 2000 ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","percentOf","ABSOLUTE","100 ਦਾ 5% ਕਿੰਨਾ ਹੋਵੇਗਾ?","5","5% means 5/100. | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਹੁਣ ਗਣਨਾ ਨੂੰ ਧਿਆਨ ਨਾਲ ਸਰਲ ਕਰੋ। | ਇਸ ਲਈ, ਉੱਤਰ 5 ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","percentOf","ABSOLUTE","1000 ਦਾ 50% ਪਤਾ ਕਰੋ।","500","ਦਿੱਤੇ ਸੰਬੰਧ ਨੂੰ ਧਿਆਨ ਨਾਲ ਵੇਖੋ। | 50% means 50/100. | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਲੋੜੀਂਦਾ ਮੁੱਲ 500 ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-003","PCT-ES-001","Easy","percentToFraction","FRACTION","40% ਨੂੰ ਭਿੰਨ ਵਿੱਚ ਲਿਖੋ।","2/5","ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਦਿੱਤੇ ਸੰਬੰਧ ਨੂੰ ਧਿਆਨ ਨਾਲ ਵੇਖੋ। | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | The calculation gives 2/5. | ਇਸ ਲਈ, ਅੰਤਿਮ ਉੱਤਰ 2/5 ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-004","PCT-ES-001","Easy","valueAsPercent","PERCENT","200, 5000 ਦਾ ਕਿੰਨੇ ਪ੍ਰਤੀਸ਼ਤ ਹੈ?","4%","ਦਿੱਤੇ ਸੰਬੰਧ ਨੂੰ ਧਿਆਨ ਨਾਲ ਵੇਖੋ। | Percentage = 200 x 100 / 5000. | Percentage = 4%. | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਲੋੜੀਂਦਾ ਮੁੱਲ 4% ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-005","PCT-ES-001","Easy","directRelation","ABSOLUTE","A, B ਦਾ 25% ਹੈ। ਜੇ B = 2000, ਤਾਂ A ਪਤਾ ਕਰੋ।","500","25% means 25/100. | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਹੁਣ ਗਣਨਾ ਨੂੰ ਧਿਆਨ ਨਾਲ ਸਰਲ ਕਰੋ। | ਇਸ ਲਈ, ਉੱਤਰ 500 ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-006","PCT-ES-001","Easy","moreToLess","PERCENT","A, B ਨਾਲੋਂ 20% ਵੱਧ ਹੈ। B, A ਨਾਲੋਂ ਕਿੰਨੇ ਪ੍ਰਤੀਸ਼ਤ ਘੱਟ ਹੈ?","16.67%","ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | Let the smaller value be 100. | Then the larger value = 100 + 20 = 120. | The calculation gives 16.67%. | ਇਸ ਲਈ, ਅੰਤਿਮ ਉੱਤਰ 16.67% ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-007","PCT-ES-001","Easy","lessToMore","PERCENT","A, B ਨਾਲੋਂ 15% ਘੱਟ ਹੈ। B, A ਨਾਲੋਂ ਕਿੰਨੇ ਪ੍ਰਤੀਸ਼ਤ ਵੱਧ ਹੈ?","17.65%","Let the larger value be 100. | Then the smaller value = 100 - 15 = 85. | ਸਰਲ ਕਰਦੇ ਸਮੇਂ ਆਧਾਰ ਮੁੱਲ ਨੂੰ ਸਪੱਸ਼ਟ ਰੱਖੋ। | More percentage from smaller side = 15 x 100 / 85 = 17.65%. | ਅਤੇ ਸਹੀ ਉੱਤਰ 17.65% ਹੈ।","PASS"
"pa","PCT-CP-001","PCT-QL-008","PCT-ES-001","Easy","ratioFromPercentEquality","RATIO","ਜੇ A ਦਾ 30%, B ਦੇ 25% ਦੇ ਬਰਾਬਰ ਹੈ, ਤਾਂ A:B ਪਤਾ ਕਰੋ।","5:6","After simplification, A:B = 5:6. | ਦਿੱਤੇ ਮੁੱਲਾਂ ਨੂੰ ਸੰਬੰਧ ਵਿੱਚ ਰੱਖੋ। | ਹੁਣ ਦਿੱਤੇ ਮੁੱਲਾਂ ਨਾਲ ਗਣਨਾ ਕਰੋ। | ਸਰਲ ਕਰਨ ਤੇ ਲੋੜੀਂਦਾ ਨਤੀਜਾ ਮਿਲਦਾ ਹੈ। | ਇਸ ਤਰ੍ਹਾਂ ਪ੍ਰਾਪਤ ਮੁੱਲ 5:6 ਹੈ।","PASS"
