"questionId","canonicalProblem","taskKind","qlId","language","difficulty","context","questionText","answer","approval","reviewerNotes","status"
"PCT-CP-002:PCT-QL-017:66805","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66806","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","expenditure","If 15% of a number is 300, find 50% of that number.","$$1000$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66807","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","salary","If 20% of a number is 250, find 60% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66808","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 50% of a number is 200, find 10% of that number.","$$40$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66810","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","income","If 80% of a number is 100, find 20% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66811","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 10% of a number is 600, find 25% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66814","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 50% of a number is 300, find 50% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66836","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","saving","If 40% of a number is 500, find 30% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66837","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","income","If 10% of a number is 400, find 40% of that number.","$$1600$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66838","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 15% of a number is 300, find 50% of that number.","$$1000$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66839","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","salary","If 20% of a number is 250, find 60% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66840","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","expenditure","If 25% of a number is 200, find 10% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66841","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 30% of a number is 150, find 15% of that number.","$$75$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66842","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","income","If 80% of a number is 100, find 20% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66843","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","saving","If 10% of a number is 600, find 25% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66845","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","expenditure","If 20% of a number is 400, find 40% of that number.","$$800$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66867","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","income","If 30% of a number is 600, find 25% of that number.","$$500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66868","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","saving","If 40% of a number is 500, find 30% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66870","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","saving","If 50% of a number is 300, find 50% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66871","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 20% of a number is 250, find 60% of that number.","$$750$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66872","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","expenditure","If 25% of a number is 200, find 10% of that number.","$$80$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66873","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","saving","If 30% of a number is 150, find 15% of that number.","$$75$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66874","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 40% of a number is 100, find 20% of that number.","$$50$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66898","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","salary","If 80% of a number is 100, find 20% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66899","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","income","If 10% of a number is 600, find 25% of that number.","$$1500$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66900","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Hard","saving","If 40% of a number is 500, find 30% of that number.","$$375$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66902","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","saving","If 50% of a number is 300, find 50% of that number.","$$300$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66904","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Easy","expenditure","If 80% of a number is 200, find 10% of that number.","$$25$$","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66905","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","Medium","salary","If 30% of a number is 150, find 15% of that number.","$$75$$","","","PENDING_REVIEW"
