questionId,cpId,stem,answer,difficulty,questionLanguageId,explanationStyleId
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:0,CP-001,What is the largest common factor of 924 and 1386?,462,Hard,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:1,CP-001,What is the HCF of 96 and 144?,48,Medium,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:2,CP-001,Which is the largest number that divides all of 45 and 60 without leaving a remainder?,15,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:3,CP-001,Find the HCF of 81 and 128.,1,Medium,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:4,CP-001,Find the greatest common divisor (GCD) of 81 and 128.,1,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:5,CP-001,"Find the greatest positive integer by which each of 18, 30 and 42 is divisible.",6,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:6,CP-001,"Find the highest common factor of 18, 30 and 42.",6,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:7,CP-001,Find the greatest number that divides each of 35 and 64 exactly.,1,Easy,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:8,CP-001,What is the largest common factor of 924 and 1386?,462,Hard,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:9,CP-001,"What is the HCF of 18, 30 and 42?",6,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:10,CP-001,"Find the HCF of 18, 30 and 42.",6,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:11,CP-001,Which is the largest number that divides all of 81 and 128 without leaving a remainder?,1,Medium,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:12,CP-001,What is the HCF of 35 and 64?,1,Easy,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:13,CP-001,"What is the largest common factor of 72, 108 and 180?",36,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:14,CP-001,Find the greatest number that divides each of 35 and 64 exactly.,1,Easy,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:15,CP-001,"Find the highest common factor of 420, 630 and 840.",210,Hard,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:16,CP-001,"Find the greatest positive integer by which each of 18, 30 and 42 is divisible.",6,Easy,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:17,CP-001,Find the greatest common divisor (GCD) of 81 and 128.,1,Medium,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:18,CP-001,"Find the HCF of 18, 30 and 42.",6,Easy,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:19,CP-001,Which is the largest number that divides all of 24 and 36 without leaving a remainder?,12,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:20,CP-001,Find the highest common factor of 45 and 60.,15,Easy,QL-002,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:21,CP-001,Find the greatest number that divides each of 45 and 60 exactly.,15,Easy,QL-005,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:22,CP-001,Find the greatest common divisor (GCD) of 48 and 72.,24,Easy,QL-004,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:23,CP-001,Find the greatest positive integer by which each of 96 and 144 is divisible.,48,Medium,QL-007,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:24,CP-001,Which is the largest number that divides all of 24 and 36 without leaving a remainder?,12,Easy,QL-006,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:25,CP-001,"Find the HCF of 420, 630 and 840.",210,Hard,QL-001,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:26,CP-001,What is the largest common factor of 96 and 144?,48,Medium,QL-008,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:27,CP-001,"What is the HCF of 420, 630 and 840?",210,Hard,QL-003,ES-001
NS-HCF-001:CP-001:ns-hcf-001-human-review:CP-001:28,CP-001,Find the highest common factor of 35 and 64.,1,Easy,QL-002,ES-001
