"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"hi","PCT-CP-001","PCT-QL-009","PCT-ES-001","Easy","reversePercent","ABSOLUTE","किसी संख्या का 30% = 6000 है। वह संख्या ज्ञात कीजिए।","20000","30% of the number is 6000. | इसलिए, 1% of the number = 6000/ 30. | सरल करते समय आधार मान को स्पष्ट रखें। | इसलिए, 100% of the number = 6000 x 100 / 30 = 20000. आवश्यक मान: 20000 | अतः सही उत्तर 20000 है।","PASS"
"hi","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","percentOf","ABSOLUTE","100 का 25% कितना होगा?","25","आवश्यक मान: 25% of 100. | 25% means 25/100. | इसलिए, required value = 100 x 25/100 = 25. आवश्यक मान: 25 | अब गणना को ध्यान से सरल करें। | इसलिए, उत्तर 25 है।","PASS"
"hi","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","percentOf","ABSOLUTE","1000 का 20% ज्ञात कीजिए।","200","दिए गए संबंध को ध्यान से देखें। | आवश्यक मान: 20% of 1000. | 20% means 20/100. | इसलिए, required value = 1000 x 20/100 = 200. आवश्यक मान: 200 | अतः आवश्यक मान 200 है।","PASS"
"hi","PCT-CP-001","PCT-QL-003","PCT-ES-001","Easy","percentToFraction","FRACTION","15% को भिन्न में लिखिए।","3/20","अब दिए गए मानों से गणना करें। | 15% इसलिए 15/100 इसलिए | इसलिए इसलिए इसलिए इसलिए इसलिए इसलिए इसलिए | The calculation gives 3/20. | इसलिए, अंतिम उत्तर 3/20 है।","PASS"
"hi","PCT-CP-001","PCT-QL-004","PCT-ES-001","Easy","valueAsPercent","PERCENT","6000, 200 का कितने प्रतिशत है?","3000%","दिए गए संबंध को ध्यान से देखें। | आवश्यक मान: to express 6000 as a percentage of 200. | Percentage = 6000 x 100 / 200. | Percentage = 3000%. आवश्यक मान: 3000% | अतः आवश्यक मान 3000% है।","PASS"
"hi","PCT-CP-001","PCT-QL-005","PCT-ES-001","Easy","directRelation","ABSOLUTE","A, B का 5% है। यदि B = 2000, तो A ज्ञात कीजिए।","100","आवश्यक मान: 5% of 2000. | 5% means 5/100. | इसलिए, required value = 2000 x 5/100 = 100. आवश्यक मान: 100 | अब गणना को ध्यान से सरल करें। | इसलिए, उत्तर 100 है।","PASS"
"hi","PCT-CP-001","PCT-QL-006","PCT-ES-001","Easy","moreToLess","PERCENT","A, B से 50% अधिक है। B, A से कितने प्रतिशत कम है?","33.33%","अब दिए गए मानों से गणना करें। | Let the smaller value be 100. | Then the larger value = 100 + 50 = 150. | The calculation gives 33.33%. | इसलिए, अंतिम उत्तर 33.33% है।","PASS"
"hi","PCT-CP-001","PCT-QL-007","PCT-ES-001","Easy","lessToMore","PERCENT","A, B से 40% कम है। B, A से कितने प्रतिशत अधिक है?","66.67%","Let the larger value be 100. | Then the smaller value = 100 - 40 = 60. | सरल करते समय आधार मान को स्पष्ट रखें। | More percentage from smaller side = 40 x 100 / 60 = 66.67%. आवश्यक मान: 66.67% | अतः सही उत्तर 66.67% है।","PASS"
"hi","PCT-CP-001","PCT-QL-008","PCT-ES-001","Easy","ratioFromPercentEquality","RATIO","यदि A का 45%, B के 60% के बराबर है, तो A:B ज्ञात कीजिए।","4:3","आवश्यक मान: 45% of A = 60% of B. | दिए गए मानों को संबंध में रखें। | इसलिए, A/B = 60/45. | After simplification, A:B = 4:3. आवश्यक मान: 4:3 | इस प्रकार प्राप्त मान 4:3 है।","PASS"
"hi","PCT-CP-001","PCT-QL-009","PCT-ES-001","Easy","reversePercent","ABSOLUTE","किसी संख्या का 25% = 120 है। वह संख्या ज्ञात कीजिए।","480","25% of the number is 120. | इसलिए, 1% of the number = 120/ 25. | सरल करते समय आधार मान को स्पष्ट रखें। | इसलिए, 100% of the number = 120 x 100 / 25 = 480. आवश्यक मान: 480 | अतः सही उत्तर 480 है।","PASS"
"hi","PCT-CP-001","PCT-QL-005","PCT-ES-001","Medium","directRelation","ABSOLUTE","A, B का 35% है। यदि B = 1260, तो A ज्ञात कीजिए।","441","आवश्यक मान: 35% of 1260. | 35% means 35/100. | इसलिए, required value = 1260 x 35/100 = 441. आवश्यक मान: 441 | अब गणना को ध्यान से सरल करें। | इसलिए, उत्तर 441 है।","PASS"
"hi","PCT-CP-001","PCT-QL-006","PCT-ES-001","Medium","moreToLess","PERCENT","A, B से 45% अधिक है। B, A से कितने प्रतिशत कम है?","31.03%","अब दिए गए मानों से गणना करें। | Let the smaller value be 100. | Then the larger value = 100 + 45 = 145. | The calculation gives 31.03%. | इसलिए, अंतिम उत्तर 31.03% है।","PASS"
"hi","PCT-CP-001","PCT-QL-007","PCT-ES-001","Medium","lessToMore","PERCENT","A, B से 12% कम है। B, A से कितने प्रतिशत अधिक है?","13.64%","Let the larger value be 100. | Then the smaller value = 100 - 12 = 88. | सरल करते समय आधार मान को स्पष्ट रखें। | More percentage from smaller side = 12 x 100 / 88 = 13.64%. आवश्यक मान: 13.64% | अतः सही उत्तर 13.64% है।","PASS"
