Question ID,CP,Number,Selected Prime,Difficulty Band,Question Language ID,Explanation Style ID,Question,Answer,Factorization Text,Factorization Latex,Explanation
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:0,CP-001,10985,,Hard,QL-002,ES-001,Express 10985 as a product of prime factors.,5 x 13^3,10985 = 5 x 13^3,10985 = 5 \times 13^{3},"Break the number into prime factors.

The prime factorization of 10985 is:

10985 = 5 x 13^3

Answer: 5 x 13^3"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:1,CP-001,3364,,Medium,QL-001,ES-001,Find the prime factorization of 3364.,2^2 x 29^2,3364 = 2^2 x 29^2,3364 = 2^{2} \times 29^{2},"Break the number into prime factors.

The prime factorization of 3364 is:

3364 = 2^2 x 29^2

Answer: 2^2 x 29^2"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:2,CP-001,1693,,Medium,QL-002,ES-001,Express 1693 as a product of prime factors.,1693,1693 = 1693,1693 = 1693,"Break the number into prime factors.

The prime factorization of 1693 is:

1693 = 1693

Answer: 1693"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:3,CP-001,24,,Easy,QL-001,ES-001,Find the prime factorization of 24.,2^3 x 3,24 = 2^3 x 3,24 = 2^{3} \times 3,"Break the number into prime factors.

The prime factorization of 24 is:

24 = 2^3 x 3

Answer: 2^3 x 3"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:4,CP-001,606,,Medium,QL-003,ES-001,Write the prime factorization of 606.,2 x 3 x 101,606 = 2 x 3 x 101,606 = 2 \times 3 \times 101,"Break the number into prime factors.

The prime factorization of 606 is:

606 = 2 x 3 x 101

Answer: 2 x 3 x 101"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:5,CP-001,45,,Easy,QL-001,ES-001,Find the prime factorization of 45.,3^2 x 5,45 = 3^2 x 5,45 = 3^{2} \times 5,"Break the number into prime factors.

The prime factorization of 45 is:

45 = 3^2 x 5

Answer: 3^2 x 5"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:6,CP-001,379,,Medium,QL-002,ES-001,Express 379 as a product of prime factors.,379,379 = 379,379 = 379,"Break the number into prime factors.

The prime factorization of 379 is:

379 = 379

Answer: 379"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:7,CP-001,19,,Easy,QL-003,ES-001,Write the prime factorization of 19.,19,19 = 19,19 = 19,"Break the number into prime factors.

The prime factorization of 19 is:

19 = 19

Answer: 19"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:8,CP-001,73,,Easy,QL-001,ES-001,Find the prime factorization of 73.,73,73 = 73,73 = 73,"Break the number into prime factors.

The prime factorization of 73 is:

73 = 73

Answer: 73"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:9,CP-001,102,,Easy,QL-002,ES-001,Express 102 as a product of prime factors.,2 x 3 x 17,102 = 2 x 3 x 17,102 = 2 \times 3 \times 17,"Break the number into prime factors.

The prime factorization of 102 is:

102 = 2 x 3 x 17

Answer: 2 x 3 x 17"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:10,CP-001,146,,Easy,QL-003,ES-001,Write the prime factorization of 146.,2 x 73,146 = 2 x 73,146 = 2 \times 73,"Break the number into prime factors.

The prime factorization of 146 is:

146 = 2 x 73

Answer: 2 x 73"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:11,CP-001,45789,,Hard,QL-003,ES-001,Write the prime factorization of 45789.,3 x 15263,45789 = 3 x 15263,45789 = 3 \times 15263,"Break the number into prime factors.

The prime factorization of 45789 is:

45789 = 3 x 15263

Answer: 3 x 15263"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:12,CP-001,2105,,Medium,QL-003,ES-001,Write the prime factorization of 2105.,5 x 421,2105 = 5 x 421,2105 = 5 \times 421,"Break the number into prime factors.

The prime factorization of 2105 is:

2105 = 5 x 421

Answer: 5 x 421"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:13,CP-001,890,,Medium,QL-001,ES-001,Find the prime factorization of 890.,2 x 5 x 89,890 = 2 x 5 x 89,890 = 2 \times 5 \times 89,"Break the number into prime factors.

The prime factorization of 890 is:

890 = 2 x 5 x 89

Answer: 2 x 5 x 89"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:14,CP-001,96,,Easy,QL-003,ES-001,Write the prime factorization of 96.,2^5 x 3,96 = 2^5 x 3,96 = 2^{5} \times 3,"Break the number into prime factors.

The prime factorization of 96 is:

96 = 2^5 x 3

Answer: 2^5 x 3"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:15,CP-001,93,,Easy,QL-003,ES-001,Write the prime factorization of 93.,3 x 31,93 = 3 x 31,93 = 3 \times 31,"Break the number into prime factors.

The prime factorization of 93 is:

93 = 3 x 31

Answer: 3 x 31"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:16,CP-001,145,,Easy,QL-002,ES-001,Express 145 as a product of prime factors.,5 x 29,145 = 5 x 29,145 = 5 \times 29,"Break the number into prime factors.

The prime factorization of 145 is:

145 = 5 x 29

Answer: 5 x 29"
NS-PF-001:CP-001:ns-pf-001-human-review:CP-001:17,CP-001,180,,Easy,QL-002,ES-001,Express 180 as a product of prime factors.,2^2 x 3^2 x 5,180 = 2^2 x 3^2 x 5,180 = 2^{2} \times 3^{2} \times 5,"Break the number into prime factors.

The prime factorization of 180 is:

180 = 2^2 x 3^2 x 5

Answer: 2^2 x 3^2 x 5"
