archetypeId,canonicalProblemId,questionId,difficultyBand,questionLanguageId,stem,answer,explanationStyleId,n,expression,zeroCount,base,exponent,numberA,numberB
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:0,Hard,QL-029,Find the number of terminal zeros in the decimal representation of 3776!.,943,ES-001,3776,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:1,Easy,QL-028,How many zeros appear consecutively at the end of 1! ?,0,ES-001,1,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:2,Medium,QL-003,Determine the number of trailing zeros in 274!.,66,ES-001,274,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:3,Hard,QL-006,Calculate the number of zeros at the end of 1743!.,432,ES-001,1743,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:4,Easy,QL-005,How many trailing zeros does 16! contain?,3,ES-001,16,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:5,Hard,QL-004,Find the count of terminal zeros in 2305!.,574,ES-001,2305,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:6,Easy,QL-029,Find the number of terminal zeros in the decimal representation of 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:7,Easy,QL-006,Calculate the number of zeros at the end of 115!.,27,ES-001,115,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:8,Medium,QL-005,How many trailing zeros does 40! contain?,9,ES-001,40,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:9,Hard,QL-028,How many zeros appear consecutively at the end of 1273! ?,316,ES-001,1273,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:10,Medium,QL-004,Find the count of terminal zeros in 905!.,225,ES-001,905,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:11,Easy,QL-001,Find the number of trailing zeros in 4!.,0,ES-001,4,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:12,Hard,QL-006,Calculate the number of zeros at the end of 3095!.,770,ES-001,3095,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:13,Easy,QL-001,Find the number of trailing zeros in 70!.,16,ES-001,70,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:14,Easy,QL-006,Calculate the number of zeros at the end of 37!.,8,ES-001,37,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:15,Hard,QL-027,The value of 2176! ends with how many zeros?,542,ES-001,2176,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:16,Medium,QL-004,Find the count of terminal zeros in 187!.,45,ES-001,187,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:17,Medium,QL-005,How many trailing zeros does 1394! contain?,346,ES-001,1394,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:18,Medium,QL-030,The factorial of 1317 is written in decimal form. How many trailing zeros does it contain?,327,ES-001,1317,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:19,Hard,QL-029,Find the number of terminal zeros in the decimal representation of 4648!.,1159,ES-001,4648,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:20,Hard,QL-003,Determine the number of trailing zeros in 996!.,246,ES-001,996,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:21,Medium,QL-030,The factorial of 1321 is written in decimal form. How many trailing zeros does it contain?,328,ES-001,1321,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:22,Easy,QL-027,The value of 18! ends with how many zeros?,3,ES-001,18,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:23,Medium,QL-002,How many zeros occur at the end of 567! ?,139,ES-001,567,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:24,Medium,QL-029,Find the number of terminal zeros in the decimal representation of 220!.,53,ES-001,220,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:25,Hard,QL-006,Calculate the number of zeros at the end of 15137!.,3781,ES-001,15137,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:26,Easy,QL-003,Determine the number of trailing zeros in 2!.,0,ES-001,2,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:27,Medium,QL-002,How many zeros occur at the end of 107! ?,25,ES-001,107,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:28,Easy,QL-001,Find the number of trailing zeros in 16!.,3,ES-001,16,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:29,Medium,QL-028,How many zeros appear consecutively at the end of 69! ?,15,ES-001,69,,,,,,
NS-TRAIL-001,CP-001,NS-TRAIL-001:CP-001:ns-trail-001-human-review-repair:CP-001:30,Easy,QL-002,How many zeros occur at the end of 15! ?,3,ES-001,15,,,,,,
