chapter,cpId,cpTheme,clusterLabel,qlIds,rawQlCount,taskKind,answerType,contextSurface,structureCategory,answerArchetype,classification,notes
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","A is p% of B","PCT-QL-005 | PCT-QL-105 | PCT-QL-205 | PCT-QL-305 | PCT-QL-405","5","directRelation","ABSOLUTE","","direct calculation","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","Less-to-more comparison","PCT-QL-007 | PCT-QL-107 | PCT-QL-207 | PCT-QL-307 | PCT-QL-407","5","lessToMore","PERCENT","","comparative","Difference/Comparison","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","More-to-less comparison","PCT-QL-006 | PCT-QL-106 | PCT-QL-206 | PCT-QL-306 | PCT-QL-406","5","moreToLess","PERCENT","","comparative","Difference/Comparison","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","Percent of total (contextual)","PCT-QL-001 | PCT-QL-002 | PCT-QL-1001 | PCT-QL-1002 | PCT-QL-101 | PCT-QL-102 | PCT-QL-1101 | PCT-QL-1102 | PCT-QL-1201 | PCT-QL-1202 | PCT-QL-1301 | PCT-QL-1302 | PCT-QL-1401 | PCT-QL-1402 | PCT-QL-1501 | PCT-QL-1502 | PCT-QL-1601 | PCT-QL-1602 | PCT-QL-1701 | PCT-QL-1702 | PCT-QL-1801 | PCT-QL-1802 | PCT-QL-1901 | PCT-QL-1902 | PCT-QL-201 | PCT-QL-202 | PCT-QL-301 | PCT-QL-302 | PCT-QL-401 | PCT-QL-402 | PCT-QL-501 | PCT-QL-502 | PCT-QL-601 | PCT-QL-602 | PCT-QL-701 | PCT-QL-702 | PCT-QL-801 | PCT-QL-802 | PCT-QL-901 | PCT-QL-902","40","percentOf","ABSOLUTE","election; votes; marks; population; income; salary; discount; factory","direct calculation","Final value","VARIANT","Same mathematical core but context changes create real but limited surface diversity."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","Percent to fraction conversion","PCT-QL-003 | PCT-QL-1003 | PCT-QL-103 | PCT-QL-1103 | PCT-QL-1203 | PCT-QL-1303 | PCT-QL-1403 | PCT-QL-1503 | PCT-QL-1603 | PCT-QL-1703 | PCT-QL-1803 | PCT-QL-1903 | PCT-QL-203 | PCT-QL-303 | PCT-QL-403 | PCT-QL-503 | PCT-QL-603 | PCT-QL-703 | PCT-QL-803 | PCT-QL-903","20","percentToFraction","FRACTION","","other","Conversion output","NEAR_DUPLICATE","Family shows some paraphrase/context spread, but most members still feel closely related."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","Ratio from equal percentages","PCT-QL-008 | PCT-QL-108 | PCT-QL-208 | PCT-QL-308 | PCT-QL-408","5","ratioFromPercentEquality","RATIO","","conversion","Conversion output","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","Whole from known percent value","PCT-QL-009 | PCT-QL-1009 | PCT-QL-109 | PCT-QL-1109 | PCT-QL-1209 | PCT-QL-1309 | PCT-QL-1409 | PCT-QL-1509 | PCT-QL-1609 | PCT-QL-1709 | PCT-QL-1809 | PCT-QL-1909 | PCT-QL-209 | PCT-QL-309 | PCT-QL-409 | PCT-QL-509 | PCT-QL-609 | PCT-QL-709 | PCT-QL-809 | PCT-QL-909","20","reversePercent","ABSOLUTE","election; votes; marks; population; income; salary; discount; students","reverse/recovery","Recovery value","VARIANT","Same mathematical core but context changes create real but limited surface diversity."
"PCT-001","PCT-CP-001","Foundational conversions & comparisons","Part as percent of whole","PCT-QL-004 | PCT-QL-1004 | PCT-QL-104 | PCT-QL-1104 | PCT-QL-1204 | PCT-QL-1304 | PCT-QL-1404 | PCT-QL-1504 | PCT-QL-1604 | PCT-QL-1704 | PCT-QL-1804 | PCT-QL-1904 | PCT-QL-204 | PCT-QL-304 | PCT-QL-404 | PCT-QL-504 | PCT-QL-604 | PCT-QL-704 | PCT-QL-804 | PCT-QL-904","20","valueAsPercent","PERCENT","election; votes; marks; population; income; salary; discount; factory","direct calculation","Percentage change/share","VARIANT","Same mathematical core but context changes create real but limited surface diversity."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Direct decrease","PCT-QL-011 | PCT-QL-111 | PCT-QL-211 | PCT-QL-311 | PCT-QL-411","5","decreaseNewValue","ABSOLUTE","","direct calculation","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Difference of two percentages","PCT-QL-018 | PCT-QL-118 | PCT-QL-218 | PCT-QL-318 | PCT-QL-418","5","differenceOfPercents","ABSOLUTE","","comparative","Difference/Comparison","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Added amount as percent clue","PCT-QL-016 | PCT-QL-116 | PCT-QL-216 | PCT-QL-316 | PCT-QL-416","5","increaseByAmount","ABSOLUTE","","direct calculation","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Direct increase","PCT-QL-010 | PCT-QL-110 | PCT-QL-210 | PCT-QL-310 | PCT-QL-410","5","increaseNewValue","ABSOLUTE","","direct calculation","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
"PCT-001","PCT-CP-002","Dynamic change & reverse reasoning","Another percentage from known percentage","PCT-QL-017 | PCT-QL-117 | PCT-QL-217 | PCT-QL-317 | PCT-QL-417","5","percentOfKnownNumber","ABSOLUTE","","direct calculation","Final value","DUPLICATE","Boilerplate wrappers dominate this family; little or no new educational surface is added."
