"Question ID","Canonical Problem","Difficulty","Topology","Question Language ID","Explanation Style ID","Question","Answer","Explanation","Number","Lower Bound","Upper Bound","Range Width","Position"
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:0","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 672 is prime or composite.","Composite","Check the factors of the given number.

Since 672 has more than two factors, it is a composite number.

Answer: Composite","672","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:1","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 827 is prime or composite.","Prime","Check the factors of the given number.

Since 827 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","827","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:2","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 28 a prime number?","Composite","Check the factors of the given number.

Since 28 has more than two factors, it is a composite number.

Answer: Composite","28","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:3","CP-001","Medium","Prime Classification","QL-002","ES-001","Determine whether 233 is prime or composite.","Prime","Check the factors of the given number.

Since 233 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","233","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:4","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 136 is prime or composite.","Composite","Check the factors of the given number.

Since 136 has more than two factors, it is a composite number.

Answer: Composite","136","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:5","CP-001","Hard","Prime Classification","QL-001","ES-001","Is 1217 a prime number?","Prime","Check the factors of the given number.

Since 1217 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1217","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:6","CP-001","Easy","Prime Classification","QL-003","ES-002","Check if 32 is a prime number.","Composite","Check the factors of the given number.

Since 32 has more than two factors, it is a composite number.

Answer: Composite","32","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:7","CP-001","Easy","Prime Classification","QL-003","ES-001","Check if 47 is a prime number.","Prime","Check the factors of the given number.

Since 47 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","47","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:8","CP-001","Medium","Prime Classification","QL-003","ES-002","Check if 520 is a prime number.","Composite","Check the factors of the given number.

Since 520 has more than two factors, it is a composite number.

Answer: Composite","520","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:9","CP-001","Hard","Prime Classification","QL-001","ES-001","Is 3331 a prime number?","Prime","Check the factors of the given number.

Since 3331 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","3331","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:10","CP-001","Easy","Prime Classification","QL-001","ES-001","Is 61 a prime number?","Prime","Check the factors of the given number.

Since 61 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","61","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:11","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 86 a prime number?","Composite","Check the factors of the given number.

Since 86 has more than two factors, it is a composite number.

Answer: Composite","86","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:12","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 929 is a prime number.","Prime","Check the factors of the given number.

Since 929 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","929","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:13","CP-001","Easy","Prime Classification","QL-001","ES-002","Is 65 a prime number?","Composite","Check the factors of the given number.

Since 65 has more than two factors, it is a composite number.

Answer: Composite","65","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:14","CP-001","Medium","Prime Classification","QL-003","ES-001","Check if 619 is a prime number.","Prime","Check the factors of the given number.

Since 619 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","619","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:15","CP-001","Medium","Prime Classification","QL-002","ES-002","Determine whether 124 is prime or composite.","Composite","Check the factors of the given number.

Since 124 has more than two factors, it is a composite number.

Answer: Composite","124","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:16","CP-001","Hard","Prime Classification","QL-002","ES-001","Determine whether 1063 is prime or composite.","Prime","Check the factors of the given number.

Since 1063 has only two factors, 1 and itself, it is a prime number.

Answer: Prime","1063","","","",""
"NS-PRM-001:CP-001:NS-PRM-001-HUMAN-REVIEW-500-PER-CP:CP-001:17","CP-001","Hard","Prime Classification","QL-002","ES-002","Determine whether 2672 is prime or composite.","Composite","Check the factors of the given number.

Since 2672 has more than two factors, it is a composite number.

Answer: Composite","2672","","","",""
