Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-001:PCT-QL-001:PCT-002:en:0,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"30% of the students are girls. If the number of girls is 360, find the total number of students.",1200,1200 - 1,1200 + 1,-1200,A,"Here, 30% of the students equals 360. ? 30%?360 To determine the value of 1%, divide 360 by 30. ? 1%=(360/30)=12 Now multiply the value of 1% by 100 to get the whole. ? 100%=12?100=1200 Therefore the total students is 1200. ? Total students=1200",,
PCT-CP-002:PCT-QL-003:PCT-002:en:1,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 25% of the income equals Rs. 6250, find 55% of the same income.",13750 + 1,13750 - 1,13750,-13750,C,"Here, 25% of the income equals Rs. 6250. ? 25%?Rs. 6250 First find the value corresponding to 1% by dividing Rs. 6250 by 25. ? 1%=(6250/25)=250 Now multiply the value of 1% by 55 to get 55%. ? 55%=250?55=13750 Therefore 55% of the income is Rs. 13750. ? expenditure=13750",,
PCT-CP-003:PCT-QL-005:PCT-002:en:2,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 720 students, 288 are girls. Find what percent of the students are girls.",40% + 1,40% - 1,40%,-40%,C,The whole students corresponds to 100%. ? 100%?720 So 1% is obtained by dividing 720 by 100. ? 1%=(720/100)=7.2 Now compare 288 with the value of 1% to get the required percentage. ? Required percent=(288/7.2)=40% Therefore 288 is 40% of the students. ? girls=40%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:3,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 25% of the salary is Rs. 1000, then Rs. 1400 is what percent of the same salary?",35%,35% + 1,35% - 1,-35%,A,"Here, 25% of the salary equals Rs. 1000. ? 25%?Rs. 1000 To determine the value of 1%, divide Rs. 1000 by 25. ? 1%=(1000/25)=40 Now compare Rs. 1400 with the value of 1% to find the required percentage. ? Required percent=(1400/40)=35% Therefore Rs. 1400 is 35% of the salary. ? Required percent=35%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:4,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 3:4. Find the percentage corresponding to the first part.,42.86%,42.86% - 1,42.86% + 1,-42.86%,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=3+4=7 The first part accounts for 3 out of these 7 parts. ? Share fraction=(3/7) Convert that share into a percentage. ? Required percent=(3/7)?100=42.86% Therefore the first part corresponds to 42.86%. ? first part=42.86%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:5,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 30% of the class are girls, find the percentage of boys.",-70%,70%,70% - 1,70% + 1,B,The full quantity is always 100%. ? girls+boys=100% So subtract 30% from 100% to get the remaining percentage. ? boys=100%-30%=70% Therefore the boys percentage is 70%. ? boys=70%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:6,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,35% of the students are boys and 20% are girls. Find the difference between these percentages.,-15%,15% - 1,15%,15% + 1,C,"Both parts are already given as percentages of the same whole. ? boys=35%, girls=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:7,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1000 students is divided as 35% girls, 30% boys, and 35% other students. Find the number of girls.",350 - 1,350,-350,350 + 1,B,The whole students corresponds to 100%. ? 100%?1000 So the value corresponding to 1% is obtained by dividing 1000 by 100. ? 1%=(1000/100)=10 Now multiply the value of 1% by 35 to find the girls. ? 35%=10?35=350 Therefore the girls count is 350. ? girls=350,,
PCT-CP-009:PCT-QL-017:PCT-002:en:8,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.",-35%,35% - 1,35%,35% + 1,C,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 25%+20%+20%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:9,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 4000, 35% are males, 40% are females, and 25% are children. Find the number of children.",1000 + 1,-1000,1000,1000 - 1,C,The whole population corresponds to 100%. ? 100%?4000 So the value corresponding to 1% is obtained by dividing 4000 by 100. ? 1%=(4000/100)=40 Now multiply the value of 1% by the percentage for children. ? 25%=40?25=1000 Therefore the value for children is 1000. ? children=1000,,
PCT-CP-001:PCT-QL-002:PCT-002:en:10,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"20% of the monthly income is kept aside as savings. If these savings are Rs. 6000, find the total monthly income.",30000 + 1,30000 - 1,30000,-30000,C,"Here, 20% of the monthly income equals Rs. 6000. ? 20%?Rs. 6000 To determine the value of 1%, divide Rs. 6000 by 20. ? 1%=(6000/20)=300 Now multiply the value of 1% by 100 to get the whole. ? 100%=300?100=30000 Therefore the total monthly income is Rs. 30000. ? Total monthly income=30000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:11,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 35% of the students equals 98, how many students correspond to 60%?",168 + 1,-168,168,168 - 1,C,"Here, 35% of the students equals 98. ? 35%?98 First find the value corresponding to 1% by dividing 98 by 35. ? 1%=(98/35)=2.8 Now multiply the value of 1% by 60 to get 60%. ? 60%=2.8?60=168 Therefore 60% of the students is 168. ? students=168",,
PCT-CP-003:PCT-QL-006:PCT-002:en:12,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 9000 as savings out of a total income of Rs. 30000. Find the percentage of savings.,30%,30% + 1,30% - 1,-30%,A,The whole income corresponds to 100%. ? 100%?Rs. 30000 So 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now compare Rs. 9000 with the value of 1% to get the required percentage. ? Required percent=(9000/300)=30% Therefore Rs. 9000 is 30% of the income. ? savings=30%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:13,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 20% of the books equals 100, what percent of the books is 175?",35% + 1,-35%,35%,35% - 1,C,"Here, 20% of the books equals 100. ? 20%?100 To determine the value of 1%, divide 100 by 20. ? 1%=(100/20)=5 Now compare 175 with the value of 1% to find the required percentage. ? Required percent=(175/5)=35% Therefore 175 is 35% of the books. ? Required percent=35%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:14,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 4:5. Express the second part as a percentage of the whole.,55.56% + 1,55.56% - 1,-55.56%,55.56%,D,First add the ratio parts to get the whole number of equal parts. ? Total parts=4+5=9 The second part accounts for 5 out of these 9 parts. ? Share fraction=(5/9) Convert that share into a percentage. ? Required percent=(5/9)?100=55.56% Therefore the second part corresponds to 55.56%. ? second part=55.56%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:15,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 18% of the income as savings. What percent of the income is spent on expenditure?,-82%,82% - 1,82%,82% + 1,C,The full quantity is always 100%. ? savings+expenditure=100% So subtract 18% from 100% to get the remaining percentage. ? expenditure=100%-18%=82% Therefore the expenditure percentage is 82%. ? expenditure=82%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:16,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,35% of the monthly budget goes to food expenses and 20% goes to transport expenses. Find the percentage difference.,-15%,15% + 1,15% - 1,15%,D,"Both parts are already given as percentages of the same whole. ? food expenses=35%, transport expenses=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:17,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 12000 is divided as 30% rent, 30% food, and 40% transport. Find the amount spent on rent.",-3600,3600 - 1,3600,3600 + 1,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 12000 So the value corresponding to 1% is obtained by dividing Rs. 12000 by 100. ? 1%=(12000/100)=120 Now multiply the value of 1% by 30 to find the rent. ? 30%=120?30=3600 Therefore the rent count is Rs. 3600. ? rent=3600,,
PCT-CP-009:PCT-QL-018:PCT-002:en:18,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 20% goes to marketing, 20% to salaries, and 20% to rent. Find the missing percentage for other expenses.",40% + 1,40% - 1,-40%,40%,D,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 20%+20%+20%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:19,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 30000, 35% is spent on food, 25% on rent, 10% on transport, and the remaining 30% on education. Find the amount spent on education.",-9000,9000 - 1,9000,9000 + 1,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by the percentage for education. ? 30%=300?30=9000 Therefore the value for education is Rs. 9000. ? education=9000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:20,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"40% of the students are girls. If the number of girls is 480, find the total number of students.",1200,1200 + 1,-1200,1200 - 1,A,"Here, 40% of the students equals 480. ? 40%?480 To determine the value of 1%, divide 480 by 40. ? 1%=(480/40)=12 Now multiply the value of 1% by 100 to get the whole. ? 100%=12?100=1200 Therefore the total students is 1200. ? Total students=1200",,
PCT-CP-002:PCT-QL-003:PCT-002:en:21,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 25% of the income equals Rs. 6250, find 65% of the same income.",16250,16250 + 1,16250 - 1,-16250,A,"Here, 25% of the income equals Rs. 6250. ? 25%?Rs. 6250 First find the value corresponding to 1% by dividing Rs. 6250 by 25. ? 1%=(6250/25)=250 Now multiply the value of 1% by 65 to get 65%. ? 65%=250?65=16250 Therefore 65% of the income is Rs. 16250. ? expenditure=16250",,
PCT-CP-003:PCT-QL-005:PCT-002:en:22,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 360 students, 72 are girls. Find what percent of the students are girls.",20% + 1,-20%,20%,20% - 1,C,The whole students corresponds to 100%. ? 100%?360 So 1% is obtained by dividing 360 by 100. ? 1%=(360/100)=3.6 Now compare 72 with the value of 1% to get the required percentage. ? Required percent=(72/3.6)=20% Therefore 72 is 20% of the students. ? girls=20%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:23,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 40% of the salary is Rs. 2400, then Rs. 1200 is what percent of the same salary?",20%,20% - 1,20% + 1,-20%,A,"Here, 40% of the salary equals Rs. 2400. ? 40%?Rs. 2400 To determine the value of 1%, divide Rs. 2400 by 40. ? 1%=(2400/40)=60 Now compare Rs. 1200 with the value of 1% to find the required percentage. ? Required percent=(1200/60)=20% Therefore Rs. 1200 is 20% of the salary. ? Required percent=20%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:24,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 5:1. Find the percentage corresponding to the first part.,83.33%,83.33% + 1,-83.33%,83.33% - 1,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=5+1=6 The first part accounts for 5 out of these 6 parts. ? Share fraction=(5/6) Convert that share into a percentage. ? Required percent=(5/6)?100=83.33% Therefore the first part corresponds to 83.33%. ? first part=83.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:25,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 40% of the class are girls, find the percentage of boys.",60% + 1,60% - 1,-60%,60%,D,The full quantity is always 100%. ? girls+boys=100% So subtract 40% from 100% to get the remaining percentage. ? boys=100%-40%=60% Therefore the boys percentage is 60%. ? boys=60%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:26,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,35% of the students are boys and 20% are girls. Find the difference between these percentages.,-15%,15%,15% - 1,15% + 1,B,"Both parts are already given as percentages of the same whole. ? boys=35%, girls=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:27,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 400 students is divided as 25% girls, 35% boys, and 40% other students. Find the number of girls.",100 + 1,100 - 1,-100,100,D,The whole students corresponds to 100%. ? 100%?400 So the value corresponding to 1% is obtained by dividing 400 by 100. ? 1%=(400/100)=4 Now multiply the value of 1% by 25 to find the girls. ? 25%=4?25=100 Therefore the girls count is 100. ? girls=100,,
PCT-CP-009:PCT-QL-017:PCT-002:en:28,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",35% - 1,35%,-35%,35% + 1,B,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:29,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 5000, 45% are males, 30% are females, and 25% are children. Find the number of children.",1250,1250 + 1,-1250,1250 - 1,A,The whole population corresponds to 100%. ? 100%?5000 So the value corresponding to 1% is obtained by dividing 5000 by 100. ? 1%=(5000/100)=50 Now multiply the value of 1% by the percentage for children. ? 25%=50?25=1250 Therefore the value for children is 1250. ? children=1250,,
PCT-CP-001:PCT-QL-002:PCT-002:en:30,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"10% of the monthly income is kept aside as savings. If these savings are Rs. 2000, find the total monthly income.",20000,20000 + 1,-20000,20000 - 1,A,"Here, 10% of the monthly income equals Rs. 2000. ? 10%?Rs. 2000 To determine the value of 1%, divide Rs. 2000 by 10. ? 1%=(2000/10)=200 Now multiply the value of 1% by 100 to get the whole. ? 100%=200?100=20000 Therefore the total monthly income is Rs. 20000. ? Total monthly income=20000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:31,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 20% of the students equals 80, how many students correspond to 45%?",180,180 + 1,180 - 1,-180,A,"Here, 20% of the students equals 80. ? 20%?80 First find the value corresponding to 1% by dividing 80 by 20. ? 1%=(80/20)=4 Now multiply the value of 1% by 45 to get 45%. ? 45%=4?45=180 Therefore 45% of the students is 180. ? students=180",,
PCT-CP-003:PCT-QL-006:PCT-002:en:32,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 2000 as savings out of a total income of Rs. 20000. Find the percentage of savings.,10%,10% + 1,-10%,10% - 1,A,The whole income corresponds to 100%. ? 100%?Rs. 20000 So 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now compare Rs. 2000 with the value of 1% to get the required percentage. ? Required percent=(2000/200)=10% Therefore Rs. 2000 is 10% of the income. ? savings=10%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:33,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 30% of the books equals 120, what percent of the books is 200?",50% + 1,50% - 1,50%,-50%,C,"Here, 30% of the books equals 120. ? 30%?120 To determine the value of 1%, divide 120 by 30. ? 1%=(120/30)=4 Now compare 200 with the value of 1% to find the required percentage. ? Required percent=(200/4)=50% Therefore 200 is 50% of the books. ? Required percent=50%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:34,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 1:2. Express the second part as a percentage of the whole.,-66.67%,66.67%,66.67% - 1,66.67% + 1,B,First add the ratio parts to get the whole number of equal parts. ? Total parts=1+2=3 The second part accounts for 2 out of these 3 parts. ? Share fraction=(2/3) Convert that share into a percentage. ? Required percent=(2/3)?100=66.67% Therefore the second part corresponds to 66.67%. ? second part=66.67%,,
