"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 75% failed in English. If 15% failed in both subjects, find the percentage of candidates who passed in both subjects.","40%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 15 = 85\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 50 + 75 - 85 = 40\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 40%.","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Hard","inclusionExclusion","PERCENT","In an examination, 60% of candidates failed in Mathematics and 50% failed in English. If 25% failed in both subjects, find the percentage of candidates who passed in both subjects.","35%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 25 = 75\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 60 + 50 - 75 = 35\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 35%.","PASS"
"en","PCT-CP-001","PCT-QL-003","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 40% of candidates failed in Mathematics and 60% failed in English. If 25% failed in both subjects, find the percentage of candidates who passed in both subjects.","25%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 25 = 75\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 40 + 60 - 75 = 25\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 25%.","PASS"
"en","PCT-CP-001","PCT-QL-004","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 50% failed in English. If 15% failed in both subjects, find the percentage of candidates who passed in both subjects.","15%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 15 = 85\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 50 + 50 - 85 = 15\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 15%.","PASS"
"en","PCT-CP-001","PCT-QL-047","PCT-ES-001","Hard","tripleInclusionExclusion","PERCENT","In a group, 40% like Physics, 50% like Chemistry, and 40% like Biology. 20% like Physics and Chemistry, 15% like Chemistry and Biology, and 25% like Physics and Biology. If 8% like all three, find the percentage who like at least one.","78%","Let's determine the final amount for the scenario. | The mathematical relationship is: | $$\(A+B+C - (AB+BC+AC) + ABC\)$$ | Inserting the given numbers: | $$\(78\)$$ | Solving it yields the final answer. | The computed result is 78%.","PASS"
"en","PCT-CP-001","PCT-QL-048","PCT-ES-001","Medium","tripleInclusionExclusion","PERCENT","In a town, 50% read Newspaper A, 40% read B, and 40% read C. 25% read A and B, 15% read B and C, and 15% read A and C. If 10% read all three, what percentage read none?","15%","Our objective is to find the required quantity. | We apply the standard rule: | $$\(A+B+C - (AB+BC+AC) + ABC\)$$ | Plugging in the parameters: | $$\(15\)$$ | Calculating the final value. | Therefore, we get 15%.","PASS"
"en","PCT-CP-001","PCT-QL-049","PCT-ES-001","Medium","tripleInclusionExclusion","PERCENT","In a class, 60% speak Hindi, 50% speak English, and 40% speak French. 25% speak Hindi and English, 15% speak English and French, and 15% speak Hindi and French. If 5% speak all three, find the percentage who speak at least one.","100%","We need to calculate the target value for this problem. | Using the appropriate formula: | $$\(A+B+C - (AB+BC+AC) + ABC\)$$ | Substitute the values: | $$\(100\)$$ | Simplify the expression to get the result. | Thus, the answer is 100%.","PASS"
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Hard","inclusionExclusion","PERCENT","In an examination, 40% of candidates failed in Mathematics and 60% failed in English. If 10% failed in both subjects, find the percentage of candidates who passed in both subjects.","10%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 10 = 90\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 40 + 60 - 90 = 10\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 10%.","PASS"
"en","PCT-CP-001","PCT-QL-002","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 50% of candidates failed in Mathematics and 40% failed in English. If 25% failed in both subjects, find the percentage of candidates who passed in both subjects.","15%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 25 = 75\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 50 + 40 - 75 = 15\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 15%.","PASS"
"en","PCT-CP-001","PCT-QL-003","PCT-ES-001","Medium","inclusionExclusion","PERCENT","In an examination, 75% of candidates failed in Mathematics and 50% failed in English. If 5% failed in both subjects, find the percentage of candidates who passed in both subjects.","30%","Let the total population be 100%. We need to find the percentage belonging to at least one category. | Percentage belonging to at least one = 100% - Percentage belonging to neither. | $$100 - 5 = 95\%$$ | Using the set theory formula for intersections: | $$Both = n(the first subject) + n(the second subject) - n(\text{At least one})$$ | Substituting the given values: | $$Both = 75 + 50 - 95 = 30\%$$ | The final percentage of the population that belongs to both the first subject and the second subject is 30%.","PASS"
