language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"en","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","wholeFromPart","COUNT","30% of the students are girls. If the number of girls is 360, find the total number of students.","$$1200$$","Here, 30% of the students equals 360. | \[\Rightarrow 30\%\rightarrow360\] | To determine the value of 1%, divide 360 by 30. | \[\Rightarrow 1\%=\frac{360}{30}=12\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=12\times100=1200\] | Therefore the total students is 1200. | \[\Rightarrow \text{Total students}=1200\]","PASS"
"en","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","anotherPercentageFromKnownPercentage","ABSOLUTE","If 25% of the income equals Rs. 6250, find 55% of the same income.","$$13750$$","Here, 25% of the income equals Rs. 6250. | \[\Rightarrow 25\%\rightarrowRs. 6250\] | First find the value corresponding to 1% by dividing Rs. 6250 by 25. | \[\Rightarrow 1\%=\frac{6250}{25}=250\] | Now multiply the value of 1% by 55 to get 55%. | \[\Rightarrow 55\%=250\times55=13750\] | Therefore 55% of the income is Rs. 13750. | \[\Rightarrow \text{expenditure}=13750\]","PASS"
"en","PCT-CP-003","PCT-QL-005","PCT-ES-003","Easy","percentageFromPartAndWhole","PERCENT","Out of 720 students, 288 are girls. Find what percent of the students are girls.","$$40\%$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow720\] | So 1% is obtained by dividing 720 by 100. | \[\Rightarrow 1\%=\frac{720}{100}=7.2\] | Now compare 288 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{288}{7.2}=40\%\] | Therefore 288 is 40% of the students. | \[\Rightarrow \text{girls}=40\%\]","PASS"
"en","PCT-CP-004","PCT-QL-007","PCT-ES-004","Medium","reversePercentageMapping","PERCENT","If 25% of the salary is Rs. 1000, then Rs. 1400 is what percent of the same salary?","$$35\%$$","Here, 25% of the salary equals Rs. 1000. | \[\Rightarrow 25\%\rightarrowRs. 1000\] | To determine the value of 1%, divide Rs. 1000 by 25. | \[\Rightarrow 1\%=\frac{1000}{25}=40\] | Now compare Rs. 1400 with the value of 1% to find the required percentage. | \[\Rightarrow \text{Required percent}=\frac{1400}{40}=35\%\] | Therefore Rs. 1400 is 35% of the salary. | \[\Rightarrow \text{Required percent}=35\%\]","PASS"
"en","PCT-CP-005","PCT-QL-009","PCT-ES-005","Easy","ratioToPercentage","PERCENT","A quantity is divided in the ratio 3:4. Find the percentage corresponding to the first part.","$$42.86\%$$","First add the ratio parts to get the whole number of equal parts. | \[\Rightarrow \text{Total parts}=3+4=7\] | The first part accounts for 3 out of these 7 parts. | \[\Rightarrow \text{Share fraction}=\frac{3}{7}\] | Convert that share into a percentage. | \[\Rightarrow \text{Required percent}=\frac{3}{7}\times100=42.86\%\] | Therefore the first part corresponds to 42.86%. | \[\Rightarrow \text{first part}=42.86\%\]","PASS"
"en","PCT-CP-006","PCT-QL-011","PCT-ES-006","Easy","complementaryPercentage","PERCENT","If 30% of the class are girls, find the percentage of boys.","$$70\%$$","The full quantity is always 100%. | \[\Rightarrow girls+boys=100\%\] | So subtract 30% from 100% to get the remaining percentage. | \[\Rightarrow boys=100\%-30\%=70\%\] | Therefore the boys percentage is 70%. | \[\Rightarrow \text{boys}=70\%\]","PASS"
"en","PCT-CP-007","PCT-QL-013","PCT-ES-007","Easy","differenceBetweenPercentageParts","PERCENT","35% of the students are boys and 20% are girls. Find the difference between these percentages.","$$15\%$$","Both parts are already given as percentages of the same whole. | \[\Rightarrow boys=35\%,\ girls=20\%\] | So subtract the smaller percentage from the larger percentage. | \[\Rightarrow \text{Difference}=35\%-20\%=15\%\] | Therefore the percentage difference is 15%. | \[\Rightarrow \text{Difference}=15\%\]","PASS"
"en","PCT-CP-008","PCT-QL-015","PCT-ES-008","Medium","percentagePartition","COUNT","A group of 1000 students is divided as 35% girls, 30% boys, and 35% other students. Find the number of girls.","$$350$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow1000\] | So the value corresponding to 1% is obtained by dividing 1000 by 100. | \[\Rightarrow 1\%=\frac{1000}{100}=10\] | Now multiply the value of 1% by 35 to find the girls. | \[\Rightarrow 35\%=10\times35=350\] | Therefore the girls count is 350. | \[\Rightarrow \text{girls}=350\]","PASS"
"en","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","missingPercentage","PERCENT","25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.","$$35\%$$","The full distribution adds up to 100%. | \[\Rightarrow food+rent+transport+remaining=100\%\] | First add the known percentages. | \[\Rightarrow 25\%+20\%+20\%=65\%\] | Now subtract that total from 100% to get the missing percentage. | \[\Rightarrow remaining=100\%-65\%=35\%\] | Therefore the missing percentage is 35%. | \[\Rightarrow \text{remaining}=35\%\]","PASS"
"en","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","multiCategoryPercentageDistribution","COUNT","In a population of 4000, 35% are males, 40% are females, and 25% are children. Find the number of children.","$$1000$$","The whole population corresponds to 100%. | \[\Rightarrow 100\%\rightarrow4000\] | So the value corresponding to 1% is obtained by dividing 4000 by 100. | \[\Rightarrow 1\%=\frac{4000}{100}=40\] | Now multiply the value of 1% by the percentage for children. | \[\Rightarrow 25\%=40\times25=1000\] | Therefore the value for children is 1000. | \[\Rightarrow \text{children}=1000\]","PASS"
