canonicalProblemId,questionId,difficulty,questionLanguageId,explanationStyleId,stem,answer,explanation
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:0,Hard,QL-005,ES-001,"Calculate the LCM of 101, 103 and 107.",1113121,"Write the prime factorization of the given numbers.

101 = 101\\103 = 103\\107 = 107

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 101, 103, 107

101^{1} \times 103^{1} \times 107^{1}

Therefore,

\operatorname{LCM}(101, 103, 107) = 1113121

Hence the LCM is 1113121."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:1,Easy,QL-001,ES-001,Find the LCM of 4 and 6.,12,"Write the prime factorization of the given numbers.

4 = 2^{2}\\6 = 2 \times 3

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3

2^{2} \times 3^{1}

Therefore,

\operatorname{LCM}(4, 6) = 12

Hence the LCM is 12."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:2,Easy,QL-001,ES-001,Find the LCM of 9 and 12.,36,"Write the prime factorization of the given numbers.

9 = 3^{2}\\12 = 2^{2} \times 3

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3

2^{2} \times 3^{2}

Therefore,

\operatorname{LCM}(9, 12) = 36

Hence the LCM is 36."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:3,Medium,QL-003,ES-001,What is the least number that is exactly divisible by 35 and 64?,2240,"Write the prime factorization of the given numbers.

35 = 5 \times 7\\64 = 2^{6}

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 5, 7

2^{6} \times 5^{1} \times 7^{1}

Therefore,

\operatorname{LCM}(35, 64) = 2240

Hence the LCM is 2240."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:4,Hard,QL-004,ES-001,"Determine the smallest positive number divisible by 128, 192 and 320.",1920,"Write the prime factorization of the given numbers.

128 = 2^{7}\\192 = 2^{6} \times 3\\320 = 2^{6} \times 5

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3, 5

2^{7} \times 3^{1} \times 5^{1}

Therefore,

\operatorname{LCM}(128, 192, 320) = 1920

Hence the LCM is 1920."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:5,Hard,QL-002,ES-001,"Find the least common multiple of 128, 192 and 320.",1920,"Write the prime factorization of the given numbers.

128 = 2^{7}\\192 = 2^{6} \times 3\\320 = 2^{6} \times 5

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3, 5

2^{7} \times 3^{1} \times 5^{1}

Therefore,

\operatorname{LCM}(128, 192, 320) = 1920

Hence the LCM is 1920."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:6,Easy,QL-002,ES-001,Find the least common multiple of 5 and 7.,35,"Write the prime factorization of the given numbers.

5 = 5\\7 = 7

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 5, 7

5^{1} \times 7^{1}

Therefore,

\operatorname{LCM}(5, 7) = 35

Hence the LCM is 35."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:7,Easy,QL-004,ES-001,Determine the smallest positive number divisible by 4 and 6.,12,"Write the prime factorization of the given numbers.

4 = 2^{2}\\6 = 2 \times 3

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3

2^{2} \times 3^{1}

Therefore,

\operatorname{LCM}(4, 6) = 12

Hence the LCM is 12."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:8,Hard,QL-002,ES-001,"Find the least common multiple of 128, 192 and 320.",1920,"Write the prime factorization of the given numbers.

128 = 2^{7}\\192 = 2^{6} \times 3\\320 = 2^{6} \times 5

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3, 5

2^{7} \times 3^{1} \times 5^{1}

Therefore,

\operatorname{LCM}(128, 192, 320) = 1920

Hence the LCM is 1920."
CP-001,NS-LCM-001:CP-001:ns-lcm-001-human-review:CP-001:9,Easy,QL-003,ES-001,"What is the least number that is exactly divisible by 6, 10 and 15?",30,"Write the prime factorization of the given numbers.

6 = 2 \times 3\\10 = 2 \times 5\\15 = 3 \times 5

Take every prime factor that appears in any number and keep the highest exponent.

\text{Prime factors used: } 2, 3, 5

2^{1} \times 3^{1} \times 5^{1}

Therefore,

\operatorname{LCM}(6, 10, 15) = 30

Hence the LCM is 30."
