"questionId","canonicalProblem","taskKind","qlId","language","stemFamilyId","stemId","sourceFile","libraryFile","archetypeId","selectionPath","renderedQuestion","fallbackUsage","provenanceStatus"
"PCT-CP-002:PCT-QL-017:66805","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 10% of a number is 400, find 40% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66806","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 15% of a number is 300, find 50% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66807","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 20% of a number is 250, find 60% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66808","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 50% of a number is 200, find 10% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66810","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 80% of a number is 100, find 20% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66811","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 10% of a number is 600, find 25% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66814","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 50% of a number is 300, find 50% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66836","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 40% of a number is 500, find 30% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66837","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 10% of a number is 400, find 40% of that number.","NO","APPROVED"
"PCT-CP-002:PCT-QL-017:66838","PCT-CP-002","percentOfKnownNumber","PCT-QL-017","en","PCT-CP-002:families:PCT-QL-017","PCT-QL-017","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/question-language.en.json","artifacts/api-server/src/quant-v4/topics/Arithmetic/subtopics/Percentage/PCT-001/library.ts","PCT-001","generatePct001Parameters -> PCT-CP-002 -> PCT-QL-017 -> getQuestionEntry(question-language.en.json) -> renderTemplate -> CSV","If 15% of a number is 300, find 50% of that number.","NO","APPROVED"
