Chapter,Question ID,CP,QL ID,Natural Language,Exam Realism,Mathematical Clarity,Context Quality,Diversity,MCQ Readiness,Explanation Alignment,Overall Rating,Editorial Comments
PCT-001,PCT-CP-001:PCT-QL-009:26462,PCT-CP-001,PCT-QL-009,3,2,5,2,2,3,3,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-032:26612,PCT-CP-004,PCT-QL-032,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-011:26430,PCT-CP-002,PCT-QL-011,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-013:27486,PCT-CP-002,PCT-QL-013,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-040:27570,PCT-CP-005,PCT-QL-040,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-047:26586,PCT-CP-005,PCT-QL-047,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-004:PCT-QL-034:24599,PCT-CP-004,PCT-QL-034,4,5,5,5,3,4,2,NEEDS IMPROVEMENT,"The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-002:PCT-QL-017:25713,PCT-CP-002,PCT-QL-017,3,2,5,2,2,3,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. Feels too close to neighbouring templates in the same chapter. The stem is usable, but distractor design would be fairly predictable. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-005:PCT-QL-047:24627,PCT-CP-005,PCT-QL-047,5,5,5,5,3,4,3,PASS,"Reads naturally and feels close to an exam-book stem. The explanation works mathematically, but it does not fully echo the stem/context."
PCT-001,PCT-CP-001:PCT-QL-005:27545,PCT-CP-001,PCT-QL-005,4,1,5,2,3,4,2,REWRITE,"The stem is clear, but the context is generic rather than exam-familiar. The explanation works mathematically, but it does not fully echo the stem/context."
