"language","cpId","qlId","esId","difficulty","taskKind","answerType","question","answer","explanation","validation"
"en","RAP-CP-001","RAP-QL-001","RAP-ES-001","Easy","simpleLinkage","RATIO","If the ratio boys:students is 3:4 and students:girls is 4:5, what will be the combined ratio boys:students:girls?","3:4:5","Our objective is to find the required quantity. | We apply the standard rule: | $$\(A:B = a:b, B:C = m:n\)$$ | Plugging in the parameters: | $$\(3:4:5\)$$ | Calculating the final value. | Therefore, we get 3:4:5.","PASS"
"en","RAP-CP-001","RAP-QL-002","RAP-ES-001","Hard","ratioNormalization","RATIO","Convert the fractional ratio 6/3 : 6/2 into a simple integer ratio.","2:3","We need to convert the given fractional ratio into a simpler integer ratio. | To normalize a ratio of fractions $\frac{a}{b} : \frac{c}{d}$, we cross-multiply or multiply by the LCM of the denominators. | $$\frac{a}{b} : \frac{c}{d} = (a \times d) : (b \times c)$$ | Substitute the given fractions into the relation: | $$\frac{6}{3} : \frac{6}{2} = (6 \times 2) : (3 \times 6)$$ | Perform the multiplication and simplify the resulting integers if possible. | $$(6 \times 2) : (3 \times 6) = 2 : 3$$ | Hence, the simplified integer ratio is 2:3.","PASS"
"en","RAP-CP-001","RAP-QL-003","RAP-ES-001","Hard","ratioTreeLinkage","RATIO","Given that boys:students = 2:3, students:girls = 3:4, and girls:teachers = 4:5, what is the ratio between boys and teachers?","2:5","Our objective is to find the required quantity. | We apply the standard rule: | $$\(\frac{A}{B} \times \frac{B}{C} \times \frac{C}{D} = \frac{A}{D}\)$$ | Plugging in the parameters: | $$\(2:5\)$$ | Calculating the final value. | Therefore, we get 2:5.","PASS"
"en","RAP-CP-001","RAP-QL-004","RAP-ES-001","Hard","scalingByComponent","COUNT","In a boys, the ratio of students to teachers is 2:3. If there are 10 students, how many teachers are there?","15","Our objective is to find the required quantity. | We apply the standard rule: | $$\(A:B = a:b\)$$ | Plugging in the parameters: | $$\(10 \times 3 / 2 = 15\)$$ | Calculating the final value. | Therefore, we get 15.","PASS"
"en","RAP-CP-001","RAP-QL-006","RAP-ES-001","Hard","decimalNormalization","RATIO","What is the simplest whole-number ratio equal to 2.3 : 2.4?","23:24","Our objective is to find the required quantity. | We apply the standard rule: | $$\(scale decimals to whole numbers\)$$ | Plugging in the parameters: | $$\(23:24\)$$ | Calculating the final value. | Therefore, we get 23:24.","PASS"
"en","RAP-CP-001","RAP-QL-001","RAP-ES-001","Medium","simpleLinkage","RATIO","If the ratio students:boys is 8:1 and boys:teachers is 1:2, what will be the combined ratio students:boys:teachers?","8:1:2","Our objective is to find the required quantity. | We apply the standard rule: | $$\(A:B = a:b, B:C = m:n\)$$ | Plugging in the parameters: | $$\(8:1:2\)$$ | Calculating the final value. | Therefore, we get 8:1:2.","PASS"
"en","RAP-CP-001","RAP-QL-002","RAP-ES-001","Medium","ratioNormalization","RATIO","Convert the fractional ratio 2/2 : 6/3 into a simple integer ratio.","1:2","We need to convert the given fractional ratio into a simpler integer ratio. | To normalize a ratio of fractions $\frac{a}{b} : \frac{c}{d}$, we cross-multiply or multiply by the LCM of the denominators. | $$\frac{a}{b} : \frac{c}{d} = (a \times d) : (b \times c)$$ | Substitute the given fractions into the relation: | $$\frac{2}{2} : \frac{6}{3} = (2 \times 3) : (2 \times 6)$$ | Perform the multiplication and simplify the resulting integers if possible. | $$(2 \times 3) : (2 \times 6) = 1 : 2$$ | Hence, the simplified integer ratio is 1:2.","PASS"
"en","RAP-CP-001","RAP-QL-003","RAP-ES-001","Medium","ratioTreeLinkage","RATIO","Given that girls:boys = 5:6, boys:students = 6:7, and students:teachers = 7:8, what is the ratio between girls and teachers?","5:8","Our objective is to find the required quantity. | We apply the standard rule: | $$\(\frac{A}{B} \times \frac{B}{C} \times \frac{C}{D} = \frac{A}{D}\)$$ | Plugging in the parameters: | $$\(5:8\)$$ | Calculating the final value. | Therefore, we get 5:8.","PASS"
"en","RAP-CP-001","RAP-QL-004","RAP-ES-001","Medium","scalingByComponent","COUNT","In a students, the ratio of girls to boys is 7:8. If there are 49 girls, how many boys are there?","56","Our objective is to find the required quantity. | We apply the standard rule: | $$\(A:B = a:b\)$$ | Plugging in the parameters: | $$\(49 \times 8 / 7 = 56\)$$ | Calculating the final value. | Therefore, we get 56.","PASS"
"en","RAP-CP-001","RAP-QL-006","RAP-ES-001","Easy","decimalNormalization","RATIO","What is the simplest whole-number ratio equal to 2.8 : 1.3?","28:13","Our objective is to find the required quantity. | We apply the standard rule: | $$\(scale decimals to whole numbers\)$$ | Plugging in the parameters: | $$\(28:13\)$$ | Calculating the final value. | Therefore, we get 28:13.","PASS"
