CP,difficulty,QL ID,ES ID,parameters,answer,reasoning trace
"CP01","Hard","QL-001","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:0"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-001"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-002","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:1"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-002"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-003","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:2"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-003"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""subtractionParity"",""operationType"":""subtraction"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-004","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:3"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-004"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-005","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:4"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-005"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Medium","QL-006","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:5"",""difficultyBand"":""Medium"",""questionLanguageId"":""QL-006"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-007","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:6"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-007"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""powerParity"",""operationType"":""power"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-008","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:7"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-008"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Hard","QL-009","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:8"",""difficultyBand"":""Hard"",""questionLanguageId"":""QL-009"",""explanationId"":""ES-001"",""answer"":""even"",""coverageBucket"":""evenResult"",""variableRange"":""multiplicationParity"",""operationType"":""multiplication"",""propertyType"":""evenResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","even","captureInputs > classifyParity > applyParityRules > extractAnswer"
"CP01","Easy","QL-010","ES-001","{""archetypeId"":""NS-CLASS-001"",""canonicalProblemId"":""CP01"",""questionId"":""NS-CLASS-001:CP01:ns-class-001-human-review:CP01:9"",""difficultyBand"":""Easy"",""questionLanguageId"":""QL-010"",""explanationId"":""ES-001"",""answer"":""odd"",""coverageBucket"":""oddResult"",""variableRange"":""additionParity"",""operationType"":""addition"",""propertyType"":""oddResult"",""candidateCount"":1,""uniqueAnswer"":true,""reasoningPatternId"":""RP01""}","odd","captureInputs > classifyParity > applyParityRules > extractAnswer"
