language,cpId,qlId,esId,difficulty,taskKind,answerType,question,answer,explanation,validation
"hi","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","wholeFromPart","COUNT","25% of the students are girls. If the number of girls is 200, find the total number of students.","$$800$$","Here, 25% of the students equals 200. | \[\Rightarrow 25\%\rightarrow200\] | To determine the value of 1%, divide 200 by 25. | \[\Rightarrow 1\%=\frac{200}{25}=8\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=8\times100=800\] | Therefore the total students is 800. | \[\Rightarrow \text{Total students}=800\]","PASS"
"hi","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","anotherPercentageFromKnownPercentage","ABSOLUTE","If 25% of the income equals Rs. 12500, find 55% of the same income.","$$27500$$","Here, 25% of the income equals Rs. 12500. | \[\Rightarrow 25\%\rightarrowRs. 12500\] | First find the value corresponding to 1% by dividing Rs. 12500 by 25. | \[\Rightarrow 1\%=\frac{12500}{25}=500\] | Now multiply the value of 1% by 55 to get 55%. | \[\Rightarrow 55\%=500\times55=27500\] | Therefore 55% of the income is Rs. 27500. | \[\Rightarrow \text{expenditure}=27500\]","PASS"
"hi","PCT-CP-003","PCT-QL-005","PCT-ES-003","Easy","percentageFromPartAndWhole","PERCENT","Out of 600 students, 210 are girls. Find what percent of the students are girls.","$$35\%$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow600\] | So 1% is obtained by dividing 600 by 100. | \[\Rightarrow 1\%=\frac{600}{100}=6\] | Now compare 210 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{210}{6}=35\%\] | Therefore 210 is 35% of the students. | \[\Rightarrow \text{girls}=35\%\]","PASS"
"hi","PCT-CP-004","PCT-QL-007","PCT-ES-004","Medium","reversePercentageMapping","PERCENT","If 25% of the salary is Rs. 2000, then Rs. 2800 is what percent of the same salary?","$$35\%$$","Here, 25% of the salary equals Rs. 2000. | \[\Rightarrow 25\%\rightarrowRs. 2000\] | To determine the value of 1%, divide Rs. 2000 by 25. | \[\Rightarrow 1\%=\frac{2000}{25}=80\] | Now compare Rs. 2800 with the value of 1% to find the required percentage. | \[\Rightarrow \text{Required percent}=\frac{2800}{80}=35\%\] | Therefore Rs. 2800 is 35% of the salary. | \[\Rightarrow \text{Required percent}=35\%\]","PASS"
"hi","PCT-CP-005","PCT-QL-009","PCT-ES-005","Easy","ratioToPercentage","PERCENT","A quantity is divided in the ratio 1:2. Find the percentage corresponding to the first part.","$$33.33\%$$","First add the ratio parts to get the whole number of equal parts. | \[\Rightarrow \text{Total parts}=1+2=3\] | The first part accounts for 1 out of these 3 parts. | \[\Rightarrow \text{Share fraction}=\frac{1}{3}\] | Convert that share into a percentage. | \[\Rightarrow \text{Required percent}=\frac{1}{3}\times100=33.33\%\] | Therefore the first part corresponds to 33.33%. | \[\Rightarrow \text{first part}=33.33\%\]","PASS"
"hi","PCT-CP-006","PCT-QL-011","PCT-ES-006","Easy","complementaryPercentage","PERCENT","If 25% of the class are girls, find the percentage of boys.","$$75\%$$","The full quantity is always 100%. | \[\Rightarrow girls+boys=100\%\] | So subtract 25% from 100% to get the remaining percentage. | \[\Rightarrow boys=100\%-25\%=75\%\] | Therefore the boys percentage is 75%. | \[\Rightarrow \text{boys}=75\%\]","PASS"
"hi","PCT-CP-007","PCT-QL-013","PCT-ES-007","Easy","differenceBetweenPercentageParts","PERCENT","35% of the students are boys and 20% are girls. Find the difference between these percentages.","$$15\%$$","Both parts are already given as percentages of the same whole. | \[\Rightarrow boys=35\%,\ girls=20\%\] | So subtract the smaller percentage from the larger percentage. | \[\Rightarrow \text{Difference}=35\%-20\%=15\%\] | Therefore the percentage difference is 15%. | \[\Rightarrow \text{Difference}=15\%\]","PASS"
"hi","PCT-CP-008","PCT-QL-015","PCT-ES-008","Medium","percentagePartition","COUNT","A group of 600 students is divided as 25% girls, 20% boys, and 55% other students. Find the number of girls.","$$150$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow600\] | So the value corresponding to 1% is obtained by dividing 600 by 100. | \[\Rightarrow 1\%=\frac{600}{100}=6\] | Now multiply the value of 1% by 25 to find the girls. | \[\Rightarrow 25\%=6\times25=150\] | Therefore the girls count is 150. | \[\Rightarrow \text{girls}=150\]","PASS"
"hi","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","missingPercentage","PERCENT","30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.","$$35\%$$","The full distribution adds up to 100%. | \[\Rightarrow food+rent+transport+remaining=100\%\] | First add the known percentages. | \[\Rightarrow 30\%+25\%+10\%=65\%\] | Now subtract that total from 100% to get the missing percentage. | \[\Rightarrow remaining=100\%-65\%=35\%\] | Therefore the missing percentage is 35%. | \[\Rightarrow \text{remaining}=35\%\]","PASS"
"hi","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","multiCategoryPercentageDistribution","COUNT","In a population of 8000, 40% are males, 35% are females, and 25% are children. Find the number of children.","$$2000$$","The whole population corresponds to 100%. | \[\Rightarrow 100\%\rightarrow8000\] | So the value corresponding to 1% is obtained by dividing 8000 by 100. | \[\Rightarrow 1\%=\frac{8000}{100}=80\] | Now multiply the value of 1% by the percentage for children. | \[\Rightarrow 25\%=80\times25=2000\] | Therefore the value for children is 2000. | \[\Rightarrow \text{children}=2000\]","PASS"
"hi","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","wholeFromPart","ABSOLUTE","20% of the monthly income is kept aside as savings. If these savings are Rs. 8000, find the total monthly income.","$$40000$$","Here, 20% of the monthly income equals Rs. 8000. | \[\Rightarrow 20\%\rightarrowRs. 8000\] | To determine the value of 1%, divide Rs. 8000 by 20. | \[\Rightarrow 1\%=\frac{8000}{20}=400\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=400\times100=40000\] | Therefore the total monthly income is Rs. 40000. | \[\Rightarrow \text{Total monthly income}=40000\]","PASS"
"hi","PCT-CP-002","PCT-QL-004","PCT-ES-002","Medium","anotherPercentageFromKnownPercentage","COUNT","If 35% of the students equals 140, how many students correspond to 60%?","$$240$$","Here, 35% of the students equals 140. | \[\Rightarrow 35\%\rightarrow140\] | First find the value corresponding to 1% by dividing 140 by 35. | \[\Rightarrow 1\%=\frac{140}{35}=4\] | Now multiply the value of 1% by 60 to get 60%. | \[\Rightarrow 60\%=4\times60=240\] | Therefore 60% of the students is 240. | \[\Rightarrow \text{students}=240\]","PASS"
"hi","PCT-CP-003","PCT-QL-006","PCT-ES-003","Medium","percentageFromPartAndWhole","PERCENT","A person keeps Rs. 4000 as savings out of a total income of Rs. 20000. Find the percentage of savings.","$$20\%$$","The whole income corresponds to 100%. | \[\Rightarrow 100\%\rightarrowRs. 20000\] | So 1% is obtained by dividing Rs. 20000 by 100. | \[\Rightarrow 1\%=\frac{20000}{100}=200\] | Now compare Rs. 4000 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{4000}{200}=20\%\] | Therefore Rs. 4000 is 20% of the income. | \[\Rightarrow \text{savings}=20\%\]","PASS"
"hi","PCT-CP-004","PCT-QL-008","PCT-ES-004","Medium","reversePercentageMapping","PERCENT","If 20% of the books equals 80, what percent of the books is 200?","$$50\%$$","Here, 20% of the books equals 80. | \[\Rightarrow 20\%\rightarrow80\] | To determine the value of 1%, divide 80 by 20. | \[\Rightarrow 1\%=\frac{80}{20}=4\] | Now compare 200 with the value of 1% to find the required percentage. | \[\Rightarrow \text{Required percent}=\frac{200}{4}=50\%\] | Therefore 200 is 50% of the books. | \[\Rightarrow \text{Required percent}=50\%\]","PASS"
"hi","PCT-CP-005","PCT-QL-010","PCT-ES-005","Easy","ratioToPercentage","PERCENT","The ratio of two parts is 1:2. Express the second part as a percentage of the whole.","$$66.67\%$$","First add the ratio parts to get the whole number of equal parts. | \[\Rightarrow \text{Total parts}=1+2=3\] | The second part accounts for 2 out of these 3 parts. | \[\Rightarrow \text{Share fraction}=\frac{2}{3}\] | Convert that share into a percentage. | \[\Rightarrow \text{Required percent}=\frac{2}{3}\times100=66.67\%\] | Therefore the second part corresponds to 66.67%. | \[\Rightarrow \text{second part}=66.67\%\]","PASS"
"hi","PCT-CP-006","PCT-QL-012","PCT-ES-006","Easy","complementaryPercentage","PERCENT","A person keeps 10% of the income as savings. What percent of the income is spent on expenditure?","$$90\%$$","The full quantity is always 100%. | \[\Rightarrow savings+expenditure=100\%\] | So subtract 10% from 100% to get the remaining percentage. | \[\Rightarrow expenditure=100\%-10\%=90\%\] | Therefore the expenditure percentage is 90%. | \[\Rightarrow \text{expenditure}=90\%\]","PASS"
"hi","PCT-CP-007","PCT-QL-014","PCT-ES-007","Medium","differenceBetweenPercentageParts","PERCENT","35% of the monthly budget goes to food expenses and 20% goes to transport expenses. Find the percentage difference.","$$15\%$$","Both parts are already given as percentages of the same whole. | \[\Rightarrow food expenses=35\%,\ transport expenses=20\%\] | So subtract the smaller percentage from the larger percentage. | \[\Rightarrow \text{Difference}=35\%-20\%=15\%\] | Therefore the percentage difference is 15%. | \[\Rightarrow \text{Difference}=15\%\]","PASS"
"hi","PCT-CP-008","PCT-QL-016","PCT-ES-008","Medium","percentagePartition","ABSOLUTE","A monthly expenses of Rs. 30000 is divided as 35% rent, 25% food, and 40% transport. Find the amount spent on rent.","$$10500$$","The whole monthly expenses corresponds to 100%. | \[\Rightarrow 100\%\rightarrowRs. 30000\] | So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. | \[\Rightarrow 1\%=\frac{30000}{100}=300\] | Now multiply the value of 1% by 35 to find the rent. | \[\Rightarrow 35\%=300\times35=10500\] | Therefore the rent count is Rs. 10500. | \[\Rightarrow \text{rent}=10500\]","PASS"
"hi","PCT-CP-009","PCT-QL-018","PCT-ES-009","Medium","missingPercentage","PERCENT","In a budget, 30% goes to marketing, 15% to salaries, and 15% to rent. Find the missing percentage for other expenses.","$$40\%$$","The full distribution adds up to 100%. | \[\Rightarrow marketing+salaries+rent+other expenses=100\%\] | First add the known percentages. | \[\Rightarrow 30\%+15\%+15\%=60\%\] | Now subtract that total from 100% to get the missing percentage. | \[\Rightarrow other expenses=100\%-60\%=40\%\] | Therefore the missing percentage is 40%. | \[\Rightarrow \text{other expenses}=40\%\]","PASS"
"hi","PCT-CP-010","PCT-QL-020","PCT-ES-010","Hard","multiCategoryPercentageDistribution","ABSOLUTE","Out of monthly expenses worth Rs. 24000, 25% is spent on food, 30% on rent, 10% on transport, and the remaining 35% on education. Find the amount spent on education.","$$8400$$","The whole monthly expenses corresponds to 100%. | \[\Rightarrow 100\%\rightarrowRs. 24000\] | So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. | \[\Rightarrow 1\%=\frac{24000}{100}=240\] | Now multiply the value of 1% by the percentage for education. | \[\Rightarrow 35\%=240\times35=8400\] | Therefore the value for education is Rs. 8400. | \[\Rightarrow \text{education}=8400\]","PASS"
"hi","PCT-CP-001","PCT-QL-001","PCT-ES-001","Easy","wholeFromPart","COUNT","25% of the students are girls. If the number of girls is 150, find the total number of students.","$$600$$","Here, 25% of the students equals 150. | \[\Rightarrow 25\%\rightarrow150\] | To determine the value of 1%, divide 150 by 25. | \[\Rightarrow 1\%=\frac{150}{25}=6\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=6\times100=600\] | Therefore the total students is 600. | \[\Rightarrow \text{Total students}=600\]","PASS"
"hi","PCT-CP-002","PCT-QL-003","PCT-ES-002","Easy","anotherPercentageFromKnownPercentage","ABSOLUTE","If 25% of the income equals Rs. 9000, find 70% of the same income.","$$25200$$","Here, 25% of the income equals Rs. 9000. | \[\Rightarrow 25\%\rightarrowRs. 9000\] | First find the value corresponding to 1% by dividing Rs. 9000 by 25. | \[\Rightarrow 1\%=\frac{9000}{25}=360\] | Now multiply the value of 1% by 70 to get 70%. | \[\Rightarrow 70\%=360\times70=25200\] | Therefore 70% of the income is Rs. 25200. | \[\Rightarrow \text{expenditure}=25200\]","PASS"
"hi","PCT-CP-003","PCT-QL-005","PCT-ES-003","Easy","percentageFromPartAndWhole","PERCENT","Out of 240 students, 84 are girls. Find what percent of the students are girls.","$$35\%$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow240\] | So 1% is obtained by dividing 240 by 100. | \[\Rightarrow 1\%=\frac{240}{100}=2.4\] | Now compare 84 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{84}{2.4}=35\%\] | Therefore 84 is 35% of the students. | \[\Rightarrow \text{girls}=35\%\]","PASS"
"hi","PCT-CP-004","PCT-QL-007","PCT-ES-004","Medium","reversePercentageMapping","PERCENT","If 40% of the salary is Rs. 2000, then Rs. 1250 is what percent of the same salary?","$$25\%$$","Here, 40% of the salary equals Rs. 2000. | \[\Rightarrow 40\%\rightarrowRs. 2000\] | To determine the value of 1%, divide Rs. 2000 by 40. | \[\Rightarrow 1\%=\frac{2000}{40}=50\] | Now compare Rs. 1250 with the value of 1% to find the required percentage. | \[\Rightarrow \text{Required percent}=\frac{1250}{50}=25\%\] | Therefore Rs. 1250 is 25% of the salary. | \[\Rightarrow \text{Required percent}=25\%\]","PASS"
"hi","PCT-CP-005","PCT-QL-009","PCT-ES-005","Easy","ratioToPercentage","PERCENT","A quantity is divided in the ratio 2:3. Find the percentage corresponding to the first part.","$$40\%$$","First add the ratio parts to get the whole number of equal parts. | \[\Rightarrow \text{Total parts}=2+3=5\] | The first part accounts for 2 out of these 5 parts. | \[\Rightarrow \text{Share fraction}=\frac{2}{5}\] | Convert that share into a percentage. | \[\Rightarrow \text{Required percent}=\frac{2}{5}\times100=40\%\] | Therefore the first part corresponds to 40%. | \[\Rightarrow \text{first part}=40\%\]","PASS"
"hi","PCT-CP-006","PCT-QL-011","PCT-ES-006","Easy","complementaryPercentage","PERCENT","If 25% of the class are girls, find the percentage of boys.","$$75\%$$","The full quantity is always 100%. | \[\Rightarrow girls+boys=100\%\] | So subtract 25% from 100% to get the remaining percentage. | \[\Rightarrow boys=100\%-25\%=75\%\] | Therefore the boys percentage is 75%. | \[\Rightarrow \text{boys}=75\%\]","PASS"
"hi","PCT-CP-007","PCT-QL-013","PCT-ES-007","Easy","differenceBetweenPercentageParts","PERCENT","35% of the students are boys and 20% are girls. Find the difference between these percentages.","$$15\%$$","Both parts are already given as percentages of the same whole. | \[\Rightarrow boys=35\%,\ girls=20\%\] | So subtract the smaller percentage from the larger percentage. | \[\Rightarrow \text{Difference}=35\%-20\%=15\%\] | Therefore the percentage difference is 15%. | \[\Rightarrow \text{Difference}=15\%\]","PASS"
"hi","PCT-CP-008","PCT-QL-015","PCT-ES-008","Medium","percentagePartition","COUNT","A group of 1200 students is divided as 40% girls, 30% boys, and 30% other students. Find the number of girls.","$$480$$","The whole students corresponds to 100%. | \[\Rightarrow 100\%\rightarrow1200\] | So the value corresponding to 1% is obtained by dividing 1200 by 100. | \[\Rightarrow 1\%=\frac{1200}{100}=12\] | Now multiply the value of 1% by 40 to find the girls. | \[\Rightarrow 40\%=12\times40=480\] | Therefore the girls count is 480. | \[\Rightarrow \text{girls}=480\]","PASS"
"hi","PCT-CP-009","PCT-QL-017","PCT-ES-009","Easy","missingPercentage","PERCENT","25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.","$$35\%$$","The full distribution adds up to 100%. | \[\Rightarrow food+rent+transport+remaining=100\%\] | First add the known percentages. | \[\Rightarrow 25\%+20\%+20\%=65\%\] | Now subtract that total from 100% to get the missing percentage. | \[\Rightarrow remaining=100\%-65\%=35\%\] | Therefore the missing percentage is 35%. | \[\Rightarrow \text{remaining}=35\%\]","PASS"
"hi","PCT-CP-010","PCT-QL-019","PCT-ES-010","Medium","multiCategoryPercentageDistribution","COUNT","In a population of 4000, 40% are males, 30% are females, and 30% are children. Find the number of children.","$$1200$$","The whole population corresponds to 100%. | \[\Rightarrow 100\%\rightarrow4000\] | So the value corresponding to 1% is obtained by dividing 4000 by 100. | \[\Rightarrow 1\%=\frac{4000}{100}=40\] | Now multiply the value of 1% by the percentage for children. | \[\Rightarrow 30\%=40\times30=1200\] | Therefore the value for children is 1200. | \[\Rightarrow \text{children}=1200\]","PASS"
"hi","PCT-CP-001","PCT-QL-002","PCT-ES-001","Easy","wholeFromPart","ABSOLUTE","10% of the monthly income is kept aside as savings. If these savings are Rs. 3000, find the total monthly income.","$$30000$$","Here, 10% of the monthly income equals Rs. 3000. | \[\Rightarrow 10\%\rightarrowRs. 3000\] | To determine the value of 1%, divide Rs. 3000 by 10. | \[\Rightarrow 1\%=\frac{3000}{10}=300\] | Now multiply the value of 1% by 100 to get the whole. | \[\Rightarrow 100\%=300\times100=30000\] | Therefore the total monthly income is Rs. 30000. | \[\Rightarrow \text{Total monthly income}=30000\]","PASS"
"hi","PCT-CP-002","PCT-QL-004","PCT-ES-002","Medium","anotherPercentageFromKnownPercentage","COUNT","If 20% of the students equals 140, how many students correspond to 45%?","$$315$$","Here, 20% of the students equals 140. | \[\Rightarrow 20\%\rightarrow140\] | First find the value corresponding to 1% by dividing 140 by 20. | \[\Rightarrow 1\%=\frac{140}{20}=7\] | Now multiply the value of 1% by 45 to get 45%. | \[\Rightarrow 45\%=7\times45=315\] | Therefore 45% of the students is 315. | \[\Rightarrow \text{students}=315\]","PASS"
"hi","PCT-CP-003","PCT-QL-006","PCT-ES-003","Medium","percentageFromPartAndWhole","PERCENT","A person keeps Rs. 12000 as savings out of a total income of Rs. 48000. Find the percentage of savings.","$$25\%$$","The whole income corresponds to 100%. | \[\Rightarrow 100\%\rightarrowRs. 48000\] | So 1% is obtained by dividing Rs. 48000 by 100. | \[\Rightarrow 1\%=\frac{48000}{100}=480\] | Now compare Rs. 12000 with the value of 1% to get the required percentage. | \[\Rightarrow \text{Required percent}=\frac{12000}{480}=25\%\] | Therefore Rs. 12000 is 25% of the income. | \[\Rightarrow \text{savings}=25\%\]","PASS"
