"questionId","qlId","difficulty","context","questionText","answer","approval","reviewerNotes","status"
"CSV-001-0001","PCT-QL-017","Easy","monthly salary","If 20% of the monthly salary equals ₹20,000, find 25% of the same monthly salary.","₹25,000","","","PENDING_REVIEW"
"CSV-001-0002","PCT-QL-117","Easy","annual income","We know that 20% of the annual income equals ₹50,000. What is 25% of the same annual income?","₹62,500","","","PENDING_REVIEW"
"CSV-001-0003","PCT-QL-217","Easy","annual profit","The value corresponding to 20% of the annual profit is ₹30,000. Find 25% of the same annual profit.","₹37,500","","","PENDING_REVIEW"
"CSV-001-0004","PCT-QL-317","Easy","expenses","The question states that 25% of the expenses equals ₹12,500. Determine 20% of the same expenses.","₹10,000","","","PENDING_REVIEW"
"CSV-001-0005","PCT-QL-417","Easy","bonus","Given that 25% of the bonus is ₹25,000, what is 20% of the same bonus?","₹20,000","","","PENDING_REVIEW"
"CSV-001-0006","PCT-QL-017","Medium","commission","If 37.5% of the commission equals ₹18,768.75, find 12.5% of the same commission.","₹6,256.25","","","PENDING_REVIEW"
"CSV-001-0007","PCT-QL-117","Medium","savings","We know that 12.5% of the savings equals ₹6,256.25. What is 37.5% of the same savings?","₹18,768.75","","","PENDING_REVIEW"
"CSV-001-0008","PCT-QL-217","Medium","revenue","The value corresponding to 12.5% of the revenue is ₹12,500. Find 37.5% of the same revenue.","₹37,500","","","PENDING_REVIEW"
"CSV-001-0009","PCT-QL-317","Medium","students","The question states that 12.5% of the students equals 125 students. Determine 37.5% of the same students.","375 students","","","PENDING_REVIEW"
"CSV-001-0010","PCT-QL-417","Medium","workers","Given that 37.5% of the workers is 750 workers, what is 12.5% of the same workers?","250 workers","","","PENDING_REVIEW"
"CSV-001-0011","PCT-QL-017","Hard","employees","If 99% of the employees equals 4,950 employees, find 0.5% of the same employees.","25 employees","","","PENDING_REVIEW"
"CSV-001-0012","PCT-QL-117","Hard","books","We know that 100% of the books equals 10,000 books. What is 1% of the same books?","100 books","","","PENDING_REVIEW"
"CSV-001-0013","PCT-QL-217","Hard","trees","The value corresponding to 99% of the trees is 198 trees. Find 99% of the same trees.","198 trees","","","PENDING_REVIEW"
"CSV-001-0014","PCT-QL-317","Hard","families","The question states that 99% of the families equals 396 families. Determine 99% of the same families.","396 families","","","PENDING_REVIEW"
"CSV-001-0015","PCT-QL-417","Hard","animals","Given that 99% of the animals is 990 animals, what is 99% of the same animals?","990 animals","","","PENDING_REVIEW"
"CSV-001-0016","PCT-QL-017","Easy","inventory","If 25% of the inventory equals 500 items, find 50% of the same inventory.","1,000 items","","","PENDING_REVIEW"
