Question ID,Package ID,QL ID,CP ID,Context,Difficulty characteristics,Stem source,Explanation source,Hint source,Misconception source,Provenance status
"PILOT-Q001-000","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-001","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-002","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-003","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-004","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-005","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-006","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-007","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-008","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
"PILOT-Q001-009","Q001","PCT-QL-017","PCT-CP-002","salary","Easy: integer rate & unit value scale < 5","question-definitions/Q001/stem.md","question-definitions/Q001/{relationship,unit-value,scaling,answer}.md","question-definitions/Q001/hints.md","question-definitions/Q001/misconceptions.md","HUMAN_OWNED_APPROVED"
