"questionId","qlId","stem","stemRealistic","stemSpecificity","variableOwnership","difficultyOwnership","difficultyClassification","explanationPolicies","explanationClassification","hintPresence","hintCount","misconceptionPresence","misconceptionCount","validationRules","validationRuleCount","contextType","arithmeticCharacteristics","educationalRichnessScore","migrationReadiness","migratableUnchanged","humanWorkRemaining"
"Q001","PCT-QL-017","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=20->25:TARGET_GREATER;unitValues=5|10|20","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=short;verification=HIDDEN;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","73","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q002","PCT-QL-017","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=40->25:TARGET_SMALLER;unitValues=6|12|24","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=standard;verification=OPTIONAL;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","73","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q003","PCT-QL-017","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=15->60:TARGET_GREATER;unitValues=25|40|80","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=standard;verification=OPTIONAL;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","75","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q004","PCT-QL-017","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=12.5->37.5:TARGET_GREATER;unitValues=2.5|6.5|12.5","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","3","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","TERMINATING_DECIMAL_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","75","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q005","PCT-QL-117","In a competitive exam setup, if {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=25->40:TARGET_GREATER;unitValues=4|8|16","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=short;verification=HIDDEN;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","69","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q006","PCT-QL-117","In a competitive exam setup, if {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=60->20:TARGET_SMALLER;unitValues=5|15|30","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=standard;verification=OPTIONAL;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q007","PCT-QL-117","In a competitive exam setup, if {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=10->80:TARGET_GREATER;unitValues=50|100|250","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q008","PCT-QL-117","In a competitive exam setup, if {rate1}% of a number is {value1}, find {rate2}% of that number.","false","GENERIC_APPROVED_ASSET","rates=62.5->25:TARGET_SMALLER;unitValues=1.5|3.5|7.5","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=detailed;verification=PREFERRED;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","3","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","TERMINATING_DECIMAL_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","71","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q009","PCT-QL-217","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=30->50:TARGET_GREATER;unitValues=3|9|15","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=short;verification=HIDDEN;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","3","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","73","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
"Q010","PCT-QL-217","If {rate1}% of a number is {value1}, find {rate2}% of that number.","true","GENERIC_APPROVED_ASSET","rates=80->15:TARGET_SMALLER;unitValues=10|25|50","authority=QUESTION_DEFINITION;factors=UNIT_VALUE_KIND|RATE_COMPLEXITY|NUMBER_SIZE|CONTEXT_COMPLEXITY","Micro-emergent","mode=standard;verification=OPTIONAL;roles=RELATIONSHIP_CONTEXT|KNOWN_UNIT_MAPPING|SINGLE_UNIT_DERIVATION|TARGET_UNIT_IDENTIFICATION|TARGET_SCALE_DERIVATION|ANSWER_INTERPRETATION","Semi-specific","Minimal","2","Minimal","4","POSITIVE_KNOWN_RATE|FINITE_VALUES|SOLVER_PARITY|ONE_UNIT_DERIVATION_REQUIRED|EXACT_VALUE_PRESERVED|APPROVED_STEM_PROVENANCE","6","Abstract quantity","INTEGER_UNIT;RATIONAL_EXACT;PRESENTATION_ONLY","75","PARTIAL","metadata;approved stem reference;variable ranges;difficulty emergence;role selection;validation rule IDs","question-specific stem/context review;authored hint text;authored misconception teaching;question-specific explanation language;context realism"
