packageId,examProfile,cpId,qlId,seed,difficulty,solveMode,stem,optionA,optionB,optionC,optionD,optionE,correctOption,answer,explanation,explanationWordCount,validationValid,mathematicalStatus,editorialStatus,reviewer,notes
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-501,PRB-002:exam-review-v3:PRB-CP-006:0:PRB-QL-501:0,Medium,findSuccessiveIndependentProbability,A jar contains 6 red and 8 blue marbles. One marble is selected and replaced before a second selection. What is the probability that both selected marbles are red?,10/49,9/49,40/49,9/50,8/49,B,9/49,"The first item is replaced, so the composition remains 6 red and 8 blue before the second selection. Thus, P(red on each selection) = 6/14. P(both red) = 6/14 × 6/14 = 9/49.",33,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-502,PRB-002:exam-review-v3:PRB-CP-006:1:PRB-QL-502:0,Medium,findSuccessiveDependentProbability,A box contains 7 red and 5 blue pens. Two pens are selected one after another without replacement. What is the probability that both are red?,7/22,15/22,49/144,4/11,3/11,A,7/22,"On the first selection, P(red) = 7/12. After one red item is removed, 6 red items remain among 11 items. P(both red) = 7/12 × 6/11 = 7/22.",28,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-503,PRB-002:exam-review-v3:PRB-CP-006:2:PRB-QL-503:0,Medium,findWithReplacementProbability,A pouch contains 9 red and 4 blue coloured stones. One stone is drawn and replaced before a second selection. What is the probability that both selected coloured stones are red?,82/169,81/169,80/169,88/169,81/170,B,81/169,"The first item is replaced, so the composition remains 9 red and 4 blue before the second selection. Thus, P(red on each selection) = 9/13. P(both red) = 9/13 × 9/13 = 81/169.",33,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-504,PRB-002:exam-review-v3:PRB-CP-006:3:PRB-QL-504:0,Medium,findWithoutReplacementProbability,A bag contains 9 red and 9 blue balls. Two balls are selected one after another without replacement. What is the probability that both are red?,4/17,3/17,5/17,13/17,2/9,A,4/17,"On the first selection, P(red) = 9/18. After one red item is removed, 8 red items remain among 17 items. P(both red) = 9/18 × 8/17 = 4/17.",28,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-505,PRB-002:exam-review-v3:PRB-CP-006:4:PRB-QL-505:0,Medium,findOrderedDrawSequenceProbability,A jar contains 8 red and 7 blue marbles. Two marbles are selected one after another without replacement. What is the probability of getting red first and blue second?,1/4,1/3,4/15,1/5,11/15,C,4/15,"The order is fixed: red must occur first and blue second. P(red first) = 8/15; after that, P(blue second) = 7/14. Required probability = 8/15 × 7/14 = 4/15.",29,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-506,PRB-002:exam-review-v3:PRB-CP-006:5:PRB-QL-506:0,Medium,findSameTypeInSuccessiveDraws,A box contains 5 red and 7 blue pens. Two pens are selected one after another without replacement. What is the probability that both are of the same colour?,35/66,16/33,25/144,31/66,5/11,D,31/66,"The same colour can occur in two disjoint ways: red-red or blue-blue. P(red-red) = 5/12 × 4/11, and P(blue-blue) = 7/12 × 6/11. Adding the two cases gives 31/66.",29,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-507,PRB-002:exam-review-v3:PRB-CP-006:6:PRB-QL-507:0,Medium,findDifferentTypesInSuccessiveDraws,A pouch contains 9 red and 8 blue coloured stones. Two coloured stones are selected one after another without replacement. What is the probability that they are of different colours?,10/17,9/34,81/289,8/17,9/17,E,9/17,"Different colours can occur as red-blue or blue-red, so both orders must be counted. P = 9/17 × 8/16 + 8/17 × 9/16. After simplification, the required probability is 9/17.",30,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-508,PRB-002:exam-review-v3:PRB-CP-006:7:PRB-QL-508:0,Medium,findAtLeastOneAcrossIndependentStages,A bag contains 4 red and 5 blue balls. Two selections are made with replacement. What is the probability of getting at least one red ball?,25/81,28/41,55/81,19/27,56/81,E,56/81,Use the complement: at least one red item fails only when both selections are blue. Replacement keeps P(blue) = 5/9 on both selections. P(at least one red) = 1 - (5/9 × 5/9) = 56/81.,35,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-509,PRB-002:exam-review-v3:PRB-CP-006:8:PRB-QL-509:0,Medium,findSuccessiveIndependentProbability,A jar contains 7 red and 6 blue marbles. One marble is selected and replaced before a second selection. What is the probability that both selected marbles are red?,120/169,49/170,50/169,49/169,48/169,D,49/169,"The first item is replaced, so the composition remains 7 red and 6 blue before the second selection. Thus, P(red on each selection) = 7/13. P(both red) = 7/13 × 7/13 = 49/169.",33,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-510,PRB-002:exam-review-v3:PRB-CP-006:9:PRB-QL-510:0,Medium,findSuccessiveDependentProbability,A box contains 9 red and 4 blue pens. Two pens are selected one after another without replacement. What is the probability that both are red?,6/13,3/7,7/13,81/169,5/13,A,6/13,"On the first selection, P(red) = 9/13. After one red item is removed, 8 red items remain among 12 items. P(both red) = 9/13 × 8/12 = 6/13.",28,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-511,PRB-002:exam-review-v3:PRB-CP-006:10:PRB-QL-511:0,Medium,findWithReplacementProbability,A pouch contains 5 red and 6 blue coloured stones. One stone is drawn and replaced before a second selection. What is the probability that both selected coloured stones are red?,25/122,96/121,24/121,25/121,26/121,D,25/121,"The first item is replaced, so the composition remains 5 red and 6 blue before the second selection. Thus, P(red on each selection) = 5/11. P(both red) = 5/11 × 5/11 = 25/121.",33,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-512,PRB-002:exam-review-v3:PRB-CP-006:11:PRB-QL-512:0,Medium,findWithoutReplacementProbability,A bag contains 5 red and 8 blue balls. Two balls are selected one after another without replacement. What is the probability that both are red?,34/39,5/39,25/169,2/13,4/39,B,5/39,"On the first selection, P(red) = 5/13. After one red item is removed, 4 red items remain among 12 items. P(both red) = 5/13 × 4/12 = 5/39.",28,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-513,PRB-002:exam-review-v3:PRB-CP-006:12:PRB-QL-513:0,Medium,findOrderedDrawSequenceProbability,A jar contains 8 red and 4 blue marbles. Two marbles are selected one after another without replacement. What is the probability of getting red first and blue second?,8/33,25/33,3/11,7/33,4/17,A,8/33,"The order is fixed: red must occur first and blue second. P(red first) = 8/12; after that, P(blue second) = 4/11. Required probability = 8/12 × 4/11 = 8/33.",29,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-514,PRB-002:exam-review-v3:PRB-CP-006:13:PRB-QL-514:0,Medium,findSameTypeInSuccessiveDraws,A box contains 4 red and 4 blue pens. Two pens are selected one after another without replacement. What is the probability that both are of the same colour?,2/7,3/8,4/7,3/7,1/4,D,3/7,"The same colour can occur in two disjoint ways: red-red or blue-blue. P(red-red) = 4/8 × 3/7, and P(blue-blue) = 4/8 × 3/7. Adding the two cases gives 3/7.",29,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
PRB-002,BANKING_MAINS,PRB-CP-006,PRB-QL-515,PRB-002:exam-review-v3:PRB-CP-006:14:PRB-QL-515:0,Medium,findDifferentTypesInSuccessiveDraws,A pouch contains 6 red and 9 blue coloured stones. Two coloured stones are selected one after another without replacement. What is the probability that they are of different colours?,4/25,9/35,19/35,17/35,18/35,E,18/35,"Different colours can occur as red-blue or blue-red, so both orders must be counted. P = 6/15 × 9/14 + 9/15 × 6/14. After simplification, the required probability is 18/35.",30,true,AUTOMATED_PASS,PENDING_HUMAN_REVIEW,,
