question,answer,difficulty,questionLanguageId,explanationId,canonicalProblemId
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Medium,QL-001,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Hard,QL-003,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Medium,QL-001,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Hard,QL-003,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Hard,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Medium,QL-002,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Medium,QL-002,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Hard,QL-003,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Hard,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Medium,QL-001,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Hard,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Medium,QL-002,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Easy,QL-001,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Hard,QL-002,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Hard,QL-002,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Hard,QL-005,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Easy,QL-003,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Easy,QL-003,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Medium,QL-001,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Hard,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Hard,QL-003,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Hard,QL-002,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Hard,QL-004,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Easy,QL-001,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Easy,QL-001,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Hard,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Hard,QL-004,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Hard,QL-005,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Easy,QL-001,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Easy,QL-001,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Easy,QL-003,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Medium,QL-001,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Medium,QL-004,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Medium,QL-001,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Easy,QL-005,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Hard,QL-002,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Hard,QL-002,ES-001,CP-001
The HCF and LCM of two numbers are 6 and 60. Find the product of the two numbers.,360,Easy,QL-001,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Easy,QL-004,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Easy,QL-003,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Hard,QL-005,ES-001,CP-001
"The product of two numbers is 540. If their LCM is 90, find their HCF.",6,Medium,QL-005,ES-001,CP-001
Find the product of two numbers whose HCF is 6 and LCM is 60.,360,Medium,QL-003,ES-001,CP-001
"If the HCF of two numbers is 6 and their LCM is 60, what is the product of the numbers?",360,Easy,QL-002,ES-001,CP-001
"The product of two numbers is 960. If their HCF is 8, find their LCM.",120,Hard,QL-004,ES-001,CP-001
