Question ID,Explanation text
"PILOT-Q001-000","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 100$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 100}{{rate1}} = \text{Rs. } 5$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 5 \times 25 = \text{Rs. } 125$$

Thus, the clerk spends Rs. 125 on house rent:
$$\text{House Rent} = \text{Rs. } 125$$"
"PILOT-Q001-001","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$"
"PILOT-Q001-002","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$"
"PILOT-Q001-003","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 400$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 400}{{rate1}} = \text{Rs. } 20$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 20 \times 25 = \text{Rs. } 500$$

Thus, the clerk spends Rs. 500 on house rent:
$$\text{House Rent} = \text{Rs. } 500$$"
"PILOT-Q001-004","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 100$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 100}{{rate1}} = \text{Rs. } 5$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 5 \times 25 = \text{Rs. } 125$$

Thus, the clerk spends Rs. 125 on house rent:
$$\text{House Rent} = \text{Rs. } 125$$"
"PILOT-Q001-005","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$"
"PILOT-Q001-006","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 400$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 400}{{rate1}} = \text{Rs. } 20$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 20 \times 25 = \text{Rs. } 500$$

Thus, the clerk spends Rs. 500 on house rent:
$$\text{House Rent} = \text{Rs. } 500$$"
"PILOT-Q001-007","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$"
"PILOT-Q001-008","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 100$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 100}{{rate1}} = \text{Rs. } 5$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 5 \times 25 = \text{Rs. } 125$$

Thus, the clerk spends Rs. 125 on house rent:
$$\text{House Rent} = \text{Rs. } 125$$"
"PILOT-Q001-009","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 400$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 400}{{rate1}} = \text{Rs. } 20$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 20 \times 25 = \text{Rs. } 500$$

Thus, the clerk spends Rs. 500 on house rent:
$$\text{House Rent} = \text{Rs. } 500$$"
