question,answer,difficulty,questionLanguageId,explanationId,canonicalProblemId
What digit appears at the end of 39856^27405?,6,Hard,QL-048,ES-001,CP-001
What digit appears at the end of 1669^14?,1,Easy,QL-048,ES-001,CP-001
The number 1398^139 is written in full. Find its last digit.,2,Medium,QL-007,ES-001,CP-001
Find the last digit of the given power: 1361^19.,1,Easy,QL-009,ES-001,CP-001
Determine the last digit of 1738^17.,8,Easy,QL-049,ES-001,CP-001
Determine the last digit of 1309^184.,1,Medium,QL-049,ES-001,CP-001
Find the last digit of the given power: 1672^167.,8,Medium,QL-009,ES-001,CP-001
What digit appears at the end of 283^5?,3,Easy,QL-010,ES-001,CP-001
Evaluate the unit digit of the power 736^381.,6,Medium,QL-005,ES-001,CP-001
Find the last digit of 1665^15.,5,Easy,QL-001,ES-001,CP-001
The number 427^280 is written in full. Find its last digit.,1,Medium,QL-007,ES-001,CP-001
Evaluate the unit digit of the power 296^241.,6,Medium,QL-005,ES-001,CP-001
Determine the last digit of 1083^12.,1,Easy,QL-049,ES-001,CP-001
Find the last digit of 470^199.,0,Medium,QL-001,ES-001,CP-001
What is the unit digit of 1183^13?,3,Easy,QL-002,ES-001,CP-001
Find the digit in the units place of 83372^32589.,2,Hard,QL-004,ES-001,CP-001
What digit appears at the end of 1523^74?,9,Medium,QL-048,ES-001,CP-001
Determine the last digit of 438^3.,2,Easy,QL-049,ES-001,CP-001
Find the last digit of 30501^92052059.,1,Hard,QL-001,ES-001,CP-001
Find the last digit of 33894^4193.,4,Hard,QL-001,ES-001,CP-001
The number 79298^9557 is written in full. Find its last digit.,8,Hard,QL-007,ES-001,CP-001
Find the last digit when 72223 is raised to the power 833264863.,7,Hard,QL-006,ES-001,CP-001
Determine the last digit of 34^3.,4,Easy,QL-049,ES-001,CP-001
Determine the last digit of 1683^386.,9,Medium,QL-049,ES-001,CP-001
Determine the unit digit in 1172^73.,2,Medium,QL-008,ES-001,CP-001
What digit appears at the end of 87469^940710459?,9,Hard,QL-010,ES-001,CP-001
Find the last digit of 1274^5.,4,Easy,QL-001,ES-001,CP-001
Evaluate the unit digit of the power 125^5.,5,Easy,QL-005,ES-001,CP-001
Determine the last digit of 88818^82133.,8,Hard,QL-049,ES-001,CP-001
Find the unit digit of 381^92.,1,Medium,QL-045,ES-001,CP-001
Find the unit digit of 1205^2.,5,Easy,QL-045,ES-001,CP-001
Find the digit in the units place of 434^10.,6,Easy,QL-047,ES-001,CP-001
Calculate the last digit in the value of 55429^664548591.,9,Hard,QL-003,ES-001,CP-001
Calculate the last digit in the value of 38498^86321.,8,Hard,QL-003,ES-001,CP-001
What is the last digit of 45^3?,5,Easy,QL-046,ES-001,CP-001
What digit appears at the end of 1590^6?,0,Easy,QL-048,ES-001,CP-001
Find the digit in the units place of 87941^133420555.,1,Hard,QL-004,ES-001,CP-001
What is the unit digit of 1576^89?,6,Medium,QL-002,ES-001,CP-001
Calculate the last digit in the value of 1605^2.,5,Easy,QL-003,ES-001,CP-001
Find the last digit of 1796^123.,6,Medium,QL-001,ES-001,CP-001
Find the last digit when 876 is raised to the power 63.,6,Medium,QL-006,ES-001,CP-001
Find the digit in the units place of 1249^13.,9,Easy,QL-004,ES-001,CP-001
Find the digit in the units place of 534^41.,4,Medium,QL-047,ES-001,CP-001
What is the unit digit of 429^48?,1,Medium,QL-002,ES-001,CP-001
Evaluate the unit digit of the power 676^9.,6,Easy,QL-005,ES-001,CP-001
Evaluate the unit digit of the power 1287^20.,1,Easy,QL-005,ES-001,CP-001
What digit appears at the end of 96418^98381?,8,Hard,QL-010,ES-001,CP-001
Find the last digit when 1341 is raised to the power 244.,1,Medium,QL-006,ES-001,CP-001
Find the digit in the units place of 53358^51383.,2,Hard,QL-047,ES-001,CP-001
Determine the last digit of 1965^374.,5,Medium,QL-049,ES-001,CP-001
Find the unit digit of 629^12.,1,Easy,QL-045,ES-001,CP-001
Find the digit in the units place of 56176^24897.,6,Hard,QL-047,ES-001,CP-001
Determine the unit digit in 1523^19.,7,Easy,QL-008,ES-001,CP-001
Find the digit in the units place of 4516^66351.,6,Hard,QL-004,ES-001,CP-001
What digit appears at the end of 181^4?,1,Easy,QL-048,ES-001,CP-001
Calculate the last digit in the value of 1018^15.,2,Easy,QL-003,ES-001,CP-001
Find the last digit of the given power: 1401^3.,1,Easy,QL-009,ES-001,CP-001
Evaluate the unit digit of the power 1352^8.,6,Easy,QL-005,ES-001,CP-001
Find the digit in the units place of 1829^196.,1,Medium,QL-004,ES-001,CP-001
Find the last digit when 1532 is raised to the power 16.,6,Easy,QL-006,ES-001,CP-001
What is the unit digit of 56058^60457?,8,Hard,QL-002,ES-001,CP-001
Find the last digit when 903 is raised to the power 13.,3,Easy,QL-006,ES-001,CP-001
What is the unit digit of 13510^70495?,0,Hard,QL-002,ES-001,CP-001
Evaluate the unit digit of the power 369^86.,1,Medium,QL-005,ES-001,CP-001
Calculate the last digit in the value of 410^5.,0,Easy,QL-003,ES-001,CP-001
Evaluate the unit digit of the power 223^252.,1,Medium,QL-005,ES-001,CP-001
Find the last digit of 1874^363.,4,Medium,QL-001,ES-001,CP-001
What is the unit digit of 31521^392368693?,1,Hard,QL-002,ES-001,CP-001
What is the unit digit of 1656^18?,6,Easy,QL-002,ES-001,CP-001
Find the digit in the units place of 1305^14.,5,Easy,QL-004,ES-001,CP-001
Find the last digit when 47 is raised to the power 326.,9,Medium,QL-006,ES-001,CP-001
Find the unit digit of 1512^5.,2,Easy,QL-045,ES-001,CP-001
Evaluate the unit digit of the power 341^72.,1,Medium,QL-005,ES-001,CP-001
Find the last digit of 1658^16.,6,Easy,QL-001,ES-001,CP-001
Evaluate the unit digit of the power 161^378.,1,Medium,QL-005,ES-001,CP-001
What digit appears at the end of 596^11?,6,Easy,QL-010,ES-001,CP-001
What digit appears at the end of 1829^44?,1,Medium,QL-048,ES-001,CP-001
Determine the last digit of 94412^45529.,2,Hard,QL-049,ES-001,CP-001
Find the last digit when 841 is raised to the power 14.,1,Easy,QL-006,ES-001,CP-001
What is the unit digit of 37596^74683?,6,Hard,QL-002,ES-001,CP-001
Find the unit digit of 34^99.,4,Medium,QL-045,ES-001,CP-001
Find the digit in the units place of 885^13.,5,Easy,QL-047,ES-001,CP-001
Evaluate the unit digit of the power 1290^189.,0,Medium,QL-005,ES-001,CP-001
Calculate the last digit in the value of 49507^782744607.,3,Hard,QL-003,ES-001,CP-001
Find the last digit of 1836^11.,6,Easy,QL-001,ES-001,CP-001
What digit appears at the end of 12121^55778937?,1,Hard,QL-048,ES-001,CP-001
Determine the unit digit in 58370^73353.,0,Hard,QL-008,ES-001,CP-001
What digit appears at the end of 38029^465629563?,9,Hard,QL-010,ES-001,CP-001
The number 598^459 is written in full. Find its last digit.,2,Medium,QL-007,ES-001,CP-001
Determine the unit digit in 38245^562943029.,5,Hard,QL-008,ES-001,CP-001
Determine the last digit of 909^320.,1,Medium,QL-049,ES-001,CP-001
What is the unit digit of 1816^185?,6,Medium,QL-002,ES-001,CP-001
What is the last digit of 1565^7?,5,Easy,QL-046,ES-001,CP-001
Find the last digit of the given power: 44310^6519.,0,Hard,QL-009,ES-001,CP-001
What is the last digit of 99749^655501871?,9,Hard,QL-046,ES-001,CP-001
Calculate the last digit in the value of 738^19.,2,Easy,QL-003,ES-001,CP-001
Find the unit digit of 1521^434.,1,Medium,QL-045,ES-001,CP-001
Determine the unit digit in 1478^2.,4,Easy,QL-008,ES-001,CP-001
Find the unit digit of 1065^168.,5,Medium,QL-045,ES-001,CP-001
The number 372^9 is written in full. Find its last digit.,2,Easy,QL-007,ES-001,CP-001
Find the digit in the units place of 35507^557589783.,3,Hard,QL-047,ES-001,CP-001
What is the unit digit of 1296^21?,6,Medium,QL-002,ES-001,CP-001
Determine the unit digit in 1045^250.,5,Medium,QL-008,ES-001,CP-001
Find the unit digit of 274^411.,4,Medium,QL-045,ES-001,CP-001
Find the last digit when 56985 is raised to the power 702590931.,5,Hard,QL-006,ES-001,CP-001
Calculate the last digit in the value of 532^449.,2,Medium,QL-003,ES-001,CP-001
Find the unit digit of 681^12.,1,Easy,QL-045,ES-001,CP-001
What is the last digit of 1838^3?,2,Easy,QL-046,ES-001,CP-001
Find the last digit of the given power: 1661^68.,1,Medium,QL-009,ES-001,CP-001
Find the last digit of the given power: 416^4.,6,Easy,QL-009,ES-001,CP-001
Find the last digit of the given power: 22712^14607.,8,Hard,QL-009,ES-001,CP-001
Find the unit digit of 367^334.,9,Medium,QL-045,ES-001,CP-001
Calculate the last digit in the value of 1330^5.,0,Easy,QL-003,ES-001,CP-001
Calculate the last digit in the value of 1941^19.,1,Easy,QL-003,ES-001,CP-001
Determine the unit digit in 274^16.,6,Easy,QL-008,ES-001,CP-001
Find the unit digit of 803^194.,9,Medium,QL-045,ES-001,CP-001
Determine the last digit of 1536^413.,6,Medium,QL-049,ES-001,CP-001
What is the last digit of 1429^52?,1,Medium,QL-046,ES-001,CP-001
Calculate the last digit in the value of 36870^42575.,0,Hard,QL-003,ES-001,CP-001
What is the unit digit of 523^118?,9,Medium,QL-002,ES-001,CP-001
Find the digit in the units place of 521^12.,1,Easy,QL-047,ES-001,CP-001
Find the unit digit of 1756^12.,6,Easy,QL-045,ES-001,CP-001
Find the last digit of the given power: 17143^34045043.,7,Hard,QL-009,ES-001,CP-001
Evaluate the unit digit of the power 1414^193.,4,Medium,QL-005,ES-001,CP-001
What is the last digit of 56649^749459141?,9,Hard,QL-046,ES-001,CP-001
What digit appears at the end of 1870^16?,0,Easy,QL-010,ES-001,CP-001
Determine the last digit of 11349^217808119.,9,Hard,QL-049,ES-001,CP-001
Find the digit in the units place of 890^181.,0,Medium,QL-004,ES-001,CP-001
Find the last digit when 16123 is raised to the power 912427657.,3,Hard,QL-006,ES-001,CP-001
Find the last digit of the given power: 1674^303.,4,Medium,QL-009,ES-001,CP-001
Find the last digit of the given power: 858^177.,8,Medium,QL-009,ES-001,CP-001
Find the digit in the units place of 747^2.,9,Easy,QL-047,ES-001,CP-001
Find the last digit when 1030 is raised to the power 12.,0,Easy,QL-006,ES-001,CP-001
Find the last digit when 13641 is raised to the power 916052481.,1,Hard,QL-006,ES-001,CP-001
Find the last digit of the given power: 892^229.,2,Medium,QL-009,ES-001,CP-001
Find the last digit when 465 is raised to the power 14.,5,Easy,QL-006,ES-001,CP-001
Find the last digit of 756^17.,6,Easy,QL-001,ES-001,CP-001
Find the digit in the units place of 805^16.,5,Easy,QL-004,ES-001,CP-001
What is the unit digit of 1256^14?,6,Easy,QL-002,ES-001,CP-001
Evaluate the unit digit of the power 1543^112.,1,Medium,QL-005,ES-001,CP-001
What digit appears at the end of 1949^312?,1,Medium,QL-010,ES-001,CP-001
What digit appears at the end of 40378^93933?,8,Hard,QL-010,ES-001,CP-001
Evaluate the unit digit of the power 1883^14.,9,Easy,QL-005,ES-001,CP-001
Calculate the last digit in the value of 316^39.,6,Medium,QL-003,ES-001,CP-001
Determine the unit digit in 33269^644392199.,9,Hard,QL-008,ES-001,CP-001
Find the last digit of the given power: 1456^133.,6,Medium,QL-009,ES-001,CP-001
Find the digit in the units place of 2001^15.,1,Easy,QL-004,ES-001,CP-001
What is the unit digit of 992^16?,6,Easy,QL-002,ES-001,CP-001
The number 347^11 is written in full. Find its last digit.,3,Easy,QL-007,ES-001,CP-001
Calculate the last digit in the value of 452^13.,2,Easy,QL-003,ES-001,CP-001
Find the last digit when 750 is raised to the power 19.,0,Easy,QL-006,ES-001,CP-001
The number 23523^984229957 is written in full. Find its last digit.,3,Hard,QL-007,ES-001,CP-001
Determine the last digit of 734^117.,4,Medium,QL-049,ES-001,CP-001
What digit appears at the end of 1189^236?,1,Medium,QL-010,ES-001,CP-001
The number 19590^2275 is written in full. Find its last digit.,0,Hard,QL-007,ES-001,CP-001
Find the last digit of the given power: 1401^15.,1,Easy,QL-009,ES-001,CP-001
Find the last digit of 294^129.,4,Medium,QL-001,ES-001,CP-001
Evaluate the unit digit of the power 987^104.,1,Medium,QL-005,ES-001,CP-001
Calculate the last digit in the value of 358^243.,2,Medium,QL-003,ES-001,CP-001
Find the last digit of 38163^739417693.,3,Hard,QL-001,ES-001,CP-001
What is the unit digit of 69047^983235229?,7,Hard,QL-002,ES-001,CP-001
What digit appears at the end of 38^147?,2,Medium,QL-048,ES-001,CP-001
Find the digit in the units place of 305^10.,5,Easy,QL-004,ES-001,CP-001
Find the last digit of the given power: 1298^461.,8,Medium,QL-009,ES-001,CP-001
Calculate the last digit in the value of 121^158.,1,Medium,QL-003,ES-001,CP-001
Determine the last digit of 870^5.,0,Easy,QL-049,ES-001,CP-001
The number 1465^20 is written in full. Find its last digit.,5,Easy,QL-007,ES-001,CP-001
Determine the unit digit in 372^12.,6,Easy,QL-008,ES-001,CP-001
Calculate the last digit in the value of 73441^695081669.,1,Hard,QL-003,ES-001,CP-001
The number 1876^19 is written in full. Find its last digit.,6,Easy,QL-007,ES-001,CP-001
Find the unit digit of 1856^14.,6,Easy,QL-045,ES-001,CP-001
Find the last digit of the given power: 63^19.,7,Easy,QL-009,ES-001,CP-001
Calculate the last digit in the value of 52590^77695.,0,Hard,QL-003,ES-001,CP-001
Find the digit in the units place of 1445^258.,5,Medium,QL-004,ES-001,CP-001
What digit appears at the end of 930^7?,0,Easy,QL-048,ES-001,CP-001
What is the unit digit of 585^3?,5,Easy,QL-002,ES-001,CP-001
Determine the unit digit in 392^159.,8,Medium,QL-008,ES-001,CP-001
Evaluate the unit digit of the power 687^4.,1,Easy,QL-005,ES-001,CP-001
Determine the last digit of 1690^13.,0,Easy,QL-049,ES-001,CP-001
Calculate the last digit in the value of 1503^124.,1,Medium,QL-003,ES-001,CP-001
Determine the unit digit in 303^212.,1,Medium,QL-008,ES-001,CP-001
What digit appears at the end of 1370^13?,0,Easy,QL-010,ES-001,CP-001
The number 1683^354 is written in full. Find its last digit.,9,Medium,QL-007,ES-001,CP-001
Calculate the last digit in the value of 114^19.,4,Easy,QL-003,ES-001,CP-001
What digit appears at the end of 1781^3?,1,Easy,QL-048,ES-001,CP-001
What digit appears at the end of 1174^8?,6,Easy,QL-048,ES-001,CP-001
Find the last digit when 1247 is raised to the power 494.,9,Medium,QL-006,ES-001,CP-001
Evaluate the unit digit of the power 89596^5423.,6,Hard,QL-005,ES-001,CP-001
Determine the last digit of 463^252.,1,Medium,QL-049,ES-001,CP-001
What is the unit digit of 652^14?,4,Easy,QL-002,ES-001,CP-001
