"questionId","qlId","difficulty","context","explanationText","explanationLines","approval","reviewerNotes","status"
"PCT-CP-002:PCT-QL-017:66805","PCT-QL-017","Easy","salary","We are comparing two percentages of the salary. | In this question, 10% of the salary stands for 400 salary. | Because 10% of the salary has 10 equal 1% parts, divide 400 salary by 10. | $$1\% = 400\text{ salary} \div 10 = 40\text{ salary}$$ | The percentage we still need is 40%. | Use the 1% value 40 times to get 40% of the salary. | $$40\% = 40\text{ salary} \times 40 = 1,600\text{ salary}$$ | So 40% of the salary is 1,600 salary.","[""We are comparing two percentages of the salary."",""In this question, 10% of the salary stands for 400 salary."",""Because 10% of the salary has 10 equal 1% parts, divide 400 salary by 10. | $$1\\% = 400\\text{ salary} \\div 10 = 40\\text{ salary}$$"",""The percentage we still need is 40%."",""Use the 1% value 40 times to get 40% of the salary. | $$40\\% = 40\\text{ salary} \\times 40 = 1,600\\text{ salary}$$"",""So 40% of the salary is 1,600 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66806","PCT-QL-017","Medium","expenditure","We are finding a new percentage of the expenditure. | 15% of the expenditure equals 300 expenditure. | Because 15% of the expenditure has 15 equal 1% parts, divide 300 expenditure by 15. | $$1\% = 300\text{ expenditure} \div 15 = 20\text{ expenditure}$$ | Now we need 50% of the expenditure. | Because 1% is known, multiply its value by 50 to get 50% of the expenditure. | $$50\% = 20\text{ expenditure} \times 50 = 1,000\text{ expenditure}$$ | Therefore, 50% of the expenditure represents 1,000 expenditure.","[""We are finding a new percentage of the expenditure."",""15% of the expenditure equals 300 expenditure."",""Because 15% of the expenditure has 15 equal 1% parts, divide 300 expenditure by 15. | $$1\\% = 300\\text{ expenditure} \\div 15 = 20\\text{ expenditure}$$"",""Now we need 50% of the expenditure."",""Because 1% is known, multiply its value by 50 to get 50% of the expenditure. | $$50\\% = 20\\text{ expenditure} \\times 50 = 1,000\\text{ expenditure}$$"",""Therefore, 50% of the expenditure represents 1,000 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66807","PCT-QL-017","Hard","salary","We will first connect the known percentage of the salary with the required percentage. | The given information is 20% of the salary = 250 salary. | Because 20% has 20 equal parts, dividing 250 salary by 20 gives 1% of the salary. | $$1\% = 250\text{ salary} \div 20 = 12.5\text{ salary}$$ | Our target is 60% of the salary. | Since 1% is one part, multiply its value by 60 to get 60% of the salary. | $$60\% = 12.5\text{ salary} \times 60 = 750\text{ salary}$$ | As a check, the 1% value used 20 times gives 250 salary. | $$12.5\text{ salary} \times 20 = 250\text{ salary}$$ | Therefore, 60% of the salary represents 750 salary.","[""We will first connect the known percentage of the salary with the required percentage."",""The given information is 20% of the salary = 250 salary."",""Because 20% has 20 equal parts, dividing 250 salary by 20 gives 1% of the salary. | $$1\\% = 250\\text{ salary} \\div 20 = 12.5\\text{ salary}$$"",""Our target is 60% of the salary."",""Since 1% is one part, multiply its value by 60 to get 60% of the salary. | $$60\\% = 12.5\\text{ salary} \\times 60 = 750\\text{ salary}$$"",""As a check, the 1% value used 20 times gives 250 salary. | $$12.5\\text{ salary} \\times 20 = 250\\text{ salary}$$"",""Therefore, 60% of the salary represents 750 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66808","PCT-QL-017","Easy","expenditure","We are working with two percentages of the expenditure. | 200 expenditure is the value of 50% of the expenditure. | Because 50% of the expenditure has 50 equal 1% parts, divide 200 expenditure by 50. | $$1\% = 200\text{ expenditure} \div 50 = 4\text{ expenditure}$$ | The question asks for 10% of the expenditure. | Use the 1% value 10 times to get 10% of the expenditure. | $$10\% = 4\text{ expenditure} \times 10 = 40\text{ expenditure}$$ | This means the required expenditure count is 40 expenditure.","[""We are working with two percentages of the expenditure."",""200 expenditure is the value of 50% of the expenditure."",""Because 50% of the expenditure has 50 equal 1% parts, divide 200 expenditure by 50. | $$1\\% = 200\\text{ expenditure} \\div 50 = 4\\text{ expenditure}$$"",""The question asks for 10% of the expenditure."",""Use the 1% value 10 times to get 10% of the expenditure. | $$10\\% = 4\\text{ expenditure} \\times 10 = 40\\text{ expenditure}$$"",""This means the required expenditure count is 40 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66810","PCT-QL-017","Hard","income","We can use the known percentage of the income to find the required one. | We know that 80% of the income is 100 income. | Because 80% has 80 equal parts, dividing 100 income by 80 gives 1% of the income. | $$1\% = 100\text{ income} \div 80 = 1.25\text{ income}$$ | The required share is 20% of the income. | Since 1% is one part, multiply its value by 20 to get 20% of the income. | $$20\% = 1.25\text{ income} \times 20 = 25\text{ income}$$ | This is consistent because 80 copies of the 1% value make 100 income. | $$1.25\text{ income} \times 80 = 100\text{ income}$$ | This means the required income count is 25 income.","[""We can use the known percentage of the income to find the required one."",""We know that 80% of the income is 100 income."",""Because 80% has 80 equal parts, dividing 100 income by 80 gives 1% of the income. | $$1\\% = 100\\text{ income} \\div 80 = 1.25\\text{ income}$$"",""The required share is 20% of the income."",""Since 1% is one part, multiply its value by 20 to get 20% of the income. | $$20\\% = 1.25\\text{ income} \\times 20 = 25\\text{ income}$$"",""This is consistent because 80 copies of the 1% value make 100 income. | $$1.25\\text{ income} \\times 80 = 100\\text{ income}$$"",""This means the required income count is 25 income.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66811","PCT-QL-017","Easy","expenditure","We can see that both percentage values belong to the expenditure. | Start with the given relation: 10% of the expenditure is 600 expenditure. | Because 10% of the expenditure has 10 equal 1% parts, divide 600 expenditure by 10. | $$1\% = 600\text{ expenditure} \div 10 = 60\text{ expenditure}$$ | The required share is 25% of the expenditure. | Use the 1% value 25 times to get 25% of the expenditure. | $$25\% = 60\text{ expenditure} \times 25 = 1,500\text{ expenditure}$$ | So the share of the expenditure represented by 25% is 1,500 expenditure.","[""We can see that both percentage values belong to the expenditure."",""Start with the given relation: 10% of the expenditure is 600 expenditure."",""Because 10% of the expenditure has 10 equal 1% parts, divide 600 expenditure by 10. | $$1\\% = 600\\text{ expenditure} \\div 10 = 60\\text{ expenditure}$$"",""The required share is 25% of the expenditure."",""Use the 1% value 25 times to get 25% of the expenditure. | $$25\\% = 60\\text{ expenditure} \\times 25 = 1,500\\text{ expenditure}$$"",""So the share of the expenditure represented by 25% is 1,500 expenditure.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66814","PCT-QL-017","Easy","salary","The required percentage is the same 50% already given for the salary. | 50% of the salary is 300 salary. | There is no need to find 1% because the requested percentage is already known. | The question asks for that same 50% of the salary. | No multiplication or scaling is needed. | So 50% of the salary remains 300 salary.","[""The required percentage is the same 50% already given for the salary."",""50% of the salary is 300 salary."",""There is no need to find 1% because the requested percentage is already known."",""The question asks for that same 50% of the salary."",""No multiplication or scaling is needed."",""So 50% of the salary remains 300 salary.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66836","PCT-QL-017","Medium","saving","We are comparing two percentages of the saving. | In this question, 40% of the saving stands for 500 saving. | Because 40% of the saving has 40 equal 1% parts, divide 500 saving by 40. | $$1\% = 500\text{ saving} \div 40 = 12.5\text{ saving}$$ | Next, use the 1% value to find 30% of the saving. | Because 1% is known, multiply its value by 30 to get 30% of the saving. | $$30\% = 12.5\text{ saving} \times 30 = 375\text{ saving}$$ | Therefore, 30% of the saving represents 375 saving.","[""We are comparing two percentages of the saving."",""In this question, 40% of the saving stands for 500 saving."",""Because 40% of the saving has 40 equal 1% parts, divide 500 saving by 40. | $$1\\% = 500\\text{ saving} \\div 40 = 12.5\\text{ saving}$$"",""Next, use the 1% value to find 30% of the saving."",""Because 1% is known, multiply its value by 30 to get 30% of the saving. | $$30\\% = 12.5\\text{ saving} \\times 30 = 375\\text{ saving}$$"",""Therefore, 30% of the saving represents 375 saving.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66837","PCT-QL-017","Hard","income","We are comparing two percentages of the income. | The question gives 10% of the income as 400 income. | Because 10% has 10 equal parts, dividing 400 income by 10 gives 1% of the income. | $$1\% = 400\text{ income} \div 10 = 40\text{ income}$$ | The percentage we still need is 40%. | Since 1% is one part, multiply its value by 40 to get 40% of the income. | $$40\% = 40\text{ income} \times 40 = 1,600\text{ income}$$ | Going back to 10% reproduces the given 400 income. | $$40\text{ income} \times 10 = 400\text{ income}$$ | Therefore, 40% of the income represents 1,600 income.","[""We are comparing two percentages of the income."",""The question gives 10% of the income as 400 income."",""Because 10% has 10 equal parts, dividing 400 income by 10 gives 1% of the income. | $$1\\% = 400\\text{ income} \\div 10 = 40\\text{ income}$$"",""The percentage we still need is 40%."",""Since 1% is one part, multiply its value by 40 to get 40% of the income. | $$40\\% = 40\\text{ income} \\times 40 = 1,600\\text{ income}$$"",""Going back to 10% reproduces the given 400 income. | $$40\\text{ income} \\times 10 = 400\\text{ income}$$"",""Therefore, 40% of the income represents 1,600 income.""]","","","PENDING_REVIEW"
"PCT-CP-002:PCT-QL-017:66838","PCT-QL-017","Easy","expenditure","We are comparing two percentages of the expenditure. | The given information is 15% of the expenditure = 300 expenditure. | Because 15% of the expenditure has 15 equal 1% parts, divide 300 expenditure by 15. | $$1\% = 300\text{ expenditure} \div 15 = 20\text{ expenditure}$$ | Our target is 50% of the expenditure. | Use the 1% value 50 times to get 50% of the expenditure. | $$50\% = 20\text{ expenditure} \times 50 = 1,000\text{ expenditure}$$ | Therefore, 50% of the expenditure represents 1,000 expenditure.","[""We are comparing two percentages of the expenditure."",""The given information is 15% of the expenditure = 300 expenditure."",""Because 15% of the expenditure has 15 equal 1% parts, divide 300 expenditure by 15. | $$1\\% = 300\\text{ expenditure} \\div 15 = 20\\text{ expenditure}$$"",""Our target is 50% of the expenditure."",""Use the 1% value 50 times to get 50% of the expenditure. | $$50\\% = 20\\text{ expenditure} \\times 50 = 1,000\\text{ expenditure}$$"",""Therefore, 50% of the expenditure represents 1,000 expenditure.""]","","","PENDING_REVIEW"
