Question ID,Package ID,Question text,Answer,Difficulty
"PILOT-Q001-000","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 100, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$125$$","Easy"
"PILOT-Q001-001","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$250$$","Easy"
"PILOT-Q001-002","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$250$$","Easy"
"PILOT-Q001-003","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 400, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$500$$","Easy"
"PILOT-Q001-004","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 100, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$125$$","Easy"
"PILOT-Q001-005","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$250$$","Easy"
"PILOT-Q001-006","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 400, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$500$$","Easy"
"PILOT-Q001-007","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$250$$","Easy"
"PILOT-Q001-008","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 100, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$125$$","Easy"
"PILOT-Q001-009","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 400, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","$$500$$","Easy"
"PILOT-Q002-000","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$150$$","Easy"
"PILOT-Q002-001","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$150$$","Easy"
"PILOT-Q002-002","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$600$$","Easy"
"PILOT-Q002-003","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$600$$","Easy"
"PILOT-Q002-004","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$150$$","Easy"
"PILOT-Q002-005","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$600$$","Easy"
"PILOT-Q002-006","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$600$$","Easy"
"PILOT-Q002-007","Q002","In a library, 40% of the total books are on Mathematics. If the library has 240 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$150$$","Easy"
"PILOT-Q002-008","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$600$$","Easy"
"PILOT-Q002-009","Q002","In a library, 40% of the total books are on Mathematics. If the library has 960 Mathematics books, find the number of English books if they constitute 25% of the total books.","$$600$$","Easy"
"PILOT-Q003-000","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 600 marks, find the passing marks.","$$2400$$","Easy"
"PILOT-Q003-001","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 1200 marks, find the passing marks.","$$4800$$","Easy"
"PILOT-Q003-002","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 1200 marks, find the passing marks.","$$4800$$","Easy"
"PILOT-Q003-003","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 375 marks, find the passing marks.","$$1500$$","Easy"
"PILOT-Q003-004","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 600 marks, find the passing marks.","$$2400$$","Easy"
"PILOT-Q003-005","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 375 marks, find the passing marks.","$$1500$$","Easy"
"PILOT-Q003-006","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 375 marks, find the passing marks.","$$1500$$","Easy"
"PILOT-Q003-007","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 375 marks, find the passing marks.","$$1500$$","Easy"
"PILOT-Q003-008","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 600 marks, find the passing marks.","$$2400$$","Easy"
"PILOT-Q003-009","Q003","A candidate has to secure 60% marks to pass an examination. If he secures 15% marks and gets 375 marks, find the passing marks.","$$1500$$","Easy"
"PILOT-Q004-000","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 81.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$243.75$$","Hard"
"PILOT-Q004-001","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 156.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$468.75$$","Hard"
"PILOT-Q004-002","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 31.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$93.75$$","Hard"
"PILOT-Q004-003","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 81.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$243.75$$","Hard"
"PILOT-Q004-004","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 156.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$468.75$$","Hard"
"PILOT-Q004-005","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 81.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$243.75$$","Hard"
"PILOT-Q004-006","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 81.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$243.75$$","Hard"
"PILOT-Q004-007","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 81.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$243.75$$","Hard"
"PILOT-Q004-008","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 81.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$243.75$$","Hard"
"PILOT-Q004-009","Q004","In a company, 12.5% of the employees work in the marketing department. If there are 31.25 employees in marketing, find the number of employees in the sales department if they make up 37.5% of the total employees.","$$93.75$$","Hard"
"PILOT-Q005-000","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 200, find the budget allocated for marketing if it is 40% of the total budget.","$$320$$","Easy"
"PILOT-Q005-001","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 400, find the budget allocated for marketing if it is 40% of the total budget.","$$640$$","Easy"
"PILOT-Q005-002","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 400, find the budget allocated for marketing if it is 40% of the total budget.","$$640$$","Easy"
"PILOT-Q005-003","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 200, find the budget allocated for marketing if it is 40% of the total budget.","$$320$$","Easy"
"PILOT-Q005-004","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 200, find the budget allocated for marketing if it is 40% of the total budget.","$$320$$","Easy"
"PILOT-Q005-005","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 400, find the budget allocated for marketing if it is 40% of the total budget.","$$640$$","Easy"
"PILOT-Q005-006","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 100, find the budget allocated for marketing if it is 40% of the total budget.","$$160$$","Easy"
"PILOT-Q005-007","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 400, find the budget allocated for marketing if it is 40% of the total budget.","$$640$$","Easy"
"PILOT-Q005-008","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 200, find the budget allocated for marketing if it is 40% of the total budget.","$$320$$","Easy"
"PILOT-Q005-009","Q005","In a business, 25% of the total budget is allocated for raw materials. If the budget for raw materials is Rs. 100, find the budget allocated for marketing if it is 40% of the total budget.","$$160$$","Easy"
