question,answer,difficulty,questionLanguageId,explanationId,canonicalProblemId
"Simplify \(2^5 \times 2^3 \div 2^4\).","2^8","Easy","QL-001","ES-001","CP01"
"Find the value of \(\frac{3^7 \times 3^2}{3^5}\).","7^5","Medium","QL-002","ES-001","CP01"
"Simplify \(5^4 \times 5^2 \div 5^3\).","5^6","Hard","QL-003","ES-001","CP01"
"What is the value of \((7^2)^3 \div 7^4\)?","3^5","Hard","QL-004","ES-001","CP01"
"Simplify \(\frac{11^6}{11^2 \times 11}\).","2^8","Medium","QL-005","ES-001","CP01"
"Find the simplified form of \(13^3 \times 13^4\).","7^5","Medium","QL-006","ES-001","CP01"
"Simplify \(2^8 \div 2^3 \times 2^2\).","5^6","Easy","QL-007","ES-001","CP01"
"What is the value of \((3^3)^2 \div 3^4\)?","3^5","Medium","QL-008","ES-001","CP01"
"Simplify \(\frac{5^9}{5^4 \times 5^2}\).","2^8","Easy","QL-009","ES-001","CP01"
"Find the value of \(10^5 \div 10^2\).","7^5","Hard","QL-010","ES-001","CP01"
"Simplify \(6^4 \times 6 \div 6^2\).","7^5","Medium","QL-011","ES-001","CP01"
"What is the simplified form of \((2^4)^2 \div 2^5\)?","2^8","Hard","QL-012","ES-001","CP01"
"Find the value of \(\frac{9^5 \times 9^2}{9^6}\).","3^5","Medium","QL-013","ES-001","CP01"
"Simplify \(4^3 \times 4^2 \times 4\).","5^6","Medium","QL-014","ES-001","CP01"
"What is the value of \(\frac{8^7}{8^3}\)?","7^5","Hard","QL-015","ES-001","CP01"
"The simplified form of \(2^6 \times 2^4 \div 2^5\) is:","2^8","Easy","QL-016","ES-001","CP01"
"Evaluate the following expression: \(3^8 \div 3^3 \times 3^2\).","3^5","Medium","QL-017","ES-001","CP01"
"On simplification, \(5^7 \div 5^2\) becomes:","5^6","Easy","QL-018","ES-001","CP01"
"Find the result of \((4^2)^3 \div 4^4\).","7^5","Easy","QL-019","ES-001","CP01"
"Determine the simplified value of \(\frac{7^9}{7^4 \times 7^2}\).","2^8","Easy","QL-020","ES-001","CP01"
"Simplify \(2^5 \times 2^3 \div 2^4\).","2^8","Easy","QL-001","ES-001","CP01"
"Find the value of \(\frac{3^7 \times 3^2}{3^5}\).","7^5","Easy","QL-002","ES-001","CP01"
"Simplify \(5^4 \times 5^2 \div 5^3\).","5^6","Medium","QL-003","ES-001","CP01"
"What is the value of \((7^2)^3 \div 7^4\)?","3^5","Easy","QL-004","ES-001","CP01"
"Simplify \(\frac{11^6}{11^2 \times 11}\).","2^8","Easy","QL-005","ES-001","CP01"
"Find the simplified form of \(13^3 \times 13^4\).","7^5","Easy","QL-006","ES-001","CP01"
"Simplify \(2^8 \div 2^3 \times 2^2\).","5^6","Hard","QL-007","ES-001","CP01"
"What is the value of \((3^3)^2 \div 3^4\)?","3^5","Medium","QL-008","ES-001","CP01"
"Simplify \(\frac{5^9}{5^4 \times 5^2}\).","2^8","Easy","QL-009","ES-001","CP01"
"Find the value of \(10^5 \div 10^2\).","7^5","Easy","QL-010","ES-001","CP01"
"Simplify \(6^4 \times 6 \div 6^2\).","3^5","Hard","QL-011","ES-001","CP01"
"What is the simplified form of \((2^4)^2 \div 2^5\)?","5^6","Medium","QL-012","ES-001","CP01"
"Find the value of \(\frac{9^5 \times 9^2}{9^6}\).","7^5","Medium","QL-013","ES-001","CP01"
"Simplify \(4^3 \times 4^2 \times 4\).","2^8","Hard","QL-014","ES-001","CP01"
"What is the value of \(\frac{8^7}{8^3}\)?","3^5","Hard","QL-015","ES-001","CP01"
