"questionId","qlId","difficulty","context","detailMode","methodFamily","engineVersion","explanationText","explanationLinesJson","approval","reviewerNotes","status"
"CSV-001-0001","PCT-QL-017","Easy","monthly salary","short","UNIT_VALUE","eev2-v1","We need to move from one percentage of the monthly salary to another. | The given information is 20% of the monthly salary = ₹20,000. | Because 20% of the monthly salary has 20 equal 1% parts, divide ₹20,000 by 20. | $$1\% = \text{₹}20,000 \div 20 = \text{₹}1,000$$ | Now we need 25% of the monthly salary. | Use the 1% value 25 times to get 25% of the monthly salary. | $$25\% = \text{₹}1,000 \times 25 = \text{₹}25,000$$ | So the amount corresponding to 25% of the monthly salary is ₹25,000.","[""We need to move from one percentage of the monthly salary to another."",""The given information is 20% of the monthly salary = ₹20,000."",""Because 20% of the monthly salary has 20 equal 1% parts, divide ₹20,000 by 20. | $$1\\% = \\text{₹}20,000 \\div 20 = \\text{₹}1,000$$"",""Now we need 25% of the monthly salary."",""Use the 1% value 25 times to get 25% of the monthly salary. | $$25\\% = \\text{₹}1,000 \\times 25 = \\text{₹}25,000$$"",""So the amount corresponding to 25% of the monthly salary is ₹25,000.""]","","","PENDING_REVIEW"
"CSV-001-0002","PCT-QL-117","Easy","annual income","short","UNIT_VALUE","eev2-v1","We can see that both percentage values belong to the annual income. | Start with the given relation: 20% of the annual income is ₹50,000. | Because 20% of the annual income has 20 equal 1% parts, divide ₹50,000 by 20. | $$1\% = \text{₹}50,000 \div 20 = \text{₹}2,500$$ | Now turn the 1% value into 25% of the annual income. | Use the 1% value 25 times to get 25% of the annual income. | $$25\% = \text{₹}2,500 \times 25 = \text{₹}62,500$$ | This means 25% of the annual income comes to ₹62,500.","[""We can see that both percentage values belong to the annual income."",""Start with the given relation: 20% of the annual income is ₹50,000."",""Because 20% of the annual income has 20 equal 1% parts, divide ₹50,000 by 20. | $$1\\% = \\text{₹}50,000 \\div 20 = \\text{₹}2,500$$"",""Now turn the 1% value into 25% of the annual income."",""Use the 1% value 25 times to get 25% of the annual income. | $$25\\% = \\text{₹}2,500 \\times 25 = \\text{₹}62,500$$"",""This means 25% of the annual income comes to ₹62,500.""]","","","PENDING_REVIEW"
"CSV-001-0003","PCT-QL-217","Easy","annual profit","short","UNIT_VALUE","eev2-v1","We can use the known percentage of the annual profit to find the required one. | ₹30,000 is the value of 20% of the annual profit. | Because 20% of the annual profit has 20 equal 1% parts, divide ₹30,000 by 20. | $$1\% = \text{₹}30,000 \div 20 = \text{₹}1,500$$ | The question asks for 25% of the annual profit. | Use the 1% value 25 times to get 25% of the annual profit. | $$25\% = \text{₹}1,500 \times 25 = \text{₹}37,500$$ | This means 25% of the annual profit comes to ₹37,500.","[""We can use the known percentage of the annual profit to find the required one."",""₹30,000 is the value of 20% of the annual profit."",""Because 20% of the annual profit has 20 equal 1% parts, divide ₹30,000 by 20. | $$1\\% = \\text{₹}30,000 \\div 20 = \\text{₹}1,500$$"",""The question asks for 25% of the annual profit."",""Use the 1% value 25 times to get 25% of the annual profit. | $$25\\% = \\text{₹}1,500 \\times 25 = \\text{₹}37,500$$"",""This means 25% of the annual profit comes to ₹37,500.""]","","","PENDING_REVIEW"
"CSV-001-0004","PCT-QL-317","Easy","expenses","short","UNIT_VALUE","eev2-v1","We can see that both percentage values belong to the expenses. | Here, ₹12,500 represents 25% of the expenses. | Because 25% of the expenses has 25 equal 1% parts, divide ₹12,500 by 25. | $$1\% = \text{₹}12,500 \div 25 = \text{₹}500$$ | The question asks for 20% of the expenses. | Use the 1% value 20 times to get 20% of the expenses. | $$20\% = \text{₹}500 \times 20 = \text{₹}10,000$$ | The amount represented by 20% of the expenses is ₹10,000.","[""We can see that both percentage values belong to the expenses."",""Here, ₹12,500 represents 25% of the expenses."",""Because 25% of the expenses has 25 equal 1% parts, divide ₹12,500 by 25. | $$1\\% = \\text{₹}12,500 \\div 25 = \\text{₹}500$$"",""The question asks for 20% of the expenses."",""Use the 1% value 20 times to get 20% of the expenses. | $$20\\% = \\text{₹}500 \\times 20 = \\text{₹}10,000$$"",""The amount represented by 20% of the expenses is ₹10,000.""]","","","PENDING_REVIEW"
"CSV-001-0005","PCT-QL-417","Easy","bonus","short","UNIT_VALUE","eev2-v1","We can see that both percentage values belong to the bonus. | We know that 25% of the bonus is ₹25,000. | Because 25% of the bonus has 25 equal 1% parts, divide ₹25,000 by 25. | $$1\% = \text{₹}25,000 \div 25 = \text{₹}1,000$$ | Now turn the 1% value into 20% of the bonus. | Use the 1% value 20 times to get 20% of the bonus. | $$20\% = \text{₹}1,000 \times 20 = \text{₹}20,000$$ | The amount represented by 20% of the bonus is ₹20,000.","[""We can see that both percentage values belong to the bonus."",""We know that 25% of the bonus is ₹25,000."",""Because 25% of the bonus has 25 equal 1% parts, divide ₹25,000 by 25. | $$1\\% = \\text{₹}25,000 \\div 25 = \\text{₹}1,000$$"",""Now turn the 1% value into 20% of the bonus."",""Use the 1% value 20 times to get 20% of the bonus. | $$20\\% = \\text{₹}1,000 \\times 20 = \\text{₹}20,000$$"",""The amount represented by 20% of the bonus is ₹20,000.""]","","","PENDING_REVIEW"
"CSV-001-0006","PCT-QL-017","Medium","commission","short","UNIT_VALUE","eev2-v1","We know one percentage of the commission and need another. | Start with the given relation: 37.5% of the commission is ₹18,768.75. | Because 37.5% of the commission has 37.5 equal 1% parts, divide ₹18,768.75 by 37.5. | $$1\% = \text{₹}18,768.75 \div 37.5 = \text{₹}500.5$$ | Now turn the 1% value into 12.5% of the commission. | Use the 1% value 12.5 times to get 12.5% of the commission. | $$12.5\% = \text{₹}500.5 \times 12.5 = \text{₹}6,256.25$$ | This means 12.5% of the commission comes to ₹6,256.25.","[""We know one percentage of the commission and need another."",""Start with the given relation: 37.5% of the commission is ₹18,768.75."",""Because 37.5% of the commission has 37.5 equal 1% parts, divide ₹18,768.75 by 37.5. | $$1\\% = \\text{₹}18,768.75 \\div 37.5 = \\text{₹}500.5$$"",""Now turn the 1% value into 12.5% of the commission."",""Use the 1% value 12.5 times to get 12.5% of the commission. | $$12.5\\% = \\text{₹}500.5 \\times 12.5 = \\text{₹}6,256.25$$"",""This means 12.5% of the commission comes to ₹6,256.25.""]","","","PENDING_REVIEW"
"CSV-001-0007","PCT-QL-117","Medium","savings","short","UNIT_VALUE","eev2-v1","We will first connect the known percentage of the savings with the required percentage. | The question gives 12.5% of the savings as ₹6,256.25. | Because 12.5% of the savings has 12.5 equal 1% parts, divide ₹6,256.25 by 12.5. | $$1\% = \text{₹}6,256.25 \div 12.5 = \text{₹}500.5$$ | The percentage we still need is 37.5%. | Use the 1% value 37.5 times to get 37.5% of the savings. | $$37.5\% = \text{₹}500.5 \times 37.5 = \text{₹}18,768.75$$ | Therefore, 37.5% of the savings is ₹18,768.75.","[""We will first connect the known percentage of the savings with the required percentage."",""The question gives 12.5% of the savings as ₹6,256.25."",""Because 12.5% of the savings has 12.5 equal 1% parts, divide ₹6,256.25 by 12.5. | $$1\\% = \\text{₹}6,256.25 \\div 12.5 = \\text{₹}500.5$$"",""The percentage we still need is 37.5%."",""Use the 1% value 37.5 times to get 37.5% of the savings. | $$37.5\\% = \\text{₹}500.5 \\times 37.5 = \\text{₹}18,768.75$$"",""Therefore, 37.5% of the savings is ₹18,768.75.""]","","","PENDING_REVIEW"
"CSV-001-0008","PCT-QL-217","Medium","revenue","standard","UNIT_VALUE","eev2-v1","We know one percentage of the revenue and need another. | Start with the given relation: 12.5% of the revenue is ₹12,500. | Because 12.5% of the revenue has 12.5 equal 1% parts, divide ₹12,500 by 12.5. | $$1\% = \text{₹}12,500 \div 12.5 = \text{₹}1,000$$ | The required share is 37.5% of the revenue. | Because 1% is known, multiply its value by 37.5 to get 37.5% of the revenue. | $$37.5\% = \text{₹}1,000 \times 37.5 = \text{₹}37,500$$ | The amount represented by 37.5% of the revenue is ₹37,500.","[""We know one percentage of the revenue and need another."",""Start with the given relation: 12.5% of the revenue is ₹12,500."",""Because 12.5% of the revenue has 12.5 equal 1% parts, divide ₹12,500 by 12.5. | $$1\\% = \\text{₹}12,500 \\div 12.5 = \\text{₹}1,000$$"",""The required share is 37.5% of the revenue."",""Because 1% is known, multiply its value by 37.5 to get 37.5% of the revenue. | $$37.5\\% = \\text{₹}1,000 \\times 37.5 = \\text{₹}37,500$$"",""The amount represented by 37.5% of the revenue is ₹37,500.""]","","","PENDING_REVIEW"
"CSV-001-0009","PCT-QL-317","Medium","students","standard","UNIT_VALUE","eev2-v1","We are comparing two percentages of the students. | In this question, 12.5% of the students stands for 125 students. | Because 12.5% of the students has 12.5 equal 1% parts, divide 125 students by 12.5. | $$1\% = 125\text{ students} \div 12.5 = 10\text{ students}$$ | The percentage we still need is 37.5%. | Because 1% is known, multiply its value by 37.5 to get 37.5% of the students. | $$37.5\% = 10\text{ students} \times 37.5 = 375\text{ students}$$ | So 37.5% of the students is 375 students.","[""We are comparing two percentages of the students."",""In this question, 12.5% of the students stands for 125 students."",""Because 12.5% of the students has 12.5 equal 1% parts, divide 125 students by 12.5. | $$1\\% = 125\\text{ students} \\div 12.5 = 10\\text{ students}$$"",""The percentage we still need is 37.5%."",""Because 1% is known, multiply its value by 37.5 to get 37.5% of the students. | $$37.5\\% = 10\\text{ students} \\times 37.5 = 375\\text{ students}$$"",""So 37.5% of the students is 375 students.""]","","","PENDING_REVIEW"
"CSV-001-0010","PCT-QL-417","Medium","workers","standard","UNIT_VALUE","eev2-v1","We can use the known percentage of the workers to find the required one. | Here, 750 workers represents 37.5% of the workers. | Because 37.5% of the workers has 37.5 equal 1% parts, divide 750 workers by 37.5. | $$1\% = 750\text{ workers} \div 37.5 = 20\text{ workers}$$ | The question asks for 12.5% of the workers. | Because 1% is known, multiply its value by 12.5 to get 12.5% of the workers. | $$12.5\% = 20\text{ workers} \times 12.5 = 250\text{ workers}$$ | So the share of the workers represented by 12.5% is 250 workers.","[""We can use the known percentage of the workers to find the required one."",""Here, 750 workers represents 37.5% of the workers."",""Because 37.5% of the workers has 37.5 equal 1% parts, divide 750 workers by 37.5. | $$1\\% = 750\\text{ workers} \\div 37.5 = 20\\text{ workers}$$"",""The question asks for 12.5% of the workers."",""Because 1% is known, multiply its value by 12.5 to get 12.5% of the workers. | $$12.5\\% = 20\\text{ workers} \\times 12.5 = 250\\text{ workers}$$"",""So the share of the workers represented by 12.5% is 250 workers.""]","","","PENDING_REVIEW"
