Question ID,CP,Pattern ID,Instance ID,Divisor,Target Remainder,Difficulty Band,Question Language ID,Explanation Style ID,Question,Answer,Explanation
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:0:3,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:843x10:3,18,8,Hard,QL-005,ES-005,"Find x.

Given:

843x10 leaves remainder 8 when divided by 18.",1,"Checking all possible values gives:

1

Hence the answer is:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:1:5,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:5x83:5,7,4,Easy,QL-001,ES-004,Find the value of x if 5x83 leaves remainder 4 when divided by 7.,5,"Valid values of x:

5

Required answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:2:10,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:40987x:10,30,10,Hard,QL-003,ES-005,The number 40987x leaves remainder 10 when divided by 30. Find x.,0,"Checking all possible values gives:

0

Hence the answer is:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:3:1,CP-001,REM-SP-6-5,NS-REM-001:REM-SP-6-5:6658x0:1,7,4,Hard,QL-003,ES-004,The number 6658x0 leaves remainder 4 when divided by 7. Find x.,3,"Valid values of x:

3

Required answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:4:0,CP-001,REM-SP-6-5,NS-REM-001:REM-SP-6-5:4432x0:0,11,8,Hard,QL-002,ES-003,Determine x if 4432x0 leaves remainder 8 on division by 11.,2,"Substitute possible values of x and check the remainder.

Valid values:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:5:3,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:178x:3,8,1,Easy,QL-001,ES-003,Find the value of x if 178x leaves remainder 1 when divided by 8.,5,"Substitute possible values of x and check the remainder.

Valid values:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:6:1,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:665x10:1,18,12,Hard,QL-001,ES-001,Find the value of x if 665x10 leaves remainder 12 when divided by 18.,3,"Check all possible values of x.

Valid values:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:7:0,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:44387x:0,16,2,Hard,QL-002,ES-005,Determine x if 44387x leaves remainder 2 on division by 16.,4,"Checking all possible values gives:

4

Hence the answer is:

4"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:8:5,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:487x92:5,45,27,Hard,QL-005,ES-004,"Find x.

Given:

487x92 leaves remainder 27 when divided by 45.",6,"Valid values of x:

6

Required answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:9:2,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:387x32:2,18,6,Hard,QL-001,ES-003,Find the value of x if 387x32 leaves remainder 6 when divided by 18.,1,"Substitute possible values of x and check the remainder.

Valid values:

1

Answer:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:10:1,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:121x7:1,19,18,Medium,QL-005,ES-002,"Find x.

Given:

121x7 leaves remainder 18 when divided by 19.",9,"The required remainder is 18.

Valid values of x:

9

Answer:

9"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:11:4,CP-001,REM-SP-3-3,NS-REM-001:REM-SP-3-3:55x:4,7,3,Easy,QL-001,ES-003,Find the value of x if 55x leaves remainder 3 when divided by 7.,6,"Substitute possible values of x and check the remainder.

Valid values:

6

Answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:12:2,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:8214x:2,40,26,Hard,QL-002,ES-003,Determine x if 8214x leaves remainder 26 on division by 40.,6,"Substitute possible values of x and check the remainder.

Valid values:

6

Answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:13:0,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:278x:0,13,12,Medium,QL-002,ES-001,Determine x if 278x leaves remainder 12 on division by 13.,1,"Check all possible values of x.

Valid values:

1

Answer:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:14:3,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:587x9:3,11,5,Medium,QL-002,ES-001,Determine x if 587x9 leaves remainder 5 on division by 11.,8,"Check all possible values of x.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:15:3,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:84309x:3,12,0,Hard,QL-003,ES-004,The number 84309x leaves remainder 0 when divided by 12. Find x.,6,"Valid values of x:

6

Required answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:16:4,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:5652x:4,12,0,Medium,QL-003,ES-001,The number 5652x leaves remainder 0 when divided by 12. Find x.,0,"Check all possible values of x.

Valid values:

0

Answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:17:2,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:4x67:2,11,0,Medium,QL-004,ES-004,What should be the value of x so that 4x67 leaves remainder 0 when divided by 11?,3,"Valid values of x:

3

Required answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:18:0,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:2870x:0,40,22,Hard,QL-002,ES-002,Determine x if 2870x leaves remainder 22 on division by 40.,2,"The required remainder is 22.

Valid values of x:

2

Answer:

2"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:19:1,CP-001,REM-SP-5-1,NS-REM-001:REM-SP-5-1:x2143:1,17,5,Medium,QL-003,ES-005,The number x2143 leaves remainder 5 when divided by 17. Find x.,1,"Checking all possible values gives:

1

Hence the answer is:

1"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:20:2,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:512x:2,24,15,Medium,QL-003,ES-005,The number 512x leaves remainder 15 when divided by 24. Find x.,7,"Checking all possible values gives:

7

Hence the answer is:

7"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:21:1,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:587x5:1,19,6,Medium,QL-001,ES-003,Find the value of x if 587x5 leaves remainder 6 when divided by 19.,3,"Substitute possible values of x and check the remainder.

Valid values:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:22:4,CP-001,REM-SP-6-1,NS-REM-001:REM-SP-6-1:x03210:4,17,15,Hard,QL-004,ES-003,What should be the value of x so that x03210 leaves remainder 15 when divided by 17?,3,"Substitute possible values of x and check the remainder.

Valid values:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:23:0,CP-001,REM-SP-6-2,NS-REM-001:REM-SP-6-2:1x7432:0,9,5,Hard,QL-005,ES-003,"Find x.

Given:

1x7432 leaves remainder 5 when divided by 9.",6,"Substitute possible values of x and check the remainder.

Valid values:

6

Answer:

6"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:24:1,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:4438x:1,50,38,Hard,QL-004,ES-003,What should be the value of x so that 4438x leaves remainder 38 when divided by 50?,8,"Substitute possible values of x and check the remainder.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:25:1,CP-001,REM-SP-5-2,NS-REM-001:REM-SP-5-2:8x721:1,11,6,Medium,QL-003,ES-004,The number 8x721 leaves remainder 6 when divided by 11. Find x.,8,"Valid values of x:

8

Required answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:26:0,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:834x:0,6,5,Easy,QL-001,ES-003,Find the value of x if 834x leaves remainder 5 when divided by 6.,5,"Substitute possible values of x and check the remainder.

Valid values:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:27:0,CP-001,REM-SP-6-6,NS-REM-001:REM-SP-6-6:62187x:0,18,14,Hard,QL-004,ES-004,What should be the value of x so that 62187x leaves remainder 14 when divided by 18?,8,"Valid values of x:

8

Required answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:28:8,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:212x:8,11,2,Medium,QL-005,ES-003,"Find x.

Given:

212x leaves remainder 2 when divided by 11.",5,"Substitute possible values of x and check the remainder.

Valid values:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:29:1,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:834x:1,10,9,Easy,QL-005,ES-004,"Find x.

Given:

834x leaves remainder 9 when divided by 10.",9,"Valid values of x:

9

Required answer:

9"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:30:3,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:587x3:3,11,4,Medium,QL-004,ES-001,What should be the value of x so that 587x3 leaves remainder 4 when divided by 11?,3,"Check all possible values of x.

Valid values:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:31:0,CP-001,REM-SP-4-2,NS-REM-001:REM-SP-4-2:4x83:0,17,14,Medium,QL-004,ES-002,What should be the value of x so that 4x83 leaves remainder 14 when divided by 17?,3,"The required remainder is 14.

Valid values of x:

3

Answer:

3"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:32:2,CP-001,REM-SP-6-2,NS-REM-001:REM-SP-6-2:1x9876:2,13,2,Hard,QL-002,ES-002,Determine x if 1x9876 leaves remainder 2 on division by 13.,5,"The required remainder is 2.

Valid values of x:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:33:0,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:256x:0,11,2,Medium,QL-004,ES-004,What should be the value of x so that 256x leaves remainder 2 when divided by 11?,5,"Valid values of x:

5

Required answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:34:0,CP-001,REM-SP-5-5,NS-REM-001:REM-SP-5-5:2098x:0,13,11,Medium,QL-005,ES-001,"Find x.

Given:

2098x leaves remainder 11 when divided by 13.",0,"Check all possible values of x.

Valid values:

0

Answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:35:2,CP-001,REM-SP-6-1,NS-REM-001:REM-SP-6-1:x43870:2,7,5,Hard,QL-004,ES-002,What should be the value of x so that x43870 leaves remainder 5 when divided by 7?,5,"The required remainder is 5.

Valid values of x:

5

Answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:36:3,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:987x9:3,24,15,Medium,QL-002,ES-005,Determine x if 987x9 leaves remainder 15 on division by 24.,9,"Checking all possible values gives:

9

Hence the answer is:

9"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:37:4,CP-001,REM-SP-3-3,NS-REM-001:REM-SP-3-3:33x:4,8,1,Easy,QL-004,ES-001,What should be the value of x so that 33x leaves remainder 1 when divided by 8?,7,"Check all possible values of x.

Valid values:

7

Answer:

7"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:38:2,CP-001,REM-SP-6-4,NS-REM-001:REM-SP-6-4:265x10:2,13,12,Hard,QL-001,ES-001,Find the value of x if 265x10 leaves remainder 12 when divided by 13.,8,"Check all possible values of x.

Valid values:

8

Answer:

8"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:39:0,CP-001,REM-SP-5-4,NS-REM-001:REM-SP-5-4:909x1:0,13,5,Medium,QL-002,ES-004,Determine x if 909x1 leaves remainder 5 on division by 13.,0,"Valid values of x:

0

Required answer:

0"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:40:6,CP-001,REM-SP-6-3,NS-REM-001:REM-SP-6-3:90x654:6,7,1,Hard,QL-004,ES-004,What should be the value of x so that 90x654 leaves remainder 1 when divided by 7?,5,"Valid values of x:

5

Required answer:

5"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:41:3,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:434x:3,7,4,Easy,QL-004,ES-005,What should be the value of x so that 434x leaves remainder 4 when divided by 7?,4,"Checking all possible values gives:

4

Hence the answer is:

4"
NS-REM-001:CP-001:ns-rem-001-pre-freeze:CP-001:42:0,CP-001,REM-SP-4-4,NS-REM-001:REM-SP-4-4:378x:0,11,7,Medium,QL-004,ES-005,What should be the value of x so that 378x leaves remainder 7 when divided by 11?,0,"Checking all possible values gives:

0

Hence the answer is:

0"
