Question ID,Package ID,Question text,Explanation text,Hints,Misconceptions,Approval status,Reviewer notes,Review score
"PILOT-Q001-000","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 100, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 100$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 100}{{rate1}} = \text{Rs. } 5$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 5 \times 25 = \text{Rs. } 125$$

Thus, the clerk spends Rs. 125 on house rent:
$$\text{House Rent} = \text{Rs. } 125$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 100.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 100 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 100 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 100 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 125.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-001","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 200.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 200 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 200 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 200 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 250.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-002","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 200.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 200 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 200 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 200 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 250.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-003","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 400, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 400$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 400}{{rate1}} = \text{Rs. } 20$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 20 \times 25 = \text{Rs. } 500$$

Thus, the clerk spends Rs. 500 on house rent:
$$\text{House Rent} = \text{Rs. } 500$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 400.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 400 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 400 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 400 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 500.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-004","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 100, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 100$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 100}{{rate1}} = \text{Rs. } 5$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 5 \times 25 = \text{Rs. } 125$$

Thus, the clerk spends Rs. 125 on house rent:
$$\text{House Rent} = \text{Rs. } 125$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 100.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 100 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 100 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 100 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 125.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-005","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 200.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 200 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 200 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 200 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 250.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-006","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 400, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 400$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 400}{{rate1}} = \text{Rs. } 20$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 20 \times 25 = \text{Rs. } 500$$

Thus, the clerk spends Rs. 500 on house rent:
$$\text{House Rent} = \text{Rs. } 500$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 400.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 400 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 400 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 400 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 500.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-007","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 200, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 200$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 200}{{rate1}} = \text{Rs. } 10$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 10 \times 25 = \text{Rs. } 250$$

Thus, the clerk spends Rs. 250 on house rent:
$$\text{House Rent} = \text{Rs. } 250$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 200.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 200 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 200 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 200 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 250.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-008","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 100, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 100$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 100}{{rate1}} = \text{Rs. } 5$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 5 \times 25 = \text{Rs. } 125$$

Thus, the clerk spends Rs. 125 on house rent:
$$\text{House Rent} = \text{Rs. } 125$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 100.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 100 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 100 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 100 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 125.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
"PILOT-Q001-009","Q001","A clerk saves 20% of his monthly salary. If his monthly savings are Rs. 400, find the amount he spends on house rent if house rent accounts for 25% of his monthly salary.","The clerk's monthly savings represent 20% of his total monthly salary:
$$20\% \text{ of Salary} = \text{Rs. } 400$$

To find the value of 1% of his salary, we divide the known savings by 20:
$$1\% \text{ of Salary} = \frac{\text{Rs. } 400}{{rate1}} = \text{Rs. } 20$$

Since house rent accounts for 25% of the monthly salary, we multiply the 1% value by 25:
$$25\% \text{ of Salary} = \text{Rs. } 20 \times 25 = \text{Rs. } 500$$

Thus, the clerk spends Rs. 500 on house rent:
$$\text{House Rent} = \text{Rs. } 500$$","- Hint 1: Identify that 20% of the clerk's monthly salary is Rs. 400.
- Hint 2: Find the value of 1% of the salary by dividing Rs. 400 by 20.
- Hint 3: Multiply the 1% salary value by 25 to find the expenditure on house rent.","- Misconception 1: Dividing Rs. 400 by 100 directly, assuming that 1% is always the value divided by 100.
- Misconception 2: Multiplying Rs. 400 by 20%, treating the percentage rate as a decimal factor directly on the known savings instead of reverse-calculating.
- Misconception 3: Treating 20% and 25% as simple monetary quantities and adding/subtracting them directly.
- Misconception 4: Forgetting the currency context and writing a bare number instead of Rs. 500.","APPROVED","Verified for SSC pattern equivalence, zero formula-first phrasing, excellent pedagogical flow, and robust real-world contextual bounds.","95"
